date_hour	count	rating
9478	1	-1
9478	2	-1
8786	1	-1
8786	2	-1
3017	1	-1
3017	2	-1
3017	3	-1
3017	4	-1
3017	5	-1
1850	1	1
1850	2	1
1850	3	1
3015	1	-1
3015	2	-1
11230	1	-1
11230	2	-1
10071	1	-1
10071	2	-1
10071	3	-1
10071	4	-1
10071	5	-1
10071	6	-1
1104	1	0
1104	2	0
8911	1	-1
8911	2	-1
8911	3	-1
8911	4	-1
8911	5	-1
8911	6	-1
8911	7	-1
8911	8	-1
8911	9	-1
8911	10	-1
8911	11	-1
8911	12	-1
10070	1	-1
10070	2	-1
10005	1	-1
10005	2	-1
10005	3	-1
11321	1	-1
11321	2	-1
10073	1	-1
10073	2	-1
11540	1	-1
11540	2	-1
8211	1	-1
8211	2	-1
3016	1	-1
3016	2	-1
3016	3	-1
3016	4	-1
11883	1	-1
11883	2	-1
11883	3	-1
1279	1	-1
1279	2	-1
9596	1	-1
9596	2	-1
9596	3	-1
9596	4	-1
8196	1	-1
8196	2	-1
8196	3	0
8196	4	0
980	1	-1
980	2	-1
980	3	-1
4935	1	-1
4935	2	-1
4935	3	-1
4935	4	-1
4935	5	0
4935	6	0
4935	7	0
11036	1	-1
11036	2	-1
11073	1	-1
11073	2	-1
11073	3	-1
8983	1	-1
8983	2	-1
8983	3	-1
8983	4	-1
8983	5	-1
9419	1	-1
9419	2	-1
9419	3	-1
11166	1	-1
11166	2	-1
11166	3	-1
3027	1	-1
3027	2	-1
1444	1	1
1444	2	1
1740	1	1
1740	2	1
1740	3	1
3459	1	-1
3459	2	-1
3030	1	-1
3030	2	-1
2322	1	-1
2322	2	-1
5704	1	1
5704	2	1
5704	3	1
11246	1	-1
11246	2	-1
11249	1	-1
11249	2	-1
11249	3	-1
11249	4	-1
11249	5	-1
11249	6	-1
11249	7	-1
11898	1	-1
11898	2	-1
1764	1	1
1764	2	1
11037	1	-1
11037	2	-1
9377	1	-1
9377	2	-1
9377	3	-1
3499	1	-1
3499	2	-1
3819	1	-1
3819	2	-1
8971	1	-1
8971	2	-1
8971	3	-1
8971	4	-1
8971	5	-1
8971	6	-1
8971	7	-1
9934	1	-1
9934	2	-1
9857	1	-1
9857	2	-1
9857	3	-1
9855	1	-1
9855	2	-1
9855	3	-1
2980	1	-1
2980	2	-1
11828	1	-1
11828	2	-1
11828	3	2
11828	4	2
11734	1	-1
11734	2	-1
9023	1	-1
9023	2	-1
9023	3	-1
11376	1	-1
11376	2	-1
11174	1	-1
11174	2	-1
11174	3	-1
1239	1	-1
1239	2	-1
8926	1	-1
8926	2	-1
3083	1	-1
3083	2	-1
3038	1	-1
3038	2	-1
8922	1	-1
8922	2	-1
8922	3	-1
7038	1	-1
7038	2	-1
5729	1	-1
5729	2	-1
9984	1	-1
9984	2	-1
9731	1	-1
9731	2	-1
7722	1	-1
7722	2	-1
8173	1	-1
8173	2	-1
10582	1	-1
10582	2	-1
10582	3	-1
9743	1	-1
9743	2	-1
10022	1	-1
10022	2	-1
3806	1	0
3806	2	0
11908	1	-1
11908	2	-1
11908	3	-1
5968	1	1
5968	2	1
5968	3	1
5232	1	-1
5232	2	-1
2681	1	-1
2681	2	-1
8936	1	-1
8936	2	-1
8324	1	-1
8324	2	-1
1243	1	-1
1243	2	-1
8136	1	-1
8136	2	-1
11781	1	-1
11781	2	-1
6240	1	-1
6240	2	-1
8140	1	-1
8140	2	-1
299	1	-1
299	2	-1
2476	1	-1
