date_hour	count	rating
4843	1	-1
4843	2	-1
8511	1	-1
8511	2	-1
3312	1	0
3312	2	0
9597	1	-1
9597	2	-1
9597	3	0
9597	4	0
4837	1	-1
4837	2	-1
4837	3	0
4837	4	0
3630	1	0
3630	2	0
11325	1	-1
11325	2	-1
1439	1	1
1439	2	1
7990	1	2
7990	2	2
7990	3	2
4699	1	-1
4699	2	-1
4699	3	-1
4678	1	-1
4678	2	-1
4678	3	-1
4678	4	-1
4678	5	-1
4802	1	2
4802	2	2
4802	3	2
4802	4	2
4802	5	2
4802	6	2
4802	7	2
5412	1	1
5412	2	1
5412	3	1
3903	1	0
3903	2	0
3867	1	0
3867	2	0
10368	1	-1
10368	2	-1
3868	1	0
3868	2	0
1775	1	-1
1775	2	-1
4506	1	-1
4506	2	-1
4506	3	-1
4506	4	-1
4506	5	-1
4506	6	-1
4506	7	-1
4506	8	0
4506	9	0
4506	10	0
4506	11	0
4506	12	0
4506	13	0
4506	14	0
7738	1	1
7738	2	1
4371	1	0
4371	2	0
4371	3	0
4371	4	0
4371	5	0
9531	1	-1
9531	2	-1
4822	1	-1
4822	2	-1
4822	3	-1
4822	4	-1
4822	5	-1
4822	6	-1
4822	7	-1
4822	8	0
4822	9	0
4822	10	0
9698	1	-1
9698	2	-1
4609	1	-1
4609	2	-1
4609	3	-1
4609	4	-1
4609	5	0
4609	6	0
4609	7	0
4609	8	0
9650	1	-1
9650	2	-1
3244	1	0
3244	2	0
4530	1	-1
4530	2	-1
4530	3	-1
4530	4	-1
4530	5	-1
4530	6	-1
4530	7	-1
4530	8	0
4530	9	0
4530	10	0
10871	1	-1
10871	2	-1
5236	1	1
5236	2	1
4600	1	-1
4600	2	-1
4451	1	-1
4451	2	-1
4451	3	-1
4451	4	0
4451	5	0
4451	6	0
9844	1	-1
9844	2	-1
4630	1	-1
4630	2	-1
4630	3	-1
4630	4	0
4630	5	0
4630	6	0
4982	1	-1
4982	2	-1
9747	1	-1
9747	2	-1
9532	1	-1
9532	2	-1
1670	1	-1
1670	2	-1
10639	1	-1
10639	2	-1
4711	1	-1
4711	2	-1
4711	3	-1
4711	4	-1
4711	5	-1
4711	6	-1
4711	7	-1
4711	8	-1
4711	9	-1
4711	10	-1
4711	11	-1
4711	12	-1
4711	13	-1
4711	14	-1
4711	15	-1
4711	16	0
4711	17	0
4711	18	0
9845	1	-1
9845	2	-1
7048	1	1
7048	2	1
9724	1	-1
9724	2	-1
4846	1	-1
4846	2	-1
4589	1	-1
4589	2	-1
3624	1	1
3624	2	1
4816	1	-1
4816	2	-1
4816	3	-1
4816	4	-1
4816	5	-1
4816	6	-1
4816	7	0
4816	8	0
9255	1	0
9255	2	0
3998	1	0
3998	2	0
3998	3	0
3998	4	1
3998	5	1
3998	6	1
3998	7	2
3998	8	2
3998	9	2
1827	1	-1
1827	2	-1
3958	1	1
3958	2	1
3958	3	1
4782	1	-1
4782	2	-1
4782	3	-1
4782	4	-1
4782	5	-1
4490	1	-1
4490	2	-1
4490	3	-1
4490	4	-1
4490	5	-1
4490	6	-1
4490	7	-1
4490	8	-1
4490	9	0
4490	10	0
4490	11	0
4490	12	0
4490	13	0
4779	1	1
4779	2	1
4776	1	-1
4776	2	-1
4776	3	-1
4776	4	-1
4776	5	-1
4776	6	-1
4776	7	-1
4776	8	-1
4776	9	-1
4776	10	-1
4571	1	-1
4571	2	-1
11771	1	-1
11771	2	-1
4576	1	-1
4576	2	-1
4576	3	0
4576	4	0
3879	1	-1
3879	2	-1
4623	1	-1
4623	2	-1
573	1	0
573	2	0
4381	1	-1
4381	2	-1
4649	1	-1
4649	2	-1
4649	3	-1
4649	4	-1
4649	5	-1
4649	6	-1
4649	7	-1
4649	8	-1
4649	9	-1
4649	10	-1
4649	11	-1
4649	12	0
4649	13	0
4649	14	0
4646	1	-1
4646	2	-1
4646	3	-1
4646	4	0
4646	5	0
4646	6	0
4647	1	-1
4647	2	-1
4460	1	-1
4460	2	-1
4460	3	-1
4460	4	0
4460	5	0
4460	6	0
9820	1	-1
9820	2	-1
2257	1	0
2257	2	0
11428	1	-1
11428	2	-1
4671	1	-1
4671	2	-1
2261	1	0
2261	2	0
2261	3	0
4440	1	-1
4440	2	-1
4440	3	-1
4440	4	-1
4440	5	-1
5013	1	-1
5013	2	-1
5013	3	-1
5013	4	-1
5013	5	-1
5013	6	1
5013	7	1
5013	8	1
5013	9	2
5013	10	2
5013	11	2
9678	1	-1
9678	2	-1
5014	1	1
5014	2	1
5014	3	1
4675	1	-1
4675	2	-1
4675	3	-1
4675	4	-1
4675	5	-1
4675	6	-1
4675	7	-1
4675	8	-1
4675	9	-1
9705	1	-1
9705	2	-1
4771	1	-1
4771	2	-1
4771	3	-1
4771	4	-1
4771	5	-1
4052	1	0
4052	2	0
4052	3	0
4052	4	1
4052	5	1
4052	6	1
4052	7	1
4052	8	1
