date_hour	count	rating
8913	1	2
8913	2	2
8913	3	2
8677	1	0
8677	2	0
9926	1	1
9926	2	1
8905	1	2
8905	2	2
8905	3	2
9143	1	1
9143	2	1
3626	1	2
3626	2	2
3626	3	2
8701	1	0
8701	2	0
9881	1	2
9881	2	2
8704	1	0
8704	2	0
8705	1	0
8705	2	0
8702	1	0
8702	2	0
8703	1	0
8703	2	0
7353	1	-1
7353	2	-1
7353	3	-1
7353	4	0
7353	5	0
7353	6	1
7353	7	1
7353	8	1
8706	1	0
8706	2	0
8707	1	0
8707	2	0
4144	1	2
4144	2	2
4144	3	2
4144	4	2
4144	5	2
4144	6	2
4145	1	2
4145	2	2
4145	3	2
4145	4	2
4145	5	2
4145	6	2
4145	7	2
4139	1	2
4139	2	2
4146	1	2
4146	2	2
4146	3	2
4146	4	2
4146	5	2
4147	1	2
4147	2	2
4147	3	2
4147	4	2
4147	5	2
4147	6	2
4147	7	2
4029	1	2
4029	2	2
4029	3	2
4029	4	2
4029	5	2
4029	6	2
4029	7	2
4028	1	2
4028	2	2
4028	3	2
4028	4	2
4028	5	2
4031	1	2
4031	2	2
4031	3	2
4031	4	2
4031	5	2
4030	1	2
4030	2	2
4030	3	2
4030	4	2
4030	5	2
11164	1	1
11164	2	1
4349	1	2
4349	2	2
11346	1	2
11346	2	2
11347	1	2
11347	2	2
1824	1	2
1824	2	2
1824	3	2
1825	1	2
1825	2	2
1825	3	2
8753	1	1
8753	2	1
3958	1	2
3958	2	2
3958	3	2
3958	4	2
3958	5	2
3958	6	2
3958	7	2
3959	1	2
3959	2	2
3959	3	2
3959	4	2
3959	5	2
3959	6	2
3956	1	2
3956	2	2
3956	3	2
3956	4	2
3956	5	2
8689	1	1
8689	2	1
8689	3	1
8689	4	1
8689	5	1
8689	6	1
7462	1	1
7462	2	1
3817	1	2
3817	2	2
3817	3	2
3818	1	2
3818	2	2
3818	3	2
11919	1	2
11919	2	2
11919	3	2
8511	1	0
8511	2	0
8511	3	0
11921	1	2
11921	2	2
11921	3	2
7193	1	1
7193	2	1
7192	1	1
7192	2	1
7192	3	1
7192	4	1
4097	1	2
4097	2	2
4097	3	2
4097	4	2
4097	5	2
4097	6	2
4097	7	2
4099	1	2
4099	2	2
4099	3	2
4098	1	2
4098	2	2
4098	3	2
4098	4	2
4098	5	2
4098	6	2
4098	7	2
4098	8	2
4078	1	2
4078	2	2
4078	3	2
2248	1	2
2248	2	2
2248	3	2
1187	1	2
1187	2	2
1187	3	2
7964	1	0
7964	2	0
8955	1	2
8955	2	2
9923	1	1
9923	2	1
4051	1	2
4051	2	2
4051	3	2
9554	1	1
9554	2	1
9554	3	1
9996	1	1
9996	2	1
7671	1	1
7671	2	1
11081	1	1
11081	2	1
11081	3	2
11081	4	2
8492	1	0
8492	2	0
8494	1	0
8494	2	0
3815	1	2
3815	2	2
3815	3	2
3815	4	2
3815	5	2
3814	1	2
3814	2	2
3814	3	2
3814	4	2
3814	5	2
3814	6	2
3814	7	2
3813	1	2
3813	2	2
3813	3	2
3813	4	2
3813	5	2
3861	1	2
3861	2	2
3861	3	2
3861	4	2
3861	5	2
3861	6	2
3861	7	2
10721	1	1
10721	2	1
795	1	2
795	2	2
795	3	2
4486	1	2
4486	2	2
8119	1	1
8119	2	1
3863	1	2
3863	2	2
3863	3	2
3863	4	2
3863	5	2
3863	6	2
3863	7	2
7135	1	0
7135	2	0
4004	1	2
4004	2	2
4004	3	2
4004	4	2
4004	5	2
4004	6	2
4004	7	2
4005	1	2
4005	2	2
4005	3	2
4005	4	2
4005	5	2
4005	6	2
4005	7	2
4006	1	2
4006	2	2
4006	3	2
4007	1	2
4007	2	2
4007	3	2
3911	1	2
3911	2	2
3911	3	2
2751	1	2
2751	2	2
1588	1	1
1588	2	1
7279	1	1
7279	2	1
7279	3	1
4676	1	2
4676	2	2
4676	3	2
7276	1	1
7276	2	1
7276	3	1
1554	1	1
1554	2	1
7274	1	1
7274	2	1
7274	3	1
7274	4	1
7273	1	1
7273	2	1
8804	1	0
8804	2	0
8804	3	1
8804	4	1
2645	1	2
2645	2	2
2136	1	1
2136	2	1
2137	1	1
2137	2	1
3960	1	2
3960	2	2
3960	3	2
2648	1	2
2648	2	2
2648	3	2
3968	1	2
3968	2	2
3968	3	2
3930	1	2
3930	2	2
3930	3	2
3930	4	2
3930	5	2
3931	1	2
3931	2	2
3931	3	2
3931	4	2
3931	5	2
10156	1	1
10156	2	1
10156	3	1
3929	1	2
3929	2	2
3929	3	2
3929	4	2
3929	5	2
3929	6	2
3929	7	2
8637	1	1
8637	2	1
8637	3	1
11538	1	1
