date_hour	count	rating
1057	1	1
1057	2	1
1936	1	1
1936	2	1
1937	1	1
1937	2	1
1937	3	1
1939	1	1
1939	2	1
1754	1	1
1754	2	1
8011	1	-1
8011	2	-1
8011	3	-1
4938	1	0
4938	2	0
4938	3	0
1279	1	0
1279	2	0
4933	1	0
4933	2	0
10548	1	1
10548	2	1
981	1	2
981	2	2
980	1	2
980	2	2
980	3	2
1950	1	1
1950	2	1
357	1	-1
357	2	-1
5184	1	0
5184	2	0
1743	1	1
1743	2	1
1743	3	1
3498	1	0
3498	2	0
10200	1	1
10200	2	1
2317	1	0
2317	2	0
8164	1	1
8164	2	1
8164	3	1
6184	1	0
6184	2	0
10510	1	2
10510	2	2
2637	1	0
2637	2	0
3796	1	1
3796	2	1
2639	1	1
2639	2	1
2214	1	0
2214	2	0
2214	3	0
4462	1	1
4462	2	1
4462	3	1
8154	1	-1
8154	2	-1
8154	3	-1
11850	1	0
11850	2	0
1220	1	0
1220	2	0
6206	1	1
6206	2	1
1733	1	1
1733	2	1
2823	1	1
2823	2	1
2823	3	1
2825	1	-1
2825	2	-1
2825	3	1
2825	4	1
2824	1	1
2824	2	1
2824	3	1
1701	1	1
1701	2	1
1701	3	1
1703	1	1
1703	2	1
9095	1	-1
9095	2	-1
9383	1	1
9383	2	1
9383	3	1
9383	4	1
9383	5	1
9383	6	1
9383	7	1
9383	8	1
9383	9	1
9383	10	1
9383	11	1
9383	12	1
9383	13	1
9383	14	1
9383	15	1
9383	16	1
1722	1	1
1722	2	1
1723	1	1
1723	2	1
1723	3	1
7715	1	0
7715	2	0
10249	1	1
10249	2	1
10249	3	1
11661	1	2
11661	2	2
1812	1	1
1812	2	1
2783	1	0
2783	2	0
4819	1	2
4819	2	2
4819	3	2
1583	1	1
1583	2	1
2813	1	2
2813	2	2
2810	1	2
2810	2	2
8015	1	1
8015	2	1
7962	1	0
7962	2	0
8243	1	0
8243	2	0
4217	1	1
4217	2	1
9509	1	1
9509	2	1
9509	3	1
9509	4	1
9509	5	1
9509	6	1
9509	7	1
9509	8	1
9511	1	2
9511	2	2
5583	1	0
5583	2	0
7910	1	0
7910	2	0
3113	1	1
3113	2	1
5034	1	1
5034	2	1
1887	1	1
