date_hour	count	rating
3318	1	-1
3318	2	-1
3318	3	-1
9943	1	1
9943	2	1
9943	3	2
9943	4	2
11748	1	1
11748	2	1
11748	3	1
11748	4	1
7332	1	1
7332	2	1
4822	1	-1
4822	2	-1
7321	1	1
7321	2	1
7321	3	1
4944	1	-1
4944	2	-1
4944	3	-1
3951	1	1
3951	2	1
3951	3	1
3951	4	2
3951	5	2
3951	6	2
9665	1	1
9665	2	1
9665	3	1
3382	1	1
3382	2	1
8631	1	0
8631	2	0
11563	1	0
11563	2	0
11563	3	2
11563	4	2
7323	1	1
7323	2	1
7323	3	1
1682	1	1
1682	2	1
8705	1	1
8705	2	1
8705	3	1
8605	1	0
8605	2	0
8605	3	0
8605	4	0
8605	5	0
8605	6	0
8605	7	0
7474	1	1
7474	2	1
7489	1	1
7489	2	1
7489	3	1
7252	1	0
7252	2	0
7252	3	0
7493	1	1
7493	2	1
741	1	1
741	2	1
741	3	1
741	4	2
741	5	2
741	6	2
8623	1	0
8623	2	0
8623	3	0
8874	1	1
8874	2	1
11231	1	1
11231	2	1
11231	3	1
11231	4	1
4817	1	2
4817	2	2
4817	3	2
4817	4	2
4817	5	2
8600	1	0
8600	2	0
8600	3	0
4275	1	-1
4275	2	-1
4275	3	-1
4694	1	1
4694	2	1
3329	1	0
3329	2	0
6999	1	0
6999	2	0
6999	3	1
6999	4	1
7325	1	1
7325	2	1
9938	1	1
9938	2	1
3652	1	0
3652	2	0
3652	3	2
3652	4	2
3938	1	-1
3938	2	-1
4262	1	-1
4262	2	-1
4262	3	-1
4262	4	-1
4262	5	-1
3306	1	-1
3306	2	-1
3306	3	-1
4108	1	0
4108	2	0
4108	3	0
4108	4	1
4108	5	1
4108	6	1
3959	1	1
3959	2	1
7372	1	1
7372	2	1
7372	3	1
7372	4	2
7372	5	2
7372	6	2
8828	1	1
8828	2	1
8828	3	1
8828	4	1
8828	5	1
8828	6	1
8828	7	1
8828	8	1
8828	9	1
8828	10	1
8828	11	1
8828	12	1
8828	13	1
8828	14	1
8828	15	1
8828	16	1
8828	17	1
8828	18	1
8828	19	1
1763	1	1
1763	2	1
3447	1	0
3447	2	0
4644	1	-1
4644	2	-1
4644	3	-1
4644	4	-1
4644	5	-1
4695	1	0
4695	2	0
11566	1	0
11566	2	0
11566	3	2
11566	4	2
7122	1	0
7122	2	0
7122	3	0
4646	1	-1
4646	2	-1
4185	1	0
4185	2	0
4185	3	0
4185	4	1
4185	5	1
4185	6	1
3838	1	1
3838	2	1
3837	1	-1
3837	2	-1
4022	1	-1
4022	2	-1
4022	3	-1
4022	4	-1
4022	5	-1
3860	1	-1
3860	2	-1
11658	1	1
11658	2	1
9675	1	1
9675	2	1
4290	1	0
4290	2	0
4290	3	0
4290	4	1
4290	5	1
4290	6	1
5634	1	1
5634	2	1
5634	3	1
10945	1	1
10945	2	1
10945	3	1
11564	1	0
11564	2	0
11564	3	2
11564	4	2
9664	1	1
9664	2	1
9664	3	1
4168	1	-1
4168	2	-1
4168	3	-1
4168	4	-1
4168	5	-1
