date_hour	count	rating
716	1	0
716	2	0
716	3	0
716	4	1
716	5	1
716	6	1
1445	1	0
1445	2	0
4505	1	-1
4505	2	-1
4505	3	-1
4505	4	-1
4505	5	-1
4505	6	-1
4505	7	-1
4505	8	-1
4505	9	-1
4505	10	-1
4505	11	-1
4505	12	0
4505	13	0
4505	14	0
4505	15	0
4505	16	0
4505	17	0
4505	18	0
4505	19	0
4505	20	0
4503	1	0
4503	2	0
12015	1	-1
12015	2	-1
12015	3	-1
12015	4	-1
12015	5	-1
12015	6	-1
12015	7	-1
12015	8	-1
12015	9	-1
12015	10	-1
12015	11	-1
12015	12	-1
12015	13	-1
12015	14	-1
12015	15	-1
12015	16	-1
12015	17	-1
12015	18	-1
12015	19	-1
12015	20	-1
12015	21	-1
4507	1	0
4507	2	0
4506	1	1
4506	2	1
4506	3	1
4506	4	1
4506	5	2
4506	6	2
4506	7	2
4506	8	2
2273	1	-1
2273	2	-1
1267	1	1
1267	2	1
1267	3	2
1267	4	2
8884	1	0
8884	2	0
8251	1	-1
8251	2	-1
11508	1	-1
11508	2	-1
10672	1	-1
10672	2	-1
10672	3	-1
11161	1	-1
11161	2	-1
11160	1	-1
11160	2	-1
9860	1	-1
9860	2	-1
1115	1	-1
1115	2	-1
1117	1	0
1117	2	0
1825	1	1
1825	2	1
10347	1	-1
10347	2	-1
10966	1	1
10966	2	1
10966	3	1
10966	4	2
10966	5	2
8700	1	0
8700	2	0
11918	1	0
11918	2	0
11918	3	0
11918	4	0
175	1	-1
175	2	-1
175	3	-1
10330	1	0
10330	2	0
10330	3	1
10330	4	1
10330	5	2
10330	6	2
5064	1	-1
5064	2	-1
5064	3	-1
5064	4	-1
5064	5	-1
10335	1	-1
10335	2	-1
10335	3	-1
10335	4	-1
10335	5	-1
10335	6	-1
10335	7	-1
10335	8	-1
10335	9	-1
10335	10	-1
10335	11	-1
10335	12	-1
10335	13	-1
10335	14	-1
10335	15	-1
10335	16	-1
10335	17	-1
10335	18	-1
10335	19	-1
10335	20	-1
10335	21	-1
6353	1	0
6353	2	0
7457	1	-1
7457	2	-1
1148	1	1
1148	2	1
1148	3	2
1148	4	2
6170	1	-1
6170	2	-1
5270	1	0
5270	2	0
7249	1	-1
7249	2	-1
7249	3	-1
10390	1	-1
10390	2	-1
10390	3	-1
10390	4	-1
10390	5	-1
10390	6	-1
10390	7	-1
5969	1	0
5969	2	0
10389	1	-1
10389	2	-1
4880	1	1
4880	2	1
7124	1	-1
7124	2	-1
4045	1	-1
4045	2	-1
4045	3	-1
4045	4	1
4045	5	1
4045	6	1
9235	1	-1
9235	2	-1
9235	3	-1
9235	4	-1
9235	5	-1
9235	6	-1
9235	7	-1
9235	8	-1
9235	9	-1
9235	10	-1
9235	11	-1
9235	12	-1
9235	13	-1
9235	14	-1
9235	15	-1
9235	16	-1
9235	17	-1
9235	18	-1
9235	19	-1
9235	20	-1
9235	21	-1
9235	22	-1
9235	23	-1
9235	24	-1
9235	25	-1
9235	26	-1
9235	27	-1
9235	28	-1
9235	29	-1
9235	30	-1
9235	31	-1
9235	32	-1
9235	33	-1
9235	34	-1
9235	35	-1
9235	36	-1
9235	37	-1
9235	38	0
9235	39	0
9235	40	0
9235	41	0
9235	42	0
9235	43	0
9235	44	0
9235	45	0
9235	46	0
9235	47	0
9235	48	0
9235	49	0
9235	50	0
9235	51	0
9235	52	0
9235	53	0
9235	54	0
9235	55	0
9235	56	0
9235	57	0
9235	58	0
9235	59	0
9235	60	0
9235	61	0
9235	62	0
9235	63	0
9235	64	0
9235	65	0
9235	66	0
9235	67	0
9235	68	0
9235	69	0
9235	70	0
9235	71	0
9235	72	0
9235	73	0
9235	74	0
7670	1	-1
7670	2	-1
7670	3	-1
7670	4	1
7670	5	1
7670	6	1
7671	1	-1
7671	2	-1
7671	3	1
7671	4	1
4524	1	0
4524	2	0
4524	3	0
4524	4	1
4524	5	1
4524	6	1
3477	1	-1
3477	2	-1
10440	1	1
10440	2	1
10440	3	1
10440	4	1
1580	1	1
1580	2	1
1580	3	2
1580	4	2
1581	1	1
1581	2	1
1581	3	2
1581	4	2
8495	1	-1
8495	2	-1
8495	3	0
8495	4	0
10942	1	-1
10942	2	-1
4622	1	0
4622	2	0
8321	1	-1
8321	2	-1
8321	3	-1
4626	1	-1
4626	2	-1
4626	3	-1
4626	4	-1
4626	5	-1
8319	1	-1
8319	2	-1
8319	3	-1
8319	4	-1
8319	5	-1
8319	6	-1
8319	7	-1
8319	8	-1
8319	9	-1
8319	10	-1
8319	11	-1
8319	12	-1
8319	13	-1
8319	14	-1
8319	15	0
8319	16	0
8319	17	0
10245	1	1
10245	2	1
10245	3	2
10245	4	2
9185	1	1
9185	2	1
9185	3	2
9185	4	2
5028	1	0
5028	2	0
5028	3	0
5028	4	2
5028	5	2
5028	6	2
3309	1	-1
3309	2	-1
10849	1	-1
10849	2	-1
1335	1	2
1335	2	2
1335	3	2
4820	1	1
4820	2	1
4820	3	1
4820	4	1
4820	5	1
4820	6	2
4820	7	2
4820	8	2
4820	9	2
4820	10	2
4677	1	-1
4677	2	-1
1536	1	1
1536	2	1
1536	3	2
1536	4	2
7494	1	-1
7494	2	-1
11589	1	0
11589	2	0
3098	1	1
3098	2	1
3098	3	2
3098	4	2
3099	1	1
3099	2	1
3099	3	2
3099	4	2
1881	1	0
1881	2	0
7815	1	-1
7815	2	-1
2715	1	0
2715	2	0
7817	1	-1
7817	2	-1
10400	1	-1
10400	2	-1
10400	3	-1
2718	1	1
2718	2	1
2718	3	1
2718	4	1
2718	5	1
2718	6	2
2718	7	2
2716	1	1
2716	2	1
2716	3	2
2716	4	2
11793	1	-1
11793	2	-1
11793	3	-1
11793	4	-1
11793	5	1
11793	6	1
11793	7	1
11793	8	1
11532	1	2
11532	2	2
11532	3	2
5895	1	-1
5895	2	-1
11566	1	-1
11566	2	-1
2581	1	0
2581	2	0
10913	1	-1
10913	2	-1
2586	1	0
2586	2	0
4176	1	1
4176	2	1
4176	3	1
4176	4	2
4176	5	2
4176	6	2
4176	7	2
4176	8	2
7870	1	-1
7870	2	-1
7870	3	-1
7870	4	-1
7870	5	-1
7870	6	-1
8356	1	-1
8356	2	-1
8356	3	0
8356	4	0
10891	1	-1
10891	2	-1
612	1	0
612	2	0
612	3	1
612	4	1
4821	1	0
4821	2	0
4821	3	0
4821	4	1
4821	5	1
4821	6	1
4821	7	2
4821	8	2
4821	9	2
4821	10	2
4821	11	2
4821	12	2
4822	1	0
4822	2	0
4822	3	0
4822	4	2
4822	5	2
4822	6	2
3789	1	1
3789	2	1
3789	3	1
10535	1	-1
10535	2	-1
11348	1	-1
11348	2	-1
11348	3	-1
8434	1	1
8434	2	1
8434	3	1
8434	4	2
8434	5	2
8434	6	2
8434	7	2
8434	8	2
10888	1	1
10888	2	1
5416	1	-1
5416	2	-1
2452	1	0
2452	2	0
2454	1	0
2454	2	0
2448	1	0
2448	2	0
2448	3	0
2449	1	0
2449	2	0
2450	1	0
2450	2	0
10434	1	-1
10434	2	-1
4727	1	1
4727	2	1
4727	3	2
4727	4	2
10319	1	0
10319	2	0
10319	3	1
10319	4	1
10319	5	2
10319	6	2
10319	7	2
10319	8	2
3142	1	-1
3142	2	-1
3141	1	-1
3141	2	-1
8416	1	-1
8416	2	-1
1913	1	-1
1913	2	-1
8410	1	1
8410	2	1
8410	3	2
8410	4	2
8410	5	2
8410	6	2
8410	7	2
8410	8	2
8410	9	2
8410	10	2
8410	11	2
8410	12	2
8410	13	2
9892	1	-1
9892	2	-1
971	1	-1
971	2	-1
971	3	0
971	4	0
11496	1	-1
11496	2	-1
11498	1	2
11498	2	2
11498	3	2
7589	1	0
7589	2	0
11679	1	-1
11679	2	-1
11679	3	-1
11679	4	-1
11679	5	-1
11679	6	-1
11679	7	-1
11679	8	-1
11679	9	-1
11679	10	-1
11679	11	-1
11679	12	-1
11679	13	-1
11679	14	-1
11679	15	-1
11679	16	-1
11679	17	-1
11679	18	-1
11679	19	-1
11679	20	-1
11679	21	-1
11676	1	-1
11676	2	-1
10489	1	-1
10489	2	-1
4515	1	0
4515	2	0
4517	1	1
4517	2	1
4517	3	1
3843	1	-1
3843	2	-1
3841	1	0
3841	2	0
3169	1	-1
3169	2	-1
11184	1	0
11184	2	0
3844	1	0
3844	2	0
1852	1	1
1852	2	1
5442	1	-1
5442	2	-1
10982	1	0
10982	2	0
10982	3	0
1984	1	-1
1984	2	-1
8729	1	-1
8729	2	-1
8729	3	-1
1953	1	2
1953	2	2
1953	3	2
8085	1	-1
8085	2	-1
8085	3	1
8085	4	1
8979	1	-1
8979	2	-1
5184	1	-1
5184	2	-1
10748	1	0
10748	2	0
10748	3	0
10748	4	1
10748	5	1
8710	1	-1
8710	2	-1
4488	1	-1
4488	2	-1
4488	3	0
4488	4	0
4488	5	0
4488	6	1
4488	7	1
4492	1	-1
4492	2	-1
4492	3	1
4492	4	1
3895	1	1
3895	2	1
4920	1	-1
4920	2	-1
4920	3	-1
4920	4	-1
4920	5	-1
4920	6	-1
4920	7	-1
4920	8	-1
4920	9	-1
4920	10	0
4920	11	0
4920	12	0
4920	13	0
4920	14	0
4920	15	0
4920	16	0
4920	17	0
4920	18	0
2215	1	0
2215	2	0
5250	1	-1
5250	2	-1
1251	1	1
1251	2	1
1251	3	2
1251	4	2
396	1	0
396	2	0
396	3	0
396	4	0
396	5	0
1809	1	1
1809	2	1
11171	1	1
11171	2	1
8150	1	-1
8150	2	-1
1803	1	0
1803	2	0
8152	1	-1
8152	2	-1
8152	3	-1
11759	1	-1
11759	2	-1
9603	1	-1
9603	2	-1
9605	1	1
9605	2	1
10421	1	-1
10421	2	-1
10738	1	0
10738	2	0
10738	3	0
10738	4	1
10738	5	1
10738	6	1
10738	7	2
10738	8	2
10738	9	2
3864	1	0
3864	2	0
7180	1	-1
7180	2	-1
2528	1	-1
2528	2	-1
7176	1	-1
7176	2	-1
7176	3	0
7176	4	0
7177	1	-1
7177	2	-1
10784	1	2
10784	2	2
10784	3	2
9495	1	-1
9495	2	-1
9495	3	-1
9495	4	-1
9495	5	-1
9495	6	-1
9495	7	-1
9495	8	-1
9495	9	-1
9495	10	-1
9495	11	-1
9495	12	-1
9495	13	-1
9495	14	-1
9495	15	-1
9495	16	-1
9495	17	-1
9495	18	-1
9495	19	-1
9495	20	-1
9495	21	-1
10329	1	0
10329	2	0
10329	3	0
10329	4	1
10329	5	1
10329	6	1
10329	7	2
10329	8	2
10329	9	2
11119	1	-1
11119	2	-1
11119	3	-1
298	1	0
298	2	0
298	3	0
298	4	0
298	5	0
4817	1	0
4817	2	0
4817	3	0
4817	4	0
4817	5	0
4817	6	1
4817	7	1
4817	8	1
4817	9	2
4817	10	2
4817	11	2
4816	1	1
4816	2	1
2416	1	1
2416	2	1
2416	3	2
2416	4	2
2623	1	2
2623	2	2
2623	3	2
7955	1	-1
7955	2	-1
3396	1	-1
3396	2	-1
1181	1	0
1181	2	0
11567	1	-1
11567	2	-1
10568	1	-1
10568	2	-1
2664	1	2
2664	2	2
2664	3	2
2664	4	2
10563	1	-1
10563	2	-1
4698	1	-1
4698	2	-1
10340	1	1
10340	2	1
10340	3	1
10340	4	1
10341	1	1
10341	2	1
10342	1	-1
10342	2	-1
10342	3	1
10342	4	1
1575	1	0
1575	2	0
7989	1	-1
7989	2	-1
7173	1	-1
7173	2	-1
7173	3	0
7173	4	0
10665	1	-1
10665	2	-1
1676	1	1
1676	2	1
1676	3	2
1676	4	2
8310	1	-1
8310	2	-1
10643	1	1
10643	2	1
10642	1	1
10642	2	1
10642	3	2
10642	4	2
8306	1	-1
8306	2	-1
11070	1	-1
11070	2	-1
1327	1	-1
1327	2	-1
1323	1	2
1323	2	2
2759	1	0
2759	2	0
2429	1	-1
2429	2	-1
2424	1	-1
2424	2	-1
1603	1	0
1603	2	0
7498	1	-1
7498	2	-1
11581	1	-1
11581	2	-1
1310	1	1
1310	2	1
1310	3	2
1310	4	2
3979	1	0
3979	2	0
9209	1	-1
9209	2	-1
7805	1	-1
7805	2	-1
9644	1	0
9644	2	0
9645	1	0
9645	2	0
7566	1	-1
7566	2	-1
7563	1	-1
7563	2	-1
11526	1	-1
11526	2	-1
7613	1	-1
7613	2	-1
