date_hour	count	rating
7406	1	-1
7406	2	-1
7406	3	-1
7410	1	-1
7410	2	-1
11231	1	-1
11231	2	-1
1442	1	-1
1442	2	-1
12012	1	-1
12012	2	-1
10004	1	-1
10004	2	-1
8699	1	-1
8699	2	-1
11540	1	-1
11540	2	-1
11540	3	-1
2635	1	-1
2635	2	-1
4141	1	-1
4141	2	-1
4141	3	-1
4141	4	-1
4141	5	-1
4141	6	-1
8883	1	-1
8883	2	-1
8883	3	-1
11776	1	-1
11776	2	-1
11508	1	-1
11508	2	-1
2292	1	-1
2292	2	-1
9861	1	-1
9861	2	-1
9861	3	-1
11507	1	-1
11507	2	-1
11507	3	-1
10633	1	-1
10633	2	-1
10633	3	-1
10633	4	-1
10633	5	-1
10351	1	-1
10351	2	-1
5055	1	-1
5055	2	-1
1122	1	-1
1122	2	-1
8752	1	-1
8752	2	-1
3956	1	-1
3956	2	-1
7992	1	-1
7992	2	-1
7992	3	-1
8303	1	-1
8303	2	-1
3824	1	-1
3824	2	-1
171	1	2
171	2	2
171	3	2
171	4	2
171	5	2
171	6	2
171	7	2
171	8	2
171	9	2
10509	1	-1
10509	2	-1
11861	1	-1
11861	2	-1
7691	1	-1
7691	2	-1
7691	3	-1
9283	1	-1
9283	2	-1
11637	1	-1
11637	2	-1
813	1	-1
813	2	-1
813	3	-1
813	4	-1
813	5	-1
813	6	-1
9095	1	-1
9095	2	-1
9095	3	-1
9095	4	-1
9095	5	-1
9095	6	-1
9095	7	-1
9095	8	-1
9095	9	-1
9095	10	-1
9095	11	-1
9095	12	-1
9095	13	-1
9095	14	-1
9095	15	-1
9095	16	-1
9095	17	-1
9095	18	-1
9095	19	-1
9095	20	-1
9095	21	-1
9092	1	-1
9092	2	-1
9092	3	-1
9092	4	-1
9092	5	-1
9092	6	-1
9092	7	-1
9092	8	-1
9092	9	-1
9092	10	-1
9092	11	-1
9092	12	-1
9092	13	-1
9092	14	-1
9092	15	-1
5270	1	-1
5270	2	-1
5271	1	-1
5271	2	-1
7964	1	-1
7964	2	-1
7964	3	-1
8953	1	-1
8953	2	-1
10390	1	-1
10390	2	-1
7252	1	-1
7252	2	-1
7252	3	-1
7252	4	-1
7252	5	-1
4681	1	-1
4681	2	-1
7928	1	-1
7928	2	-1
7928	3	-1
9978	1	-1
9978	2	-1
9230	1	-1
9230	2	-1
9230	3	-1
9233	1	-1
9233	2	-1
7127	1	-1
7127	2	-1
7126	1	-1
7126	2	-1
8764	1	-1
8764	2	-1
9977	1	-1
9977	2	-1
2815	1	-1
2815	2	-1
2813	1	-1
2813	2	-1
4960	1	-1
4960	2	-1
4960	3	-1
4960	4	-1
4960	5	-1
4960	6	-1
4960	7	-1
4960	8	-1
4960	9	-1
2808	1	-1
2808	2	-1
7980	1	-1
7980	2	-1
7980	3	-1
8493	1	-1
8493	2	-1
8492	1	-1
8492	2	-1
8495	1	-1
8495	2	-1
7987	1	-1
7987	2	-1
10723	1	-1
10723	2	-1
10101	1	-1
10101	2	-1
10101	3	-1
10101	4	-1
10101	5	-1
10101	6	-1
10101	7	-1
10101	8	-1
10101	9	-1
10101	10	-1
10101	11	-1
10101	12	-1
10101	13	-1
10103	1	-1
10103	2	-1
10103	3	-1
10103	4	-1
10103	5	-1
10103	6	-1
10103	7	-1
10103	8	-1
10103	9	-1
10103	10	-1
10103	11	-1
10103	12	-1
10103	13	-1
10103	14	-1
10103	15	-1
10103	16	-1
10103	17	-1
10103	18	-1
10103	19	-1
10103	20	-1
10103	21	-1
10103	22	-1
10103	23	-1
10103	24	-1
10103	25	-1
10103	26	-1
10103	27	-1
10103	28	-1
10103	29	-1
10103	30	-1
10103	31	-1
10103	32	-1
10103	33	-1
10103	34	-1
10103	35	-1
10103	36	-1
10103	37	-1
10103	38	-1
10103	39	-1
10013	1	-1
10013	2	-1
10013	3	-1
10716	1	-1
10716	2	-1
4627	1	-1
4627	2	-1
4627	3	-1
4627	4	-1
4627	5	-1
4627	6	-1
4627	7	-1
4627	8	-1
4627	9	-1
4627	10	-1
4627	11	-1
4627	12	-1
4627	13	-1
4627	14	-1
11146	1	-1
11146	2	-1
11146	3	-1
11146	4	-1
11146	5	-1
11146	6	-1
10009	1	-1
10009	2	-1
10009	3	-1
10009	4	-1
10009	5	-1
10009	6	-1
10009	7	-1
4004	1	-1
4004	2	-1
4004	3	-1
4004	4	-1
4004	5	-1
8452	1	-1
8452	2	-1
8452	3	-1
8452	4	-1
8452	5	-1
8453	1	-1
8453	2	-1
8453	3	-1
11136	1	-1
11136	2	-1
4842	1	-1
4842	2	-1
4842	3	-1
4842	4	-1
4842	5	-1
8448	1	-1
8448	2	-1
4678	1	-1
4678	2	-1
4678	3	-1
7277	1	-1
7277	2	-1
5909	1	-1
5909	2	-1
5909	3	-1
7902	1	-1
7902	2	-1
7902	3	-1
7902	4	-1
7902	5	-1
11591	1	-1
11591	2	-1
8156	1	-1
8156	2	-1
8156	3	-1
8156	4	-1
8159	1	-1
8159	2	-1
8159	3	-1
3100	1	-1
3100	2	-1
8399	1	-1
8399	2	-1
3105	1	-1
3105	2	-1
7000	1	-1
7000	2	-1
11739	1	-1
11739	2	-1
843	1	-1
843	2	-1
843	3	-1
842	1	-1
842	2	-1
842	3	-1
11786	1	-1
11786	2	-1
11786	3	-1
2846	1	-1
2846	2	-1
567	1	-1
567	2	-1
707	1	-1
707	2	-1
707	3	-1
707	4	-1
707	5	-1
4781	1	-1
4781	2	-1
711	1	-1
711	2	-1
711	3	-1
711	4	-1
711	5	-1
2580	1	-1
2580	2	-1
2578	1	-1
2578	2	-1
11428	1	-1
11428	2	-1
5285	1	-1
5285	2	-1
8489	1	-1
8489	2	-1
8489	3	-1
8489	4	-1
8489	5	-1
576	1	-1
576	2	-1
576	3	-1
9064	1	-1
9064	2	-1
9061	1	-1
9061	2	-1
570	1	-1
570	2	-1
570	3	-1
570	4	-1
570	5	-1
8442	1	-1
8442	2	-1
8442	3	-1
8442	4	-1
8442	5	-1
8442	6	-1
8442	7	-1
8442	8	-1
8442	9	-1
8442	10	-1
8442	11	-1
8442	12	-1
8442	13	-1
8442	14	-1
8442	15	-1
8442	16	-1
8442	17	-1
8442	18	-1
8442	19	-1
8442	20	-1
8442	21	-1
8442	22	-1
8442	23	-1
8442	24	-1
8442	25	-1
8442	26	-1
8442	27	-1
8442	28	-1
8442	29	-1
8442	30	-1
8442	31	-1
8442	32	-1
4821	1	-1
4821	2	-1
4821	3	-1
4821	4	-1
4821	5	-1
4821	6	-1
4821	7	-1
4821	8	-1
4821	9	-1
563	1	-1
563	2	-1
565	1	-1
565	2	-1
8441	1	-1
8441	2	-1
8441	3	-1
8441	4	-1
8028	1	-1
8028	2	-1
8028	3	-1
8028	4	-1
8028	5	-1
8028	6	-1
8028	7	-1
8028	8	-1
8028	9	-1
8028	10	-1
8028	11	-1
8028	12	-1
8028	13	-1
8028	14	-1
8028	15	-1
8028	16	-1
8028	17	-1
8028	18	-1
8028	19	-1
8028	20	-1
8028	21	-1
8028	22	-1
8028	23	-1
8028	24	-1
8028	25	-1
8028	26	-1
8028	27	-1
8028	28	-1
8028	29	-1
8028	30	-1
8028	31	-1
8028	32	-1
8028	33	-1
8028	34	-1
8028	35	-1
8028	36	-1
8028	37	-1
8028	38	-1
8028	39	-1
11593	1	-1
11593	2	-1
11592	1	-1
11592	2	-1
9012	1	-1
9012	2	-1
11557	1	-1
11557	2	-1
11253	1	-1
11253	2	-1
11253	3	-1
2614	1	-1
2614	2	-1
7468	1	-1
7468	2	-1
4597	1	-1
4597	2	-1
4597	3	-1
4597	4	-1
4597	5	-1
4597	6	-1
4599	1	-1
4599	2	-1
4599	3	-1
4599	4	-1
4599	5	-1
7784	1	-1
7784	2	-1
8419	1	-1
8419	2	-1
8418	1	-1
8418	2	-1
8418	3	-1
8418	4	-1
8418	5	-1
8418	6	-1
3649	1	-1
3649	2	-1
9888	1	-1
9888	2	-1
8525	1	-1
8525	2	-1
4430	1	-1
4430	2	-1
4430	3	-1
8520	1	-1
8520	2	-1
10347	1	-1
10347	2	-1
7369	1	-1
7369	2	-1
7838	1	-1
7838	2	-1
7840	1	-1
7840	2	-1
7841	1	-1
7841	2	-1
7841	3	-1
7841	4	-1
7841	5	-1
7841	6	-1
7841	7	-1
7841	8	-1
7841	9	-1
7841	10	-1
7841	11	-1
7841	12	-1
7841	13	-1
7841	14	-1
7841	15	-1
7841	16	-1
7841	17	-1
7841	18	-1
7841	19	-1
7841	20	-1
7841	21	-1
7841	22	-1
7841	23	-1
7841	24	-1
7841	25	-1
7841	26	-1
7841	27	-1
7841	28	-1
7841	29	-1
7841	30	-1
7841	31	-1
7841	32	-1
7841	33	-1
7841	34	-1
7841	35	-1
7841	36	-1
7841	37	-1
7841	38	-1
7841	39	-1
7841	40	-1
7841	41	-1
7841	42	-1
7841	43	-1
7841	44	-1
7841	45	-1
7841	46	-1
7841	47	-1
7841	48	-1
7841	49	-1
7841	50	-1
7841	51	-1
7841	52	-1
7841	53	-1
7841	54	-1
7841	55	-1
7841	56	-1
7841	57	-1
7841	58	-1
7841	59	-1
7841	60	-1
7841	61	-1
7841	62	-1
7841	63	-1
7841	64	-1
7841	65	-1
7841	66	-1
7841	67	-1
7841	68	-1
7841	69	-1
7841	70	-1
7841	71	-1
7841	72	-1
7841	73	-1
7841	74	-1
7841	75	-1
7841	76	-1
7841	77	-1
7841	78	-1
7841	79	-1
7841	80	-1
7841	81	-1
7841	82	-1
7841	83	-1
7841	84	-1
7841	85	-1
7841	86	-1
7841	87	-1
7841	88	-1
7841	89	-1
7841	90	-1
7841	91	-1
7841	92	-1
7841	93	-1
7841	94	-1
7841	95	-1
7841	96	-1
7841	97	-1
7841	98	-1
7841	99	-1
7841	100	-1
7841	101	-1
7841	102	-1
7841	103	-1
7841	104	-1
7841	105	-1
7841	106	-1
7841	107	-1
7841	108	-1
7841	109	-1
7841	110	-1
7841	111	-1
7841	112	-1
7841	113	-1
7841	114	-1
7841	115	-1
7841	116	-1
7841	117	-1
7841	118	-1
7841	119	-1
7841	120	-1
7841	121	-1
7841	122	-1
7841	123	-1
7841	124	-1
7841	125	-1
7841	126	-1
7841	127	-1
7841	128	-1
7841	129	-1
7841	130	-1
7841	131	-1
7841	132	-1
7841	133	-1
7841	134	-1
7841	135	-1
7841	136	-1
7841	137	-1
7841	138	-1
7841	139	-1
6437	1	-1
6437	2	-1
9321	1	-1
9321	2	-1
9321	3	-1
4446	1	-1
4446	2	-1
11187	1	-1
11187	2	-1
9434	1	-1
9434	2	-1
8620	1	-1
8620	2	-1
1083	1	-1
1083	2	-1
11982	1	-1
11982	2	-1
9313	1	-1
9313	2	-1
9313	3	-1
9313	4	-1
9313	5	-1
11880	1	-1
11880	2	-1
4409	1	-1
4409	2	-1
4408	1	-1
4408	2	-1
1946	1	-1
1946	2	-1
1946	3	-1
3281	1	-1
3281	2	-1
512	1	-1
512	2	-1
512	3	-1
512	4	-1
512	5	-1
3081	1	-1
3081	2	-1
9068	1	-1
9068	2	-1
9068	3	-1
3995	1	-1
3995	2	-1
3995	3	-1
3995	4	-1
3995	5	-1
10828	1	-1
10828	2	-1
10828	3	-1
10828	4	-1
8711	1	-1
8711	2	-1
3998	1	-1
3998	2	-1
3998	3	-1
3998	4	-1
3998	5	-1
3998	6	-1
3998	7	-1
8162	1	-1
8162	2	-1
8168	1	1
8168	2	1
8168	3	1
8239	1	-1
8239	2	-1
8891	1	-1
8891	2	-1
8891	3	-1
8891	4	-1
8891	5	-1
8891	6	-1
8891	7	-1
8891	8	-1
8891	9	-1
8891	10	-1
8891	11	-1
8891	12	-1
8891	13	-1
8891	14	-1
8891	15	-1
8891	16	-1
8891	17	-1
8891	18	-1
8891	19	-1
8891	20	-1
8891	21	-1
8891	22	-1
8891	23	-1
8891	24	-1
11830	1	-1
11830	2	-1
9859	1	-1
9859	2	-1
9859	3	-1
10363	1	-1
10363	2	-1
10363	3	-1
10363	4	-1
5063	1	-1
5063	2	-1
9133	1	-1
9133	2	-1
8837	1	-1
8837	2	-1
9027	1	-1
9027	2	-1
10581	1	-1
10581	2	-1
10581	3	-1
10741	1	-1
10741	2	-1
10741	3	-1
11911	1	-1
