date_hour	count	rating
689	1	1
689	2	1
689	3	1
8202	1	1
8202	2	1
8202	3	1
8202	4	1
8202	5	1
8202	6	2
8202	7	2
8202	8	2
11329	1	-1
11329	2	-1
9649	1	-1
9649	2	-1
7974	1	1
7974	2	1
7974	3	1
7974	4	2
7974	5	2
7974	6	2
7974	7	2
4417	1	1
4417	2	1
4417	3	2
4417	4	2
4416	1	1
4416	2	1
7948	1	2
7948	2	2
7948	3	2
7948	4	2
7968	1	2
7968	2	2
7968	3	2
7950	1	2
7950	2	2
7950	3	2
7944	1	1
7944	2	1
7944	3	1
7944	4	1
7944	5	1
7944	6	1
7944	7	2
7944	8	2
7944	9	2
7944	10	2
7944	11	2
7944	12	2
7944	13	2
7944	14	2
7944	15	2
7944	16	2
7944	17	2
7944	18	2
7944	19	2
7944	20	2
7944	21	2
7944	22	2
7944	23	2
7944	24	2
7944	25	2
7944	26	2
7944	27	2
7944	28	2
7944	29	2
7944	30	2
7944	31	2
7944	32	2
7944	33	2
7944	34	2
7944	35	2
7944	36	2
7944	37	2
7944	38	2
7944	39	2
7944	40	2
7944	41	2
7944	42	2
7944	43	2
7944	44	2
7944	45	2
7944	46	2
7944	47	2
7944	48	2
7944	49	2
7944	50	2
7944	51	2
7944	52	2
7944	53	2
7944	54	2
7944	55	2
7944	56	2
7944	57	2
7944	58	2
7944	59	2
7944	60	2
7944	61	2
7945	1	1
7945	2	1
7945	3	1
7945	4	2
7945	5	2
7945	6	2
7945	7	2
7945	8	2
7945	9	2
7945	10	2
7945	11	2
7945	12	2
7945	13	2
7945	14	2
7945	15	2
7945	16	2
7945	17	2
7945	18	2
7945	19	2
7945	20	2
7945	21	2
7945	22	2
7945	23	2
7945	24	2
7945	25	2
7945	26	2
7945	27	2
7945	28	2
7945	29	2
7945	30	2
7945	31	2
7945	32	2
7945	33	2
7945	34	2
7945	35	2
7945	36	2
7945	37	2
7945	38	2
7945	39	2
7945	40	2
7945	41	2
7945	42	2
7946	1	1
7946	2	1
7946	3	2
7946	4	2
7946	5	2
7946	6	2
7946	7	2
7946	8	2
7946	9	2
7946	10	2
7946	11	2
7946	12	2
7946	13	2
7946	14	2
7946	15	2
7946	16	2
7946	17	2
7946	18	2
7946	19	2
7946	20	2
7946	21	2
7946	22	2
7946	23	2
7946	24	2
7946	25	2
7946	26	2
7946	27	2
7946	28	2
7946	29	2
7946	30	2
7946	31	2
7946	32	2
7946	33	2
7946	34	2
7946	35	2
7947	1	2
7947	2	2
7947	3	2
7947	4	2
7947	5	2
7947	6	2
7967	1	1
7967	2	1
7967	3	1
7967	4	1
7967	5	1
7967	6	1
7967	7	1
7967	8	2
7967	9	2
7967	10	2
7967	11	2
7967	12	2
7967	13	2
7967	14	2
4404	1	1
4404	2	1
4404	3	1
4404	4	1
4404	5	1
4404	6	2
4404	7	2
4404	8	2
3807	1	1
3807	2	1
3807	3	1
1790	1	-1
1790	2	-1
7510	1	-1
7510	2	-1
4388	1	1
4388	2	1
4685	1	1
4685	2	1
4685	3	1
4685	4	1
4685	5	1
7959	1	2
7959	2	2
7959	3	2
7959	4	2
7959	5	2
7959	6	2
7959	7	2
7959	8	2
7959	9	2
7959	10	2
7959	11	2
7959	12	2
7959	13	2
4395	1	1
4395	2	1
4395	3	1
4395	4	1
4395	5	1
4395	6	1
4395	7	2
4395	8	2
9590	1	1
9590	2	1
9590	3	1
9082	1	-1
9082	2	-1
7943	1	1
7943	2	1
7943	3	2
7943	4	2
7943	5	2
7943	6	2
7943	7	2
7943	8	2
7943	9	2
7943	10	2
7943	11	2
7943	12	2
7943	13	2
7943	14	2
7943	15	2
7943	16	2
7943	17	2
7943	18	2
7943	19	2
7943	20	2
7943	21	2
7943	22	2
7943	23	2
7943	24	2
7943	25	2
7943	26	2
7943	27	2
7943	28	2
7943	29	2
7943	30	2
7943	31	2
7943	32	2
7943	33	2
7943	34	2
7943	35	2
7943	36	2
7943	37	2
7943	38	2
7943	39	2
7943	40	2
7943	41	2
7943	42	2
7943	43	2
7943	44	2
7943	45	2
7943	46	2
7943	47	2
7943	48	2
7942	1	2
7942	2	2
7942	3	2
7942	4	2
7942	5	2
7942	6	2
7942	7	2
7942	8	2
7942	9	2
7942	10	2
7942	11	2
7942	12	2
7942	13	2
7942	14	2
7942	15	2
7942	16	2
7942	17	2
7942	18	2
7942	19	2
7942	20	2
7942	21	2
7942	22	2
7942	23	2
7942	24	2
7942	25	2
7942	26	2
7942	27	2
7942	28	2
7942	29	2
7942	30	2
7942	31	2
4400	1	1
4400	2	1
4400	3	2
4400	4	2
10590	1	-1
10590	2	-1
10590	3	-1
7957	1	2
7957	2	2
7957	3	2
7956	1	2
7956	2	2
7956	3	2
7956	4	2
7956	5	2
7956	6	2
7956	7	2
7956	8	2
7956	9	2
7960	1	2
7960	2	2
7960	3	2
4394	1	1
4394	2	1
4394	3	1
4394	4	2
4394	5	2
4636	1	0
4636	2	0
4636	3	2
4636	4	2
10611	1	-1
10611	2	-1
4770	1	-1
4770	2	-1
7963	1	1
7963	2	1
7963	3	1
7963	4	2
7963	5	2
7963	6	2
7963	7	2
9676	1	1
9676	2	1
9676	3	1
9679	1	1
9679	2	1
