date_hour	count	rating
7333	1	-1
7333	2	-1
11981	1	2
11981	2	2
11981	3	2
7423	1	1
7423	2	1
12012	1	1
12012	2	1
12012	3	1
12010	1	1
12010	2	1
10006	1	-1
10006	2	-1
12017	1	1
12017	2	1
12017	3	1
12017	4	1
12014	1	1
12014	2	1
7043	1	-1
7043	2	-1
8201	1	-1
8201	2	-1
11455	1	1
11455	2	1
11454	1	1
11454	2	1
9786	1	-1
9786	2	-1
10326	1	1
10326	2	1
9860	1	-1
9860	2	-1
11725	1	2
11725	2	2
11725	3	2
9552	1	-1
9552	2	-1
9552	3	-1
2316	1	2
2316	2	2
2316	3	2
1825	1	-1
1825	2	-1
8708	1	-1
8708	2	-1
8830	1	-1
8830	2	-1
7937	1	1
7937	2	1
10272	1	1
10272	2	1
10272	3	1
7558	1	-1
7558	2	-1
10274	1	1
10274	2	1
9167	1	-1
9167	2	-1
9166	1	-1
9166	2	-1
9852	1	-1
9852	2	-1
8135	1	1
8135	2	1
8135	3	1
8073	1	1
8073	2	1
8073	3	1
11994	1	1
11994	2	1
9651	1	1
9651	2	1
6919	1	1
6919	2	1
12011	1	1
12011	2	1
11295	1	1
11295	2	1
11295	3	1
11904	1	1
11904	2	1
11904	3	1
11904	4	1
11904	5	1
11904	6	1
11904	7	1
11904	8	1
11904	9	1
11904	10	1
11904	11	1
11904	12	1
11904	13	1
11904	14	1
11904	15	1
11904	16	1
11904	17	1
4015	1	-1
4015	2	-1
8661	1	-1
8661	2	-1
8661	3	-1
7675	1	-1
7675	2	-1
11183	1	-1
11183	2	-1
11183	3	-1
11183	4	-1
11183	5	-1
11183	6	-1
11183	7	-1
11183	8	-1
11183	9	-1
11183	10	-1
11183	11	-1
11183	12	-1
11183	13	-1
11183	14	-1
10327	1	1
10327	2	1
10324	1	1
10324	2	1
10324	3	1
9228	1	-1
9228	2	-1
7462	1	-1
7462	2	-1
3006	1	1
3006	2	1
7143	1	1
7143	2	1
5012	1	1
5012	2	1
9616	1	-1
9616	2	-1
10271	1	1
10271	2	1
2399	1	2
2399	2	2
2399	3	2
2399	4	2
2399	5	2
10443	1	1
10443	2	1
10443	3	1
2414	1	-1
2414	2	-1
10000	1	-1
10000	2	-1
8494	1	-1
8494	2	-1
8584	1	-1
8584	2	-1
8584	3	-1
11969	1	1
11969	2	1
1821	1	-1
1821	2	-1
10516	1	1
10516	2	1
4801	1	1
4801	2	1
9803	1	-1
9803	2	-1
10780	1	1
10780	2	1
10780	3	1
7173	1	-1
7173	2	-1
4339	1	1
4339	2	1
4339	3	1
4339	4	2
4339	5	2
4339	6	2
4339	7	2
4339	8	2
10738	1	1
10738	2	1
11925	1	1
11925	2	1
10785	1	-1
10785	2	-1
8053	1	-1
8053	2	-1
10942	1	-1
10942	2	-1
2574	1	1
2574	2	1
10690	1	1
10690	2	1
10690	3	1
10690	4	1
10690	5	1
11937	1	1
11937	2	1
9684	1	-1
9684	2	-1
11933	1	1
11933	2	1
11928	1	1
11928	2	1
11928	3	1
11928	4	1
11930	1	1
11930	2	1
11930	3	1
888	1	1
888	2	1
10530	1	-1
10530	2	-1
8681	1	-1
8681	2	-1
2895	1	-1
2895	2	-1
11457	1	1
11457	2	1
9336	1	-1
9336	2	-1
9336	3	-1
4764	1	-1
4764	2	-1
4764	3	-1
10686	1	1
10686	2	1
10120	1	-1
10120	2	-1
7150	1	-1
7150	2	-1
2779	1	-1
2779	2	-1
11944	1	1
11944	2	1
11945	1	1
11945	2	1
9791	1	-1
9791	2	-1
9791	3	-1
9791	4	1
9791	5	1
9791	6	1
11943	1	1
11943	2	1
11938	1	1
11938	2	1
7087	1	1
7087	2	1
615	1	-1
615	2	-1
11996	1	1
11996	2	1
5121	1	-1
5121	2	-1
11952	1	1
11952	2	1
10090	1	-1
10090	2	-1
7858	1	-1
7858	2	-1
11826	1	-1
11826	2	-1
8998	1	-1
8998	2	-1
11993	1	1
11993	2	1
9393	1	-1
9393	2	-1
11990	1	1
11990	2	1
11988	1	1
11988	2	1
11987	1	1
11987	2	1
1454	1	-1
1454	2	-1
4430	1	1
4430	2	1
4430	3	1
4430	4	1
4430	5	1
9897	1	-1
9897	2	-1
11968	1	1
11968	2	1
7591	1	1
7591	2	1
11962	1	1
11962	2	1
11964	1	1
11964	2	1
11964	3	1
11964	4	1
7857	1	1
7857	2	1
7857	3	1
4443	1	1
4443	2	1
4443	3	1
4443	4	2
4443	5	2
4443	6	2
4443	7	2
4443	8	2
11813	1	1
11813	2	1
10982	1	-1
10982	2	-1
