date_hour	count	rating
1441	1	2
1441	2	2
6325	1	2
6325	2	2
2270	1	2
2270	2	2
2270	3	2
2270	4	2
2270	5	2
9862	1	1
9862	2	1
9862	3	1
9862	4	2
9862	5	2
9862	6	2
9863	1	1
9863	2	1
9863	3	2
9863	4	2
9861	1	0
9861	2	0
4351	1	2
4351	2	2
4351	3	2
4351	4	2
2998	1	2
2998	2	2
2998	3	2
2974	1	0
2974	2	0
7998	1	-1
7998	2	-1
4247	1	1
4247	2	1
4247	3	2
4247	4	2
4247	5	2
8513	1	1
8513	2	1
3449	1	1
3449	2	1
3449	3	1
3449	4	2
3449	5	2
3817	1	1
3817	2	1
10307	1	-1
10307	2	-1
7693	1	-1
7693	2	-1
7693	3	-1
7693	4	-1
7693	5	-1
7693	6	-1
7693	7	-1
7693	8	-1
7693	9	-1
7693	10	-1
7693	11	-1
7693	12	-1
7693	13	-1
7693	14	-1
7693	15	-1
7693	16	-1
7693	17	-1
7693	18	-1
7693	19	-1
7691	1	2
7691	2	2
7691	3	2
7190	1	0
7190	2	0
5216	1	2
5216	2	2
1243	1	-1
1243	2	-1
9910	1	1
9910	2	1
5072	1	1
5072	2	1
5072	3	2
5072	4	2
9480	1	-1
9480	2	-1
9480	3	-1
5215	1	1
5215	2	1
5215	3	2
5215	4	2
2407	1	2
2407	2	2
2407	3	2
4864	1	0
4864	2	0
4864	3	0
4864	4	0
4864	5	0
1622	1	0
1622	2	0
4862	1	0
4862	2	0
4862	3	0
4862	4	0
4863	1	0
4863	2	0
4863	3	0
4863	4	0
4860	1	0
4860	2	0
4860	3	0
4861	1	0
4861	2	0
4861	3	0
4859	1	0
4859	2	0
4859	3	0
4859	4	0
4859	5	0
10024	1	1
10024	2	1
4867	1	0
4867	2	0
2787	1	0
2787	2	0
3525	1	0
3525	2	0
7252	1	-1
7252	2	-1
7252	3	-1
7252	4	-1
7252	5	-1
4682	1	1
4682	2	1
4682	3	2
4682	4	2
2681	1	0
2681	2	0
4686	1	1
4686	2	1
11855	1	1
11855	2	1
4874	1	0
4874	2	0
4044	1	-1
4044	2	-1
4044	3	-1
4044	4	-1
4044	5	-1
4873	1	-1
4873	2	-1
4144	1	1
4144	2	1
4961	1	-1
4961	2	-1
4959	1	2
4959	2	2
4959	3	2
4959	4	2
7164	1	-1
7164	2	-1
7983	1	-1
7983	2	-1
7983	3	-1
4623	1	1
4623	2	1
4623	3	2
4623	4	2
4621	1	1
4621	2	1
4621	3	2
