date_hour	count	rating
9879	1	-1
9879	2	-1
8912	1	-1
8912	2	-1
8912	3	-1
8912	4	-1
9929	1	-1
9929	2	-1
7409	1	1
7409	2	1
3624	1	1
3624	2	1
2306	1	-1
2306	2	-1
5682	1	-1
5682	2	-1
7353	1	-1
7353	2	-1
7353	3	-1
7353	4	-1
3905	1	-1
3905	2	-1
3905	3	-1
3905	4	-1
3905	5	-1
3904	1	-1
3904	2	-1
3899	1	-1
3899	2	-1
3899	3	-1
2709	1	-1
2709	2	-1
2271	1	-1
2271	2	-1
2272	1	-1
2272	2	-1
2272	3	-1
2272	4	-1
2272	5	-1
8243	1	-1
8243	2	-1
8243	3	-1
2268	1	-1
2268	2	-1
385	1	-1
385	2	-1
384	1	-1
384	2	-1
387	1	-1
387	2	-1
2291	1	-1
2291	2	-1
2293	1	-1
2293	2	-1
2292	1	-1
2292	2	-1
9863	1	-1
9863	2	-1
11031	1	-1
11031	2	-1
11031	3	-1
11031	4	-1
11031	5	-1
9861	1	-1
9861	2	-1
9861	3	-1
7635	1	-1
7635	2	-1
7635	3	-1
7635	4	-1
7635	5	-1
1140	1	-1
1140	2	-1
8514	1	-1
8514	2	-1
3018	1	-1
3018	2	-1
5059	1	-1
5059	2	-1
5059	3	-1
5059	4	-1
5059	5	-1
11347	1	-1
11347	2	-1
11347	3	-1
11347	4	-1
11347	5	-1
2974	1	-1
2974	2	-1
5052	1	-1
5052	2	-1
5052	3	-1
5052	4	-1
5052	5	-1
10201	1	-1
10201	2	-1
10201	3	-1
4969	1	2
4969	2	2
4969	3	2
4969	4	2
4969	5	2
3958	1	-1
3958	2	-1
3958	3	-1
3958	4	-1
3958	5	-1
3958	6	-1
3958	7	-1
3959	1	-1
3959	2	-1
3451	1	-1
3451	2	-1
9043	1	1
9043	2	1
9043	3	1
7993	1	-1
7993	2	-1
9039	1	1
9039	2	1
9038	1	1
9038	2	1
9038	3	1
9038	4	1
9038	5	1
3627	1	-1
3627	2	-1
9034	1	1
9034	2	1
9034	3	1
9034	4	1
9034	5	1
9034	6	1
9034	7	1
9034	8	1
9034	9	1
9034	10	1
9034	11	1
9034	12	1
9034	13	1
9037	1	1
9037	2	1
9037	3	1
9037	4	1
9037	5	1
9037	6	1
10511	1	-1
10511	2	-1
1523	1	-1
1523	2	-1
1522	1	-1
1522	2	-1
10751	1	-1
10751	2	-1
11919	1	-1
11919	2	-1
7699	1	-1
7699	2	-1
7699	3	-1
10309	1	-1
10309	2	-1
3825	1	-1
3825	2	-1
7193	1	1
7193	2	1
7193	3	2
7193	4	2
9282	1	-1
9282	2	-1
9282	3	-1
9282	4	-1
9282	5	-1
9282	6	-1
9282	7	-1
9282	8	-1
9282	9	-1
9282	10	-1
9282	11	-1
9282	12	-1
9283	1	-1
9283	2	-1
1243	1	1
1243	2	1
2979	1	-1
2979	2	-1
2978	1	-1
2978	2	-1
4092	1	-1
4092	2	-1
1151	1	-1
1151	2	-1
7454	1	-1
7454	2	-1
7454	3	-1
1235	1	-1
1235	2	-1
1235	3	-1
4098	1	-1
4098	2	-1
4098	3	-1
4098	4	-1
4098	5	-1
4098	6	-1
4098	7	-1
4098	8	-1
4098	9	-1
9731	1	1
9731	2	1
1239	1	-1
1239	2	-1
208	1	-1
208	2	-1
208	3	-1
2403	1	-1
2403	2	-1
247	1	-1
247	2	-1
6169	1	-1
6169	2	-1
1625	1	-1
1625	2	-1
1486	1	-1
1486	2	-1
10115	1	-1
10115	2	-1
10943	1	1
10943	2	1
1626	1	-1
1626	2	-1
1626	3	-1
8954	1	-1
8954	2	-1
8954	3	-1
7250	1	-1
7250	2	-1
8956	1	-1
8956	2	-1
8956	3	-1
8956	4	-1
8956	5	-1
4295	1	-1
4295	2	-1
8959	1	-1
8959	2	-1
8959	3	-1
8959	4	-1
8959	5	-1
8959	6	-1
8960	1	-1
8960	2	-1
8960	3	-1
8960	4	-1
8960	5	-1
2676	1	-1
2676	2	-1
4436	1	-1
4436	2	-1
4436	3	-1
4050	1	-1
4050	2	-1
8769	1	-1
8769	2	-1
9554	1	-1
9554	2	-1
4873	1	-1
4873	2	-1
4049	1	-1
4049	2	-1
4049	3	-1
4049	4	-1
4049	5	-1
7671	1	1
7671	2	1
10409	1	1
10409	2	1
3478	1	-1
3478	2	-1
3477	1	-1
3477	2	-1
4963	1	2
4963	2	2
4963	3	2
4963	4	2
4963	5	2
4963	6	2
1582	1	-1
1582	2	-1
2812	1	-1
2812	2	-1
4939	1	-1
4939	2	-1
4958	1	2
4958	2	2
4958	3	2
4959	1	2
4959	2	2
8078	1	-1
8078	2	-1
7981	1	-1
7981	2	-1
7981	3	-1
7981	4	-1
7981	5	-1
7981	6	-1
7981	7	-1
7981	8	-1
7981	9	-1
7981	10	-1
7981	11	-1
7981	12	-1
7981	13	-1
7981	14	-1
7981	15	-1
7981	16	-1
7981	17	-1
7981	18	-1
7981	19	-1
7981	20	-1
7981	21	-1
7981	22	-1
7981	23	-1
7981	24	-1
7981	25	-1
7981	26	-1
7981	27	-1
7981	28	-1
7981	29	-1
7981	30	-1
7981	31	-1
7981	32	-1
7981	33	-1
7981	34	-1
7981	35	-1
7981	36	-1
7981	37	-1
7981	38	-1
7981	39	-1
7981	40	-1
7981	41	-1
7981	42	-1
7981	43	-1
7981	44	-1
7981	45	-1
7981	46	-1
7981	47	-1
7981	48	-1
7981	49	-1
7981	50	-1
7981	51	-1
7981	52	-1
7981	53	-1
7981	54	-1
7981	55	-1
7981	56	-1
7981	57	-1
7981	58	-1
7981	59	-1
7981	60	-1
7981	61	-1
7981	62	-1
7981	63	-1
7981	64	-1
7981	65	-1
7981	66	-1
7981	67	-1
7981	68	-1
7981	69	-1
7981	70	-1
7981	71	-1
7981	72	-1
7981	73	-1
7981	74	-1
7981	75	-1
7981	76	-1
7981	77	-1
7981	78	-1
7981	79	-1
7981	80	-1
7978	1	-1
7978	2	-1
2366	1	-1
2366	2	-1
2370	1	-1
2370	2	-1
2370	3	-1
7986	1	-1
7986	2	-1
7986	3	-1
7986	4	-1
7986	5	-1
8493	1	-1
8493	2	-1
8630	1	1
8630	2	1
8630	3	1
8630	4	1
8630	5	1
8630	6	1
3815	1	-1
3815	2	-1
3813	1	-1
3813	2	-1
3812	1	1
3812	2	1
4619	1	-1
4619	2	-1
8317	1	-1
8317	2	-1
8315	1	-1
8315	2	-1
798	1	-1
798	2	-1
10199	1	1
10199	2	1
10199	3	1
10199	4	1
4487	1	-1
4487	2	-1
4487	3	-1
4487	4	-1
4487	5	-1
5033	1	2
5033	2	2
5033	3	2
7131	1	-1
7131	2	-1
7131	3	-1
287	1	-1
287	2	-1
287	3	-1
287	4	-1
287	5	-1
8629	1	1
8629	2	1
1160	1	-1
1160	2	-1
9183	1	1
9183	2	1
9183	3	1
4256	1	-1
4256	2	-1
4256	3	-1
4256	4	-1
4256	5	-1
8973	1	-1
8973	2	-1
8973	3	-1
8973	4	1
8973	5	1
8973	6	1
8973	7	1
8973	8	1
8973	9	1
8973	10	1
8973	11	1
8973	12	1
8973	13	1
7884	1	-1
7884	2	-1
7884	3	-1
7884	4	-1
7884	5	-1
2274	1	1
2274	2	1
11143	1	-1
11143	2	-1
10851	1	-1
10851	2	-1
8882	1	-1
8882	2	-1
8882	3	-1
8882	4	-1
8882	5	-1
1584	1	-1
1584	2	-1
10404	1	-1
10404	2	-1
4935	1	-1
4935	2	-1
1548	1	-1
1548	2	-1
1549	1	-1
1549	2	-1
1593	1	-1
1593	2	-1
4677	1	-1
4677	2	-1
4581	1	-1
4581	2	-1
4581	3	-1
4581	4	-1
4581	5	-1
2873	1	-1
2873	2	-1
2642	1	-1
2642	2	-1
11704	1	1
11704	2	1
3545	1	-1
3545	2	-1
3544	1	-1
3544	2	-1
3544	3	-1
2648	1	-1
2648	2	-1
4353	1	-1
4353	2	-1
3538	1	-1
3538	2	-1
3096	1	-1
3096	2	-1
8157	1	-1
8157	2	-1
4352	1	-1
4352	2	-1
4352	3	-1
4352	4	-1
4352	5	-1
3103	1	-1
3103	2	-1
3926	1	-1
3926	2	-1
3926	3	-1
3926	4	-1
3926	5	-1
3927	1	-1
3927	2	-1
3927	3	-1
3927	4	-1
3927	5	-1
3928	1	-1
3928	2	-1
3781	1	-1
3781	2	-1
7091	1	-1
7091	2	-1
11565	1	-1
11565	2	-1
11565	3	-1
4112	1	-1
4112	2	-1
848	1	-1
848	2	-1
11539	1	-1
11539	2	-1
11539	3	-1
11539	4	-1
11539	5	-1
11539	6	-1
11045	1	-1
11045	2	-1
8042	1	-1
8042	2	-1
8042	3	-1
8042	4	-1
8042	5	-1
8042	6	-1
8042	7	-1
2844	1	-1
2844	2	-1
4104	1	-1
4104	2	-1
1414	1	-1
1414	2	-1
8344	1	-1
8344	2	-1
8344	3	-1
8344	4	-1
8344	5	-1
8344	6	-1
8344	7	-1
8344	8	-1
8344	9	-1
8344	10	-1
8344	11	-1
8344	12	-1
8344	13	-1
8344	14	-1
8344	15	-1
8344	16	-1
8344	17	-1
8344	18	-1
8344	19	-1
8344	20	-1
8344	21	-1
8344	22	-1
8344	23	-1
8344	24	-1
8344	25	-1
8344	26	-1
8344	27	-1
8344	28	-1
8344	29	-1
8344	30	-1
8344	31	-1
8344	32	-1
8344	33	-1
8344	34	-1
8344	35	-1
8344	36	-1
8344	37	-1
8344	38	-1
8344	39	-1
8344	40	-1
8344	41	-1
3293	1	-1
3293	2	-1
3874	1	-1
3874	2	-1
2169	1	-1
2169	2	-1
10684	1	-1
10684	2	-1
2581	1	-1
2581	2	-1
8866	1	-1
8866	2	-1
10911	1	1
10911	2	1
2583	1	-1
2583	2	-1
2587	1	-1
2587	2	-1
10117	1	-1
10117	2	-1
4177	1	-1
4177	2	-1
4177	3	-1
4177	4	-1
4177	5	-1
9675	1	-1
9675	2	-1
11946	1	-1
11946	2	-1
4019	1	-1
4019	2	-1
4019	3	-1
4019	4	-1
4019	5	-1
9064	1	1
9064	2	1
11564	1	-1
11564	2	-1
11564	3	-1
1499	1	-1
1499	2	-1
3318	1	-1
3318	2	-1
8754	1	-1
8754	2	-1
4821	1	1
4821	2	1
4821	3	1
4821	4	2
4821	5	2
4821	6	2
4821	7	2
9941	1	-1
9941	2	-1
8436	1	-1
8436	2	-1
8824	1	-1
8824	2	-1
1350	1	-1
1350	2	-1
9477	1	1
9477	2	1
8026	1	-1
8026	2	-1
1352	1	-1
1352	2	-1
1352	3	-1
2615	1	-1
2615	2	-1
11999	1	-1
11999	2	-1
4602	1	-1
4602	2	-1
4602	3	-1
4602	4	-1
4602	5	-1
4602	6	-1
4602	7	-1
4602	8	-1
4602	9	-1
4602	10	-1
4602	11	-1
9321	1	-1
9321	2	-1
9321	3	-1
9321	4	-1
9321	5	-1
9321	6	-1
9321	7	-1
9321	8	-1
9321	9	-1
9321	10	-1
9321	11	-1
9321	12	-1
9321	13	-1
9321	14	-1
9320	1	-1
9320	2	-1
9320	3	-1
11511	1	-1
11511	2	-1
11511	3	-1
4596	1	-1
4596	2	-1
4596	3	-1
4596	4	-1
4596	5	-1
4601	1	-1
4601	2	-1
4601	3	-1
4601	4	-1
4601	5	-1
9313	1	-1
9313	2	-1
9313	3	-1
3143	1	-1
3143	2	-1
3142	1	-1
3142	2	-1
3141	1	-1
3141	2	-1
8842	1	-1
8842	2	-1
7776	1	-1
7776	2	-1
7776	3	-1
7776	4	-1
7776	5	-1
11629	1	-1
11629	2	-1
11629	3	-1
11629	4	-1
11629	5	-1
11629	6	-1
11629	7	-1
11629	8	-1
1907	1	-1
1907	2	-1
3600	1	-1
3600	2	-1
3373	1	-1
3373	2	-1
4433	1	-1
4433	2	-1
4433	3	-1
4433	4	-1
4433	5	-1
4430	1	-1
4430	2	-1
3656	1	-1
3656	2	-1
7588	1	-1
7588	2	-1
11680	1	1
11680	2	1
7843	1	-1
7843	2	-1
10652	1	-1
10652	2	-1
10654	1	-1
10654	2	-1
10654	3	-1
9529	1	-1
9529	2	-1
9529	3	-1
4517	1	-1
4517	2	-1
4517	3	-1
4517	4	-1
4517	5	2
4517	6	2
4517	7	2
11280	1	1
11280	2	1
10163	1	-1
10163	2	-1
10965	1	-1
10965	2	-1
4440	1	-1
4440	2	-1
3173	1	-1
3173	2	-1
937	1	1
937	2	1
1986	1	-1
1986	2	-1
1986	3	-1
9955	1	-1
9955	2	-1
1083	1	-1
1083	2	-1
9129	1	-1
9129	2	-1
1848	1	-1
1848	2	-1
5442	1	2
5442	2	2
10317	1	-1
10317	2	-1
1980	1	-1
1980	2	-1
11317	1	-1
11317	2	-1
1761	1	1
1761	2	1
11314	1	-1
11314	2	-1
11321	1	-1
11321	2	-1
11288	1	-1
11288	2	-1
8725	1	-1
8725	2	-1
8725	3	-1
8725	4	-1
11322	1	1
11322	2	1
11322	3	1
8727	1	-1
8727	2	-1
4403	1	-1
4403	2	-1
4403	3	-1
4556	1	-1
4556	2	-1
4556	3	-1
4556	4	-1
4556	5	-1
980	1	1
980	2	1
8846	1	-1
8846	2	-1
9752	1	-1
9752	2	-1
9752	3	-1
11730	1	-1
11730	2	-1
11730	3	-1
11730	4	-1
11730	5	-1
11730	6	-1
11730	7	-1
11730	8	-1
11730	9	-1
11730	10	-1
11731	1	-1
11731	2	-1
11731	3	-1
11731	4	-1
11731	5	-1
11731	6	-1
11731	7	-1
11731	8	-1
11731	9	-1
11731	10	-1
11731	11	-1
11731	12	-1
11731	13	-1
11731	14	-1
11731	15	-1
11731	16	-1
11731	17	-1
11731	18	-1
11729	1	-1
11729	2	-1
11729	3	-1
359	1	-1
359	2	-1
359	3	-1
3283	1	-1
3283	2	-1
11225	1	-1
11225	2	-1
11225	3	-1
7239	1	1
7239	2	1
328	1	-1
328	2	-1
2384	1	-1
2384	2	-1
11865	1	-1
11865	2	-1
1451	1	-1
1451	2	-1
3073	1	1
3073	2	1
283	1	-1
283	2	-1
8709	1	1
8709	2	1
4488	1	-1
4488	2	-1
8164	1	-1
8164	2	-1
8164	3	-1
8160	1	-1
8160	2	-1
8160	3	-1
3897	1	-1
3897	2	-1
1796	1	-1
1796	2	-1
11461	1	-1
11461	2	-1
11461	3	-1
1257	1	-1
1257	2	-1
11628	1	-1
11628	2	-1
11628	3	-1
11628	4	-1
11628	5	-1
11628	6	-1
11628	7	-1
11628	8	-1
402	1	-1
402	2	-1
402	3	-1
11459	1	-1
11459	2	-1
11459	3	-1
11459	4	-1
1254	1	-1
1254	2	-1
395	1	-1
395	2	-1
9856	1	1
9856	2	1
2950	1	-1
2950	2	-1
1809	1	-1
1809	2	-1
1809	3	-1
9852	1	-1
9852	2	-1
1032	1	-1
1032	2	-1
8150	1	-1
8150	2	-1
8923	1	-1
8923	2	-1
3955	1	-1
3955	2	-1
3955	3	-1
3955	4	-1
3955	5	-1
3955	6	-1
3954	1	-1
3954	2	-1
3954	3	-1
3954	4	-1
3951	1	1
3951	2	1
3951	3	2
3951	4	2
1701	1	-1
1701	2	-1
11290	1	-1
11290	2	-1
10739	1	-1
10739	2	-1
10739	3	-1
10739	4	-1
10739	5	-1
9022	1	2
9022	2	2
9027	1	-1
9027	2	-1
9027	3	-1
9025	1	-1
9025	2	-1
9025	3	-1
2341	1	-1
2341	2	-1
10250	1	-1
10250	2	-1
2347	1	1
2347	2	1
2347	3	2
2347	4	2
1521	1	-1
1521	2	-1
1521	3	-1
1521	4	-1
1521	5	-1
1521	6	-1
1521	7	-1
1521	8	-1
185	1	-1
185	2	-1
185	3	-1
7686	1	-1
7686	2	-1
7686	3	-1
9495	1	1
9495	2	1
1141	1	-1
1141	2	-1
2991	1	-1
2991	2	-1
2992	1	-1
2992	2	-1
5070	1	-1
5070	2	-1
5070	3	-1
5070	4	-1
5070	5	-1
5070	6	-1
5070	7	-1
5012	1	2
5012	2	2
5012	3	2
257	1	-1
257	2	-1
257	3	-1
257	4	-1
257	5	-1
11112	1	1
11112	2	1
4732	1	-1
4732	2	-1
4732	3	-1
4732	4	-1
4732	5	-1
5014	1	2
5014	2	2
5014	3	2
5014	4	2
5014	5	2
9084	1	1
9084	2	1
9084	3	1
9084	4	1
9084	5	1
4731	1	-1
4731	2	-1
4730	1	1
4730	2	1
4730	3	2
4730	4	2
4730	5	2
1475	1	-1
1475	2	-1
1475	3	-1
1475	4	-1
2082	1	-1
2082	2	-1
1609	1	-1
1609	2	-1
11019	1	-1
11019	2	-1
1483	1	-1
1483	2	-1
2081	1	-1
2081	2	-1
7961	1	-1
7961	2	-1
7961	3	-1
7961	4	-1
7961	5	-1
10642	1	-1
10642	2	-1
8043	1	-1
8043	2	-1
8043	3	-1
2606	1	-1
2606	2	-1
4696	1	-1
4696	2	-1
4696	3	-1
4696	4	-1
4696	5	-1
9480	1	-1
9480	2	-1
9480	3	-1
9480	4	-1
