date_hour	count	rating
1380	1	0
1380	2	0
1380	3	2
1380	4	2
1444	1	1
1444	2	1
11522	1	-1
11522	2	-1
1438	1	0
1438	2	0
1438	3	1
1438	4	1
1384	1	0
1384	2	0
1384	3	2
1384	4	2
8333	1	1
8333	2	1
8333	3	1
8333	4	2
8333	5	2
8333	6	2
7349	1	1
7349	2	1
7349	3	2
7349	4	2
1593	1	1
1593	2	1
7310	1	2
7310	2	2
7310	3	2
7310	4	2
7310	5	2
4754	1	2
4754	2	2
4754	3	2
4754	4	2
4754	5	2
4754	6	2
4754	7	2
7317	1	1
7317	2	1
2107	1	0
2107	2	0
2107	3	1
2107	4	1
4031	1	2
4031	2	2
4031	3	2
8178	1	-1
8178	2	-1
8178	3	-1
8178	4	-1
8178	5	-1
3834	1	0
3834	2	0
3834	3	1
3834	4	1
3834	5	1
4068	1	1
4068	2	1
4069	1	1
4069	2	1
4069	3	1
4069	4	2
4069	5	2
4069	6	2
4066	1	0
4066	2	0
4066	3	0
4066	4	1
4066	5	1
4066	6	1
4066	7	1
4066	8	1
4066	9	2
4066	10	2
4066	11	2
4066	12	2
4066	13	2
2120	1	1
2120	2	1
4437	1	0
4437	2	0
4296	1	2
4296	2	2
4296	3	2
4296	4	2
4296	5	2
4296	6	2
4296	7	2
1322	1	1
1322	2	1
4106	1	2
4106	2	2
4106	3	2
4106	4	2
4106	5	2
4106	6	2
4106	7	2
4430	1	2
4430	2	2
4430	3	2
4430	4	2
4430	5	2
4430	6	2
4430	7	2
1581	1	1
1581	2	1
609	1	-1
609	2	-1
4111	1	2
4111	2	2
4111	3	2
4111	4	2
4111	5	2
4111	6	2
4111	7	2
5871	1	1
5871	2	1
5871	3	2
5871	4	2
7373	1	0
7373	2	0
8287	1	-1
8287	2	-1
8287	3	-1
8287	4	-1
8287	5	-1
8287	6	-1
2637	1	-1
2637	2	-1
8508	1	-1
8508	2	-1
8508	3	-1
4177	1	2
4177	2	2
4177	3	2
4386	1	2
4386	2	2
4386	3	2
6312	1	-1
6312	2	-1
7678	1	1
7678	2	1
7678	3	2
7678	4	2
11158	1	0
11158	2	0
2127	1	0
2127	2	0
2127	3	1
2127	4	1
11712	1	0
11712	2	0
