date_hour	count	rating
9435	1	-1
9435	2	-1
9435	3	-1
9435	4	0
9435	5	0
9435	6	0
9409	1	-1
9409	2	-1
8548	1	1
8548	2	1
8548	3	2
8548	4	2
8469	1	-1
8469	2	-1
9133	1	0
9133	2	0
9133	3	0
9133	4	0
9133	5	0
7154	1	1
7154	2	1
9398	1	-1
9398	2	-1
9398	3	-1
1088	1	-1
1088	2	-1
9307	1	-1
9307	2	-1
10932	1	-1
10932	2	-1
11005	1	-1
11005	2	-1
11005	3	-1
8852	1	0
8852	2	0
9013	1	0
9013	2	0
9013	3	0
9352	1	-1
9352	2	-1
9457	1	-1
9457	2	-1
11974	1	-1
11974	2	-1
11974	3	-1
11974	4	-1
9110	1	0
9110	2	0
9156	1	0
9156	2	0
9214	1	-1
9214	2	-1
8900	1	0
8900	2	0
9233	1	-1
9233	2	-1
9334	1	-1
9334	2	-1
9168	1	-1
9168	2	-1
9171	1	-1
9171	2	-1
9171	3	-1
9171	4	0
9171	5	0
9227	1	-1
9227	2	-1
9227	3	-1
8872	1	0
8872	2	0
9188	1	-1
9188	2	-1
9188	3	-1
9188	4	0
9188	5	0
9188	6	0
9302	1	-1
9302	2	-1
9051	1	0
9051	2	0
9276	1	-1
9276	2	-1
9276	3	0
9276	4	0
8556	1	1
8556	2	1
8556	3	2
8556	4	2
9132	1	0
9132	2	0
9132	3	0
1075	1	-1
1075	2	-1
9085	1	0
9085	2	0
8920	1	0
8920	2	0
9358	1	-1
9358	2	-1
9358	3	0
9358	4	0
8965	1	0
8965	2	0
8965	3	0
8965	4	0
8965	5	0
9040	1	0
9040	2	0
9338	1	-1
9338	2	-1
9374	1	-1
9374	2	-1
9331	1	-1
9331	2	-1
9331	3	0
9331	4	0
8940	1	0
8940	2	0
8971	1	0
8971	2	0
9205	1	-1
9205	2	-1
9205	3	-1
8992	1	0
8992	2	0
9066	1	0
9066	2	0
9066	3	0
9420	1	-1
9420	2	-1
8858	1	0
8858	2	0
8858	3	0
8989	1	-1
8989	2	-1
8989	3	0
8989	4	0
9453	1	-1
9453	2	-1
9182	1	-1
9182	2	-1
