date_hour	count	rating
3062	1	0
3062	2	0
5132	1	2
5132	2	2
5132	3	2
5132	4	2
5132	5	2
5045	1	2
5045	2	2
5045	3	2
5045	4	2
5045	5	2
6360	1	2
6360	2	2
6360	3	2
10740	1	2
10740	2	2
11055	1	1
11055	2	1
11055	3	1
11055	4	1
11055	5	1
11055	6	1
11055	7	1
11055	8	1
11055	9	2
11055	10	2
11055	11	2
11055	12	2
9950	1	2
9950	2	2
11240	1	1
11240	2	1
9373	1	2
9373	2	2
9373	3	2
7484	1	1
7484	2	1
7484	3	1
7484	4	1
7484	5	1
7484	6	1
7484	7	1
7484	8	1
7484	9	1
7485	1	1
7485	2	1
7485	3	1
7486	1	1
7486	2	1
7486	3	1
7486	4	1
7486	5	1
7486	6	1
7486	7	1
7486	8	1
7486	9	1
7486	10	1
7486	11	1
7487	1	1
7487	2	1
7487	3	1
7487	4	1
7487	5	1
11236	1	2
11236	2	2
8887	1	2
8887	2	2
11036	1	1
11036	2	1
11036	3	1
11036	4	2
11036	5	2
11036	6	2
11036	7	2
11036	8	2
11039	1	1
11039	2	1
11039	3	1
11039	4	1
11039	5	1
11039	6	2
11039	7	2
11039	8	2
8742	1	1
8742	2	1
8742	3	2
8742	4	2
10831	1	2
10831	2	2
9750	1	2
9750	2	2
9750	3	2
9750	4	2
11038	1	1
11038	2	1
11038	3	2
11038	4	2
10974	1	1
10974	2	1
10974	3	1
10974	4	1
10974	5	1
10974	6	2
10974	7	2
10709	1	2
10709	2	2
10972	1	1
10972	2	1
10972	3	2
10972	4	2
10972	5	2
10972	6	2
11312	1	-1
11312	2	-1
7326	1	2
7326	2	2
11310	1	-1
11310	2	-1
8965	1	2
8965	2	2
10710	1	2
10710	2	2
11037	1	1
11037	2	1
8800	1	2
8800	2	2
8800	3	2
8800	4	2
8800	5	2
8800	6	2
4533	1	1
4533	2	1
8235	1	1
8235	2	1
8235	3	1
8235	4	1
8235	5	1
8237	1	1
8237	2	1
8261	1	0
8261	2	0
8261	3	0
8261	4	1
8261	5	1
8261	6	1
8261	7	1
8261	8	1
3821	1	1
3821	2	1
8265	1	1
8265	2	1
8896	1	1
8896	2	1
8896	3	2
8896	4	2
10333	1	0
10333	2	0
10333	3	0
10333	4	0
10333	5	0
10333	6	0
10333	7	0
10333	8	0
10333	9	0
10333	10	0
11033	1	1
11033	2	1
11033	3	1
11033	4	1
11033	5	1
11033	6	1
11033	7	2
11033	8	2
11033	9	2
11033	10	2
11033	11	2
11033	12	2
11033	13	2
11033	14	2
11033	15	2
11033	16	2
5068	1	2
5068	2	2
7456	1	2
7456	2	2
7456	3	2
7456	4	2
9991	1	2
9991	2	2
3091	1	2
3091	2	2
9136	1	1
9136	2	1
9136	3	1
8801	1	2
8801	2	2
8801	3	2
7160	1	2
7160	2	2
7739	1	2
7739	2	2
11094	1	2
11094	2	2
7746	1	1
7746	2	1
7746	3	1
7746	4	1
7746	5	1
6324	1	1
6324	2	1
8325	1	2
8325	2	2
9840	1	2
9840	2	2
10990	1	1
10990	2	1
10990	3	1
10990	4	1
10990	5	1
10990	6	1
10990	7	2
10990	8	2
10990	9	2
10990	10	2
10990	11	2
10990	12	2
10990	13	2
10991	1	1
10991	2	1
10991	3	1
10991	4	1
10991	5	2
10991	6	2
10991	7	2
10991	8	2
8803	1	2
8803	2	2
9492	1	0
9492	2	0
9492	3	0
9492	4	0
9492	5	0
9492	6	0
9492	7	0
9492	8	0
9492	9	0
9492	10	0
9492	11	0
9492	12	0
9492	13	0
9492	14	0
9450	1	2
9450	2	2
9450	3	2
9450	4	2
9450	5	2
3118	1	1
3118	2	1
8799	1	2
8799	2	2
8799	3	2
6338	1	1
6338	2	1
3592	1	-1
3592	2	-1
4047	1	1
4047	2	1
4047	3	1
4047	4	2
4047	5	2
4047	6	2
8308	1	2
8308	2	2
8308	3	2
8308	4	2
8308	5	2
8309	1	2
8309	2	2
8309	3	2
7926	1	-1
7926	2	-1
7881	1	2
7881	2	2
7881	3	2
7881	4	2
7881	5	2
7881	6	2
8310	1	2
8310	2	2
9124	1	1
9124	2	1
9124	3	1
9124	4	1
9125	1	1
9125	2	1
9125	3	1
10998	1	2
10998	2	2
9967	1	2
9967	2	2
10711	1	2
10711	2	2
8289	1	1
8289	2	1
1478	1	2
1478	2	2
8826	1	2
8826	2	2
8285	1	0
8285	2	0
8253	1	1
8253	2	1
10291	1	2
10291	2	2
8276	1	1
8276	2	1
10398	1	2
10398	2	2
8033	1	1
8033	2	1
8033	3	1
8033	4	1
8033	5	1
8033	6	1
8033	7	1
8033	8	1
8033	9	1
8033	10	1
8033	11	1
8033	12	1
8033	13	1
8033	14	1
8033	15	1
8033	16	1
8033	17	1
8033	18	1
8033	19	1
8033	20	1
8033	21	1
8033	22	1
8033	23	1
8033	24	1
8033	25	1
8033	26	1
8033	27	1
8033	28	1
8033	29	1
8033	30	1
8033	31	1
8033	32	1
8033	33	1
8033	34	1
8033	35	1
8033	36	1
8033	37	1
8033	38	1
8033	39	1
8033	40	2
8033	41	2
8033	42	2
8033	43	2
8033	44	2
8033	45	2
8033	46	2
8033	47	2
8033	48	2
8033	49	2
8033	50	2
8033	51	2
8033	52	2
8033	53	2
8033	54	2
8033	55	2
8033	56	2
8033	57	2
8033	58	2
8033	59	2
8033	60	2
8033	61	2
8033	62	2
8033	63	2
8033	64	2
8033	65	2
8033	66	2
8033	67	2
8033	68	2
8033	69	2
8033	70	2
8033	71	2
8033	72	2
8033	73	2
8033	74	2
8033	75	2
8033	76	2
8033	77	2
8033	78	2
8315	1	2
8315	2	2
8933	1	2
8933	2	2
8321	1	0
8321	2	0
10951	1	-1
10951	2	-1
8318	1	2
8318	2	2
4036	1	1
4036	2	1
4036	3	1
4036	4	2
4036	5	2
4036	6	2
11034	1	1
11034	2	1
11034	3	1
11034	4	2
11034	5	2
11034	6	2
11695	1	2
11695	2	2
2514	1	-1
2514	2	-1
9582	1	-1
9582	2	-1
8357	1	1
8357	2	1
8357	3	1
8357	4	1
2727	1	1
2727	2	1
11056	1	1
11056	2	1
11056	3	1
11056	4	1
11056	5	1
11056	6	1
11056	7	1
11056	8	2
11056	9	2
7886	1	1
7886	2	1
11054	1	1
11054	2	1
11053	1	2
11053	2	2
4742	1	2
4742	2	2
8817	1	2
8817	2	2
8817	3	2
8817	4	2
8817	5	2
8335	1	2
8335	2	2
8335	3	2
8334	1	2
8334	2	2
11026	1	2
11026	2	2
11026	3	2
11027	1	1
11027	2	1
