date_hour	count	rating
3472	1	2
3472	2	2
3472	3	2
8616	1	2
8616	2	2
5981	1	-1
5981	2	-1
5767	1	0
5767	2	0
5767	3	1
5767	4	1
11526	1	-1
11526	2	-1
2927	1	-1
2927	2	-1
2442	1	1
2442	2	1
2442	3	1
2911	1	2
2911	2	2
3646	1	2
3646	2	2
3646	3	2
3646	4	2
3646	5	2
3647	1	2
3647	2	2
2907	1	2
2907	2	2
2906	1	2
2906	2	2
2901	1	1
2901	2	1
2901	3	2
2901	4	2
2901	5	2
4758	1	1
4758	2	1
2902	1	2
2902	2	2
8050	1	-1
8050	2	-1
11629	1	-1
11629	2	-1
11573	1	2
11573	2	2
11573	3	2
11573	4	2
11573	5	2
11568	1	2
11568	2	2
11568	3	2
11568	4	2
11568	5	2
11568	6	2
11569	1	2
11569	2	2
11569	3	2
11569	4	2
11570	1	1
11570	2	1
11450	1	0
11450	2	0
2798	1	2
2798	2	2
8127	1	-1
8127	2	-1
8127	3	0
8127	4	0
11576	1	1
11576	2	1
11576	3	2
11576	4	2
11577	1	2
11577	2	2
8039	1	2
8039	2	2
8039	3	2
11625	1	2
11625	2	2
11625	3	2
9385	1	2
9385	2	2
11627	1	2
11627	2	2
11627	3	2
4074	1	-1
4074	2	-1
4074	3	-1
4074	4	-1
4074	5	-1
8092	1	2
8092	2	2
8094	1	-1
8094	2	-1
11338	1	0
11338	2	0
11338	3	0
11338	4	0
11338	5	0
11338	6	0
11338	7	0
11338	8	0
11338	9	0
11338	10	0
11338	11	0
11338	12	0
11338	13	0
11338	14	0
11338	15	0
11338	16	0
11338	17	0
11338	18	1
11338	19	1
11338	20	1
11338	21	1
11338	22	1
11338	23	1
11338	24	1
11338	25	1
11338	26	1
11338	27	1
11338	28	1
11338	29	1
11338	30	1
11338	31	1
11338	32	1
11338	33	1
11338	34	1
3650	1	2
3650	2	2
3669	1	2
3669	2	2
3669	3	2
3184	1	2
3184	2	2
3184	3	2
3670	1	2
3670	2	2
2810	1	0
2810	2	0
2810	3	2
2810	4	2
2810	5	2
2810	6	2
2810	7	2
2810	8	2
11789	1	0
11789	2	0
11789	3	1
11789	4	1
11498	1	1
11498	2	1
11498	3	2
11498	4	2
2848	1	0
2848	2	0
2848	3	2
2848	4	2
2848	5	2
7290	1	-1
7290	2	-1
7290	3	2
7290	4	2
2952	1	1
2952	2	1
3896	1	1
3896	2	1
3896	3	2
3896	4	2
3896	5	2
2915	1	2
2915	2	2
2915	3	2
11616	1	2
11616	2	2
3685	1	2
3685	2	2
11615	1	2
11615	2	2
11615	3	2
11638	1	2
11638	2	2
11638	3	2
11638	4	2
3257	1	2
3257	2	2
8029	1	2
8029	2	2
11583	1	-1
11583	2	-1
11582	1	2
11582	2	2
11582	3	2
3739	1	2
3739	2	2
3739	3	2
2951	1	2
2951	2	2
2791	1	0
2791	2	0
2791	3	0
2791	4	2
2791	5	2
2791	6	2
2791	7	2
3597	1	2
3597	2	2
3597	3	2
3597	4	2
2905	1	2
2905	2	2
2905	3	2
2793	1	2
2793	2	2
