date_hour	count	rating
8910	1	-1
8910	2	-1
8910	3	-1
7351	1	-1
7351	2	-1
4933	1	2
4933	2	2
4933	3	2
4933	4	2
4933	5	2
11453	1	-1
11453	2	-1
7638	1	0
7638	2	0
7638	3	1
7638	4	1
7638	5	2
7638	6	2
7637	1	0
7637	2	0
7637	3	1
7637	4	1
7637	5	2
7637	6	2
9491	1	0
9491	2	0
8754	1	0
8754	2	0
8754	3	1
8754	4	1
8754	5	2
8754	6	2
10639	1	-1
10639	2	-1
10349	1	0
10349	2	0
10349	3	0
10349	4	0
10349	5	1
10349	6	1
10349	7	1
10349	8	1
10349	9	2
10349	10	2
1830	1	-1
1830	2	-1
6375	1	-1
6375	2	-1
9037	1	1
9037	2	1
3822	1	1
3822	2	1
3822	3	2
3822	4	2
7187	1	1
7187	2	1
7187	3	1
11862	1	1
11862	2	1
7690	1	-1
7690	2	-1
4096	1	1
4096	2	1
4096	3	1
7459	1	-1
7459	2	-1
3394	1	1
3394	2	1
3394	3	1
3394	4	1
7039	1	-1
7039	2	-1
7039	3	-1
7039	4	-1
7039	5	-1
10027	1	1
10027	2	1
9093	1	-1
9093	2	-1
9381	1	-1
9381	2	-1
10025	1	0
10025	2	0
4867	1	2
4867	2	2
4867	3	2
4867	4	2
4867	5	2
4867	6	2
4867	7	2
4867	8	2
4867	9	2
4867	10	2
4867	11	2
4867	12	2
4867	13	2
4867	14	2
4867	15	2
4867	16	2
4867	17	2
4867	18	2
4867	19	2
4867	20	2
4867	21	2
4867	22	2
4867	23	2
4867	24	2
4867	25	2
4867	26	2
4867	27	2
4867	28	2
4867	29	2
4867	30	2
4867	31	2
4867	32	2
4867	33	2
4867	34	2
4867	35	2
4867	36	2
4688	1	1
4688	2	1
5966	1	1
5966	2	1
5966	3	2
5966	4	2
7257	1	-1
7257	2	-1
4880	1	2
4880	2	2
4880	3	2
4880	4	2
4880	5	2
8769	1	-1
8769	2	-1
8769	3	-1
7124	1	2
7124	2	2
7124	3	2
7126	1	-1
7126	2	-1
4878	1	2
4878	2	2
4878	3	2
4878	4	2
4878	5	2
4046	1	1
4046	2	1
4046	3	1
4046	4	2
4046	5	2
4046	6	2
10448	1	-1
10448	2	-1
1582	1	-1
1582	2	-1
1582	3	-1
1582	4	2
1582	5	2
1583	1	-1
1583	2	-1
1583	3	-1
1583	4	-1
1580	1	-1
1580	2	-1
1580	3	-1
1581	1	-1
1581	2	-1
1581	3	-1
10446	1	-1
10446	2	-1
10446	3	-1
7166	1	-1
7166	2	-1
7167	1	-1
7167	2	-1
7162	1	-1
7162	2	-1
8493	1	-1
8493	2	-1
7171	1	-1
7171	2	-1
4622	1	1
4622	2	1
4625	1	1
4625	2	1
4625	3	1
4625	4	1
4625	5	1
4625	6	1
8317	1	-1
8317	2	-1
8314	1	-1
8314	2	-1
10396	1	-1
10396	2	-1
4061	1	1
4061	2	1
4061	3	1
4061	4	1
4061	5	1
5034	1	1
5034	2	1
5034	3	1
5034	4	2
5034	5	2
5034	6	2
5034	7	2
5032	1	1
5032	2	1
5032	3	1
5032	4	1
5032	5	1
5032	6	1
5032	7	1
7129	1	-1
7129	2	-1
3577	1	1
3577	2	1
7888	1	1
7888	2	1
7075	1	-1
7075	2	-1
7884	1	-1
7884	2	-1
10854	1	0
10854	2	0
10854	3	0
10854	4	1
10854	5	1
10854	6	1
10854	7	2
10854	8	2
7931	1	-1
7931	2	-1
3309	1	-1
3309	2	-1
3309	3	2
3309	4	2
3309	5	2
3309	6	2
8448	1	-1
8448	2	-1
1588	1	-1
1588	2	-1
1588	3	-1
1591	1	-1
1591	2	-1
1590	1	-1
1590	2	-1
1590	3	-1
1592	1	-1
1592	2	-1
7491	1	-1
7491	2	-1
7491	3	-1
7491	4	-1
7491	5	-1
7491	6	-1
7491	7	-1
7490	1	-1
7490	2	-1
7489	1	-1
7489	2	-1
7489	3	-1
7489	4	-1
7489	5	-1
7489	6	-1
7489	7	-1
7489	8	-1
7489	9	-1
7489	10	-1
7489	11	-1
7489	12	-1
7489	13	-1
7489	14	-1
7489	15	-1
7489	16	-1
7489	17	-1
7489	18	-1
7489	19	-1
7489	20	-1
7489	21	-1
7489	22	-1
7489	23	-1
7489	24	-1
7489	25	-1
7488	1	-1
7488	2	-1
7488	3	-1
7488	4	-1
7488	5	-1
7488	6	-1
7488	7	-1
7488	8	-1
7488	9	-1
7488	10	-1
7488	11	-1
7488	12	-1
7494	1	-1
7494	2	-1
7494	3	-1
7494	4	-1
7494	5	-1
7494	6	-1
7494	7	1
7494	8	1
7494	9	1
7494	10	1
7493	1	-1
7493	2	-1
7493	3	-1
7493	4	-1
7493	5	-1
7493	6	-1
7493	7	-1
7493	8	-1
7492	1	-1
7492	2	-1
7492	3	-1
3544	1	-1
3544	2	-1
7897	1	0
7897	2	0
7897	3	1
7897	4	1
7897	5	2
7897	6	2
8156	1	-1
8156	2	-1
8399	1	-1
8399	2	-1
1868	1	1
1868	2	1
11020	1	0
11020	2	0
7090	1	-1
7090	2	-1
11740	1	-1
11740	2	-1
9142	1	-1
9142	2	-1
6999	1	-1
6999	2	-1
7412	1	-1
7412	2	-1
7412	3	-1
7412	4	-1
7412	5	-1
7412	6	-1
7412	7	-1
7412	8	-1
7412	9	-1
7412	10	-1
7412	11	-1
7412	12	-1
7412	13	-1
7412	14	-1
7412	15	-1
7412	16	-1
7412	17	-1
7412	18	-1
7412	19	-1
7412	20	-1
7412	21	-1
7412	22	-1
7412	23	-1
7412	24	-1
7412	25	-1
7412	26	-1
7412	27	-1
7412	28	-1
7412	29	-1
7412	30	-1
7412	31	-1
7412	32	-1
7412	33	-1
7412	34	-1
7412	35	-1
7412	36	-1
7412	37	-1
7412	38	-1
7412	39	-1
7412	40	-1
7412	41	-1
7412	42	-1
7412	43	-1
7412	44	1
7412	45	1
7412	46	1
7412	47	1
7412	48	1
7412	49	1
7412	50	1
7412	51	1
7412	52	1
7412	53	1
7412	54	1
7412	55	1
7412	56	1
7412	57	1
7412	58	1
7412	59	1
7412	60	1
7412	61	1
7412	62	1
7412	63	1
7412	64	1
7412	65	1
7412	66	1
7412	67	1
7412	68	1
7412	69	1
7412	70	1
7412	71	1
7412	72	1
7412	73	1
7412	74	1
7412	75	1
7412	76	1
7412	77	1
7412	78	1
7412	79	1
7412	80	1
7412	81	1
7412	82	1
7412	83	1
7412	84	1
7412	85	1
7412	86	1
7412	87	1
7412	88	1
7412	89	1
7412	90	1
7412	91	1
7412	92	1
7412	93	1
7412	94	1
7412	95	1
7412	96	1
7412	97	1
7412	98	1
7412	99	1
7412	100	1
7412	101	1
7412	102	1
7412	103	1
7412	104	1
7412	105	1
7412	106	1
7412	107	1
7412	108	1
7412	109	1
7412	110	1
7412	111	1
7412	112	1
7412	113	1
7412	114	1
7412	115	1
7412	116	1
7412	117	1
7412	118	1
7412	119	1
7412	120	1
7412	121	1
7412	122	1
7412	123	1
7412	124	1
7412	125	1
7412	126	1
7412	127	1
7412	128	1
11531	1	1
11531	2	1
8344	1	-1
8344	2	-1
8345	1	-1
8345	2	-1
8345	3	0
8345	4	0
8345	5	1
8345	6	1
8345	7	2
8345	8	2
10378	1	-1
10378	2	-1
8338	1	-1
8338	2	-1
8338	3	-1
10684	1	1
10684	2	1
10684	3	1
10684	4	1
10685	1	1
10685	2	1
10680	1	1
10680	2	1
10680	3	1
10680	4	1
10680	5	1
4183	1	2
4183	2	2
4183	3	2
4183	4	2
4183	5	2
4182	1	2
4182	2	2
4182	3	2
2278	1	-1
2278	2	-1
7868	1	-1
7868	2	-1
7868	3	-1
7868	4	1
7868	5	1
7868	6	1
9679	1	0
9679	2	0
11943	1	-1
11943	2	-1
11943	3	-1
10759	1	0
10759	2	0
10759	3	0
10759	4	1
10759	5	1
10759	6	1
10759	7	2
10759	8	2
3316	1	2
3316	2	2
3317	1	2
3317	2	2
3314	1	1
3314	2	1
3314	3	2
3314	4	2
3312	1	2
3312	2	2
3313	1	1
3313	2	1
3313	3	2
3313	4	2
3313	5	2
8435	1	-1
8435	2	-1
566	1	1
566	2	1
566	3	1
566	4	1
566	5	1
1860	1	1
1860	2	1
4653	1	1
4653	2	1
7467	1	-1
7467	2	-1
7467	3	-1
7467	4	-1
7467	5	-1
7467	6	-1
7467	7	-1
7467	8	-1
7467	9	-1
7467	10	-1
7467	11	-1
7467	12	-1
7467	13	-1
7467	14	-1
7467	15	1
7467	16	1
7464	1	-1
7464	2	-1
7464	3	-1
7464	4	-1
7465	1	-1
7465	2	-1
7465	3	-1
7470	1	-1
7470	2	-1
7470	3	-1
7470	4	-1
7470	5	-1
7470	6	-1
7468	1	-1
7468	2	-1
7468	3	-1
9320	1	1
9320	2	1
7472	1	-1
7472	2	-1
7472	3	-1
7472	4	-1
7472	5	-1
7472	6	-1
7472	7	-1
7472	8	-1
7472	9	-1
7472	10	-1
7472	11	-1
7472	12	-1
