date_hour	count	rating
1082	1	-1
1082	2	-1
11328	1	0
11328	2	0
11506	1	-1
11506	2	-1
3369	1	-1
3369	2	-1
3369	3	-1
1996	1	0
1996	2	0
1996	3	0
1997	1	0
1997	2	0
1998	1	0
1998	2	0
7346	1	0
7346	2	0
1993	1	0
1993	2	0
1994	1	0
1994	2	0
1994	3	0
1994	4	0
1995	1	0
1995	2	0
1995	3	0
1995	4	0
3017	1	-1
3017	2	-1
3455	1	-1
3455	2	-1
3455	3	-1
3455	4	-1
1278	1	-1
1278	2	-1
11884	1	-1
11884	2	-1
11884	3	-1
11873	1	-1
11873	2	-1
11873	3	-1
10671	1	-1
10671	2	-1
512	1	-1
512	2	-1
1012	1	-1
1012	2	-1
1012	3	-1
1012	4	-1
1012	5	-1
1012	6	-1
6056	1	-1
6056	2	-1
6056	3	-1
10673	1	-1
10673	2	-1
10208	1	-1
10208	2	-1
10208	3	-1
10208	4	-1
1069	1	-1
1069	2	-1
11143	1	-1
11143	2	-1
1072	1	-1
1072	2	-1
3456	1	-1
3456	2	-1
3456	3	0
3456	4	0
10204	1	-1
10204	2	-1
10204	3	-1
10200	1	-1
10200	2	-1
10200	3	-1
10611	1	-1
10611	2	-1
10611	3	-1
10611	4	-1
10611	5	-1
7391	1	0
7391	2	0
7360	1	0
7360	2	0
7360	3	0
8713	1	0
8713	2	0
8713	3	1
8713	4	1
10816	1	-1
10816	2	-1
10816	3	-1
7363	1	0
7363	2	0
7363	3	0
10030	1	-1
10030	2	-1
10029	1	1
10029	2	1
10029	3	2
10029	4	2
1257	1	-1
1257	2	-1
1257	3	-1
11919	1	-1
11919	2	-1
11919	3	-1
11919	4	-1
7628	1	-1
7628	2	-1
7628	3	-1
7628	4	0
7628	5	0
7628	6	0
11463	1	-1
11463	2	-1
11463	3	-1
11920	1	-1
11920	2	-1
11920	3	-1
11920	4	-1
11920	5	-1
11860	1	-1
11860	2	-1
11860	3	-1
11613	1	-1
11613	2	-1
11613	3	-1
11613	4	-1
11612	1	-1
11612	2	-1
1809	1	0
1809	2	0
7459	1	0
7459	2	0
7456	1	0
7456	2	0
7457	1	0
7457	2	0
7452	1	0
7452	2	0
10036	1	-1
10036	2	-1
10036	3	-1
10036	4	-1
10036	5	-1
10036	6	-1
10036	7	-1
10118	1	-1
10118	2	-1
11932	1	-1
11932	2	-1
11932	3	-1
7367	1	0
7367	2	0
10040	1	-1
10040	2	-1
11278	1	-1
11278	2	-1
11278	3	-1
11278	4	-1
11278	5	-1
7364	1	0
7364	2	0
11292	1	-1
11292	2	-1
10372	1	-1
10372	2	-1
10372	3	-1
1718	1	0
1718	2	0
1718	3	2
1718	4	2
11091	1	-1
11091	2	-1
9028	1	-1
9028	2	-1
9028	3	-1
7215	1	0
7215	2	0
7249	1	0
7249	2	0
7148	1	0
7148	2	0
7295	1	0
7295	2	0
7508	1	0
7508	2	0
10254	1	-1
10254	2	-1
10254	3	-1
10254	4	-1
4012	1	-1
4012	2	-1
183	1	-1
183	2	-1
7674	1	0
7674	2	0
7125	1	0
7125	2	0
11848	1	-1
11848	2	-1
11848	3	-1
11848	4	-1
7127	1	0
