date_hour	count	rating
4003	1	1
4003	2	1
4003	3	1
4003	4	1
4003	5	1
4003	6	1
4003	7	1
7915	1	-1
7915	2	-1
7915	3	-1
7915	4	-1
7915	5	-1
7915	6	1
7915	7	1
7915	8	1
7915	9	1
7915	10	1
8266	1	-1
8266	2	-1
8266	3	0
8266	4	0
8938	1	0
8938	2	0
8938	3	2
8938	4	2
8257	1	0
8257	2	0
4001	1	1
4001	2	1
4001	3	1
4001	4	1
4001	5	1
4001	6	1
4001	7	1
4008	1	1
4008	2	1
4008	3	1
4008	4	1
4008	5	1
4008	6	1
4008	7	1
9356	1	-1
9356	2	-1
10318	1	0
10318	2	0
4000	1	1
4000	2	1
4000	3	1
4000	4	1
4000	5	1
4000	6	1
4000	7	1
