date_hour	count	rating
11982	1	2
11982	2	2
11982	3	2
11982	4	2
4983	1	1
4983	2	1
4983	3	2
4983	4	2
4983	5	2
7422	1	2
7422	2	2
7422	3	2
12013	1	2
12013	2	2
11321	1	2
11321	2	2
11671	1	2
11671	2	2
10219	1	2
10219	2	2
11886	1	2
11886	2	2
11886	3	2
9748	1	2
9748	2	2
9748	3	2
9748	4	2
9748	5	2
9748	6	2
9748	7	2
9748	8	2
9748	9	2
11488	1	2
11488	2	2
11488	3	2
11488	4	2
11488	5	2
11488	6	2
11488	7	2
11488	8	2
11488	9	2
11488	10	2
11488	11	2
11163	1	1
11163	2	1
11163	3	1
11163	4	2
11163	5	2
9744	1	2
9744	2	2
9744	3	2
9744	4	2
9744	5	2
9744	6	2
9744	7	2
9744	8	2
9744	9	2
9744	10	2
9744	11	2
9744	12	2
11164	1	1
11164	2	1
11164	3	1
11164	4	2
11164	5	2
11166	1	1
11166	2	1
11166	3	2
11166	4	2
11342	1	-1
11342	2	-1
11342	3	-1
11342	4	-1
11342	5	-1
11310	1	1
11310	2	1
11310	3	1
11310	4	1
11310	5	2
11310	6	2
11310	7	2
11310	8	2
7389	1	2
7389	2	2
7389	3	2
7389	4	2
7389	5	2
7390	1	2
7390	2	2
7390	3	2
11246	1	-1
11246	2	-1
11246	3	-1
11246	4	-1
11247	1	2
11247	2	2
11247	3	2
11247	4	2
11248	1	-1
11248	2	-1
11248	3	-1
11248	4	-1
11248	5	-1
11248	6	-1
11248	7	-1
11248	8	-1
11248	9	-1
11898	1	2
11898	2	2
11898	3	2
11245	1	2
11245	2	2
11895	1	2
11895	2	2
11895	3	2
11895	4	2
11896	1	2
11896	2	2
11896	3	2
11896	4	2
11896	5	2
11896	6	2
11896	7	2
11896	8	2
11891	1	2
11891	2	2
11891	3	2
11891	4	2
11922	1	2
11922	2	2
11862	1	-1
11862	2	-1
11862	3	-1
11862	4	2
11862	5	2
11862	6	2
11862	7	2
11863	1	2
11863	2	2
11863	3	2
11205	1	2
11205	2	2
11207	1	2
11207	2	2
4054	1	1
4054	2	1
4054	3	1
4054	4	1
4054	5	1
9134	1	1
9134	2	1
9134	3	2
9134	4	2
10416	1	2
10416	2	2
10416	3	2
11584	1	2
11584	2	2
11298	1	-1
11298	2	-1
11907	1	2
11907	2	2
11910	1	2
11910	2	2
11910	3	2
11910	4	2
11095	1	2
11095	2	2
11909	1	2
11909	2	2
11909	3	2
10069	1	2
10069	2	2
10070	1	2
10070	2	2
11183	1	2
11183	2	2
11183	3	2
11183	4	2
11182	1	2
11182	2	2
11182	3	2
11182	4	2
11182	5	2
11182	6	2
9677	1	2
9677	2	2
9677	3	2
9677	4	2
11152	1	1
11152	2	1
11152	3	2
11152	4	2
11000	1	2
11000	2	2
11000	3	2
9507	1	2
9507	2	2
4037	1	1
4037	2	1
4037	3	1
4037	4	1
4037	5	1
4037	6	2
