date_hour	count	rating
3013	1	-1
3013	2	-1
9260	1	-1
9260	2	-1
4987	1	-1
4987	2	-1
4987	3	-1
11543	1	-1
11543	2	-1
1005	1	-1
1005	2	-1
12010	1	-1
12010	2	-1
10114	1	-1
10114	2	-1
7749	1	-1
7749	2	-1
7749	3	-1
4145	1	0
4145	2	0
4145	3	0
4145	4	1
4145	5	1
4145	6	1
4145	7	1
4145	8	1
1318	1	0
1318	2	0
4527	1	-1
4527	2	-1
4527	3	-1
8194	1	-1
8194	2	-1
7449	1	-1
7449	2	-1
9573	1	-1
9573	2	-1
3081	1	-1
3081	2	-1
1067	1	1
1067	2	1
1067	3	1
3028	1	0
3028	2	0
3028	3	2
3028	4	2
7327	1	-1
7327	2	-1
3412	1	-1
3412	2	-1
7208	1	-1
7208	2	-1
7208	3	-1
8219	1	0
8219	2	0
8219	3	0
5395	1	-1
5395	2	-1
7202	1	-1
7202	2	-1
7239	1	-1
7239	2	-1
7236	1	-1
7236	2	-1
7192	1	-1
7192	2	-1
7191	1	-1
7191	2	-1
7191	3	-1
12011	1	-1
12011	2	-1
5488	1	-1
5488	2	-1
5487	1	1
5487	2	1
5487	3	2
5487	4	2
7452	1	-1
7452	2	-1
7452	3	-1
3356	1	-1
3356	2	-1
3356	3	-1
3356	4	-1
3086	1	-1
3086	2	-1
271	1	-1
271	2	-1
271	3	1
271	4	1
3993	1	-1
3993	2	-1
2822	1	-1
2822	2	-1
7152	1	-1
7152	2	-1
1718	1	-1
1718	2	-1
3435	1	-1
3435	2	-1
10021	1	-1
10021	2	-1
10020	1	-1
10020	2	-1
7212	1	-1
7212	2	-1
7213	1	-1
7213	2	-1
7213	3	-1
7214	1	-1
7214	2	-1
8178	1	-1
8178	2	-1
7739	1	-1
7739	2	-1
7741	1	-1
7741	2	-1
7745	1	-1
7745	2	-1
7745	3	-1
7745	4	-1
7744	1	-1
7744	2	-1
1521	1	-1
1521	2	-1
7232	1	-1
7232	2	-1
2992	1	-1
2992	2	-1
5619	1	-1
5619	2	-1
300	1	-1
300	2	-1
300	3	-1
8462	1	-1
8462	2	-1
8461	1	-1
8461	2	-1
11148	1	-1
11148	2	-1
10711	1	-1
10711	2	-1
4696	1	-1
4696	2	-1
7734	1	-1
7734	2	-1
7735	1	-1
7735	2	-1
7735	3	-1
7735	4	-1
5834	1	-1
5834	2	-1
5583	1	-1
5583	2	-1
10057	1	-1
10057	2	-1
5564	1	-1
5564	2	-1
9186	1	-1
9186	2	-1
5033	1	-1
5033	2	-1
8925	1	-1
8925	2	-1
10404	1	0
10404	2	0
10405	1	0
10405	2	0
10407	1	-1
10407	2	-1
8852	1	-1
8852	2	-1
5523	1	-1
5523	2	-1
5522	1	-1
5522	2	-1
5520	1	-1
5520	2	-1
5563	1	-1
5563	2	-1
7492	1	-1
7492	2	-1
7492	3	-1
242	1	1
242	2	1
242	3	1
6999	1	-1
6999	2	-1
6999	3	-1
6994	1	-1
6994	2	-1
11874	1	0
11874	2	0
11874	3	0
10552	1	-1
10552	2	-1
2849	1	-1
2849	2	-1
9405	1	-1
9405	2	-1
9405	3	0
9405	4	0
9475	1	-1
9475	2	-1
5535	1	-1
5535	2	-1
10078	1	-1
10078	2	-1
10078	3	-1
7117	1	-1
7117	2	-1
7753	1	-1
7753	2	-1
7752	1	-1
7752	2	-1
9761	1	-1
9761	2	-1
9898	1	-1
9898	2	-1
9900	1	-1
9900	2	-1
9397	1	-1
9397	2	-1
2454	1	-1
2454	2	-1
10896	1	-1
10896	2	-1
10191	1	-1
10191	2	-1
9830	1	-1
9830	2	-1
1159	1	0
1159	2	0
7768	1	-1
7768	2	-1
7768	3	-1
5808	1	-1
5808	2	-1
5430	1	-1
5430	2	-1
5465	1	-1
5465	2	-1
10491	1	-1
10491	2	-1
10258	1	-1
10258	2	-1
9326	1	-1
9326	2	-1
3206	1	0
3206	2	0
3206	3	2
3206	4	2
1201	1	-1
1201	2	-1
