date_hour	count	rating
12037	1	1
12037	2	1
12037	3	2
12037	4	2
11542	1	1
11542	2	1
11542	3	2
11542	4	2
7616	1	-1
7616	2	-1
7616	3	-1
7037	1	-1
7037	2	-1
7366	1	-1
7366	2	-1
7366	3	-1
7366	4	-1
7366	5	-1
11138	1	1
11138	2	1
11138	3	2
11138	4	2
7344	1	-1
7344	2	-1
7344	3	-1
579	1	-1
579	2	-1
579	3	-1
7279	1	-1
7279	2	-1
7279	3	-1
7279	4	-1
4337	1	-1
4337	2	-1
4337	3	-1
4337	4	-1
4337	5	-1
4204	1	-1
4204	2	-1
4204	3	-1
4204	4	1
4204	5	1
4204	6	1
4204	7	1
4204	8	1
7275	1	-1
7275	2	-1
7275	3	-1
11543	1	1
11543	2	1
11543	3	1
11543	4	1
11543	5	1
11543	6	1
11543	7	2
11543	8	2
11543	9	2
11543	10	2
11543	11	2
11543	12	2
5151	1	0
5151	2	0
7230	1	-1
7230	2	-1
7230	3	-1
7182	1	-1
7182	2	-1
969	1	-1
969	2	-1
2572	1	-1
2572	2	-1
11092	1	1
11092	2	1
11092	3	2
11092	4	2
8961	1	-1
8961	2	-1
5009	1	-1
5009	2	-1
7232	1	-1
7232	2	-1
2720	1	-1
2720	2	-1
340	1	-1
340	2	-1
340	3	-1
340	4	-1
340	5	-1
7799	1	0
7799	2	0
7798	1	-1
7798	2	-1
7798	3	-1
7798	4	-1
7798	5	-1
7798	6	0
7798	7	0
7798	8	0
7798	9	0
7798	10	0
11088	1	1
11088	2	1
11088	3	2
11088	4	2
3927	1	-1
3927	2	-1
3927	3	-1
3927	4	-1
3927	5	-1
11085	1	1
11085	2	1
11085	3	2
11085	4	2
7112	1	-1
7112	2	-1
11135	1	1
11135	2	1
11135	3	2
11135	4	2
8762	1	1
8762	2	1
7801	1	0
7801	2	0
7801	3	0
7801	4	0
7801	5	0
11539	1	1
11539	2	1
11539	3	1
11539	4	2
11539	5	2
11539	6	2
7325	1	-1
7325	2	-1
7327	1	-1
7327	2	-1
7059	1	-1
7059	2	-1
7058	1	-1
7058	2	-1
7058	3	-1
7058	4	-1
7058	5	-1
7058	6	-1
7058	7	-1
7058	8	-1
7058	9	-1
7058	10	-1
7058	11	-1
1824	1	1
1824	2	1
1824	3	1
1370	1	-1
1370	2	-1
7060	1	-1
7060	2	-1
10996	1	1
10996	2	1
10996	3	2
10996	4	2
11072	1	1
11072	2	1
11072	3	1
11072	4	1
11617	1	1
11617	2	1
11617	3	2
11617	4	2
11551	1	1
11551	2	1
11551	3	2
11551	4	2
11004	1	1
11004	2	1
11004	3	1
11004	4	2
11004	5	2
11004	6	2
1672	1	-1
1672	2	-1
11001	1	1
11001	2	1
11001	3	2
11001	4	2
7302	1	-1
7302	2	-1
7302	3	-1
7303	1	0
7303	2	0
10550	1	-1
10550	2	-1
7802	1	-1
7802	2	-1
7802	3	-1
7802	4	-1
7802	5	-1
7802	6	-1
7802	7	-1
7802	8	-1
7802	9	-1
7802	10	-1
7802	11	-1
7802	12	-1
7802	13	-1
7802	14	-1
7802	15	-1
7802	16	-1
7802	17	-1
7802	18	-1
7802	19	-1
7802	20	0
7802	21	0
7802	22	0
7802	23	0
7802	24	0
7802	25	0
7802	26	0
7802	27	0
7802	28	0
7802	29	0
7802	30	0
7802	31	0
7802	32	0
7802	33	0
7802	34	0
7802	35	0
7802	36	0
7802	37	0
7802	38	0
7803	1	0
7803	2	0
7803	3	0
7803	4	0
7803	5	0
350	1	-1
350	2	-1
350	3	-1
350	4	-1
350	5	-1
11074	1	1
11074	2	1
11074	3	1
11078	1	1
11078	2	1
9481	1	-1
9481	2	-1
7083	1	-1
7083	2	-1
7134	1	-1
7134	2	-1
7134	3	-1
7134	4	-1
7134	5	-1
7793	1	0
7793	2	0
3845	1	1
3845	2	1
3845	3	1
3845	4	1
7791	1	0
7791	2	0
7791	3	0
7791	4	0
7791	5	0
7791	6	0
7791	7	0
7791	8	0
7791	9	0
