date_hour	count	rating
10816	1	1
10816	2	1
10816	3	1
10816	4	1
9881	1	0
9881	2	0
9881	3	0
11334	1	2
11334	2	2
11334	3	2
8625	1	0
8625	2	0
10740	1	0
10740	2	0
10740	3	0
10740	4	0
10740	5	0
11306	1	1
11306	2	1
11317	1	2
11317	2	2
11317	3	2
10961	1	1
10961	2	1
11526	1	2
11526	2	2
11526	3	2
11332	1	2
11332	2	2
11332	3	2
11550	1	2
11550	2	2
11550	3	2
10219	1	2
10219	2	2
8707	1	0
8707	2	0
8707	3	0
8707	4	0
3833	1	0
3833	2	0
11635	1	0
11635	2	0
11635	3	0
11635	4	0
11635	5	0
11635	6	0
11635	7	0
11635	8	0
11635	9	0
11635	10	0
11635	11	0
11635	12	0
11635	13	0
11635	14	0
11635	15	0
11849	1	1
11849	2	1
11871	1	1
11871	2	1
11130	1	1
11130	2	1
8609	1	0
8609	2	0
8609	3	0
11506	1	2
11506	2	2
11506	3	2
8602	1	-1
8602	2	-1
8602	3	-1
8602	4	-1
8602	5	-1
8602	6	-1
8602	7	-1
8602	8	0
8602	9	0
8602	10	0
8602	11	0
8603	1	-1
8603	2	-1
8603	3	-1
8603	4	-1
8603	5	0
8603	6	0
8603	7	0
10186	1	1
10186	2	1
11224	1	2
11224	2	2
11224	3	2
10435	1	0
10435	2	0
10435	3	0
10435	4	0
5055	1	0
5055	2	0
5055	3	0
5055	4	1
5055	5	1
5055	6	1
10095	1	1
10095	2	1
10095	3	1
10095	4	1
10095	5	1
10095	6	1
11823	1	0
11823	2	0
11823	3	0
11823	4	0
11823	5	0
11823	6	0
11823	7	0
11823	8	0
10141	1	1
10141	2	1
11253	1	2
11253	2	2
11253	3	2
7363	1	-1
7363	2	-1
7363	3	-1
7363	4	-1
11890	1	1
11890	2	1
11890	3	1
10815	1	1
10815	2	1
10815	3	1
10815	4	1
11651	1	2
11651	2	2
11651	3	2
10310	1	1
10310	2	1
3823	1	1
3823	2	1
11923	1	0
11923	2	0
11923	3	0
11923	4	0
10122	1	1
10122	2	1
10122	3	1
10122	4	1
10122	5	1
7192	1	1
7192	2	1
8993	1	0
8993	2	0
10142	1	2
10142	2	2
10337	1	1
10337	2	1
11207	1	2
11207	2	2
11207	3	2
11473	1	1
11473	2	1
11382	1	2
11382	2	2
11382	3	2
10226	1	1
10226	2	1
11177	1	2
11177	2	2
11177	3	2
10224	1	1
10224	2	1
8577	1	-1
8577	2	-1
8577	3	-1
3467	1	1
3467	2	1
11217	1	2
11217	2	2
11217	3	2
9133	1	1
9133	2	1
11671	1	2
11671	2	2
11671	3	2
6751	1	1
6751	2	1
10115	1	1
10115	2	1
11298	1	1
11298	2	1
7715	1	-1
7715	2	-1
8529	1	-1
8529	2	-1
8529	3	-1
8529	4	-1
8529	5	-1
8952	1	1
8952	2	1
10248	1	1
10248	2	1
8722	1	0
8722	2	0
8722	3	0
8722	4	0
8722	5	0
8722	6	0
8722	7	0
8722	8	0
10724	1	1
10724	2	1
9227	1	1
9227	2	1
9227	3	1
9227	4	1
9227	5	1
11394	1	2
11394	2	2
11394	3	2
11394	4	2
11394	5	2
1974	1	1
1974	2	1
9973	1	0
9973	2	0
9442	1	0
9442	2	0
7872	1	-1
7872	2	-1
7872	3	-1
7872	4	-1
7872	5	-1
7872	6	0
7872	7	0
7872	8	0
7872	9	0
7872	10	0
9451	1	1
9451	2	1
8465	1	-1
8465	2	-1
8465	3	-1
8465	4	-1
8465	5	-1
8465	6	-1
9121	1	0
9121	2	0
9121	3	0
9121	4	0
9121	5	0
8459	1	-1
8459	2	-1
7060	1	-1
7060	2	-1
7060	3	-1
7060	4	-1
8460	1	-1
8460	2	-1
8460	3	0
8460	4	0
7168	1	-1
7168	2	-1
7168	3	-1
7168	4	-1
11807	1	1
11807	2	1
11806	1	1
11806	2	1
11152	1	2
11152	2	2
11152	3	2
8493	1	-1
8493	2	-1
8493	3	-1
3156	1	0
3156	2	0
4027	1	1
4027	2	1
10101	1	1
10101	2	1
10103	1	2
10103	2	2
10102	1	1
10102	2	1
11848	1	0
11848	2	0
10266	1	2
10266	2	2
11704	1	2
11704	2	2
11704	3	2
10703	1	1
10703	2	1
10564	1	0
10564	2	0
10564	3	0
10105	1	2
10105	2	2
11272	1	2
11272	2	2
11272	3	2
10244	1	2
10244	2	2
10170	1	1
10170	2	1
3106	1	0
3106	2	0
11411	1	2
11411	2	2
11411	3	2
7882	1	-1
7882	2	-1
7882	3	-1
7882	4	-1
8565	1	-1
8565	2	-1
7067	1	-1
7067	2	-1
7067	3	-1
7067	4	-1
7067	5	-1
4803	1	2
4803	2	2
10783	1	1
10783	2	1
10738	1	0
10738	2	0
10738	3	0
10738	4	0
10738	5	0
10738	6	0
10738	7	0
9730	1	1
9730	2	1
9353	1	1
9353	2	1
10998	1	1
10998	2	1
10998	3	1
8660	1	0
8660	2	0
8578	1	-1
8578	2	-1
8578	3	-1
8578	4	-1
11705	1	0
11705	2	0
11705	3	0
11705	4	0
11705	5	0
11705	6	0
10573	1	1
10573	2	1
10573	3	1
10341	1	1
10341	2	1
10341	3	1
11578	1	2
11578	2	2
11578	3	2
11591	1	2
11591	2	2
11591	3	2
8638	1	0
8638	2	0
9685	1	1
9685	2	1
8396	1	1
8396	2	1
10157	1	1
10157	2	1
10153	1	1
10153	2	1
7000	1	-1
7000	2	-1
7000	3	-1
7000	4	-1
7000	5	-1
9141	1	1
9141	2	1
9141	3	1
5988	1	1
5988	2	1
3621	1	2
3621	2	2
6007	1	1
6007	2	1
6000	1	0
6000	2	0
11718	1	2
11718	2	2
11718	3	2
11532	1	0
11532	2	0
11532	3	0
11532	4	0
11532	5	0
11532	6	0
11532	7	0
11532	8	0
8345	1	-1
8345	2	-1
8345	3	-1
8345	4	-1
8345	5	-1
8345	6	-1
8345	7	-1
8345	8	-1
8345	9	-1
8345	10	-1
11778	1	1
11778	2	1
8340	1	1
8340	2	1
8674	1	0
8674	2	0
8674	3	0
8674	4	0
2554	1	1
2554	2	1
10667	1	1
10667	2	1
10667	3	1
4341	1	-1
4341	2	-1
4341	3	-1
4341	4	0
4341	5	0
4341	6	0
9469	1	0
9469	2	0
9469	3	0
9469	4	0
9469	5	0
9469	6	0
8481	1	-1
8481	2	-1
7605	1	2
7605	2	2
10083	1	2
10083	2	2
10083	3	2
10083	4	2
11562	1	1
11562	2	1
8507	1	-1
8507	2	-1
8507	3	-1
8506	1	-1
8506	2	-1
10087	1	2
10087	2	2
10087	3	2
10087	4	2
10087	5	2
8512	1	-1
8512	2	-1
10123	1	1
10123	2	1
10084	1	1
10084	2	1
10084	3	1
10084	4	1
10084	5	1
10084	6	1
10084	7	1
10084	8	1
10084	9	1
11416	1	2
11416	2	2
11416	3	2
10119	1	1
10119	2	1
3255	1	-1
3255	2	-1
7517	1	1
7517	2	1
3978	1	1
3978	2	1
7602	1	-1
7602	2	-1
7602	3	-1
7602	4	-1
7602	5	-1
7602	6	-1
8675	1	0
8675	2	0
11722	1	2
11722	2	2
11722	3	2
8808	1	1
8808	2	1
8808	3	1
8808	4	2
8808	5	2
4770	1	-1
4770	2	-1
4770	3	-1
4770	4	1
4770	5	1
4770	6	1
9059	1	-1
9059	2	-1
10134	1	1
10134	2	1
9755	1	1
9755	2	1
930	1	0
930	2	0
9899	1	0
9899	2	0
9899	3	0
9899	4	0
11740	1	1
11740	2	1
8436	1	-1
8436	2	-1
8437	1	-1
8437	2	-1
8437	3	-1
8437	4	-1
8489	1	-1
8489	2	-1
8482	1	-1
8482	2	-1
8482	3	-1
8823	1	0
8823	2	0
8649	1	0
8649	2	0
8530	1	-1
8530	2	-1
8505	1	-1
8505	2	-1
8505	3	-1
8505	4	-1
8505	5	-1
11595	1	1
11595	2	1
7380	1	-1
7380	2	-1
7380	3	-1
2552	1	1
2552	2	1
2553	1	1
2553	2	1
10118	1	1
10118	2	1
4752	1	1
4752	2	1
10091	1	1
10091	2	1
10091	3	1
10091	4	1
10092	1	1
10092	2	1
11808	1	0
11808	2	0
11808	3	0
11808	4	0
10112	1	2
10112	2	2
10498	1	0
10498	2	0
11367	1	0
11367	2	0
11367	3	0
11367	4	0
11367	5	0
11572	1	1
11572	2	1
10104	1	2
10104	2	2
2591	1	1
2591	2	1
11697	1	2
11697	2	2
11697	3	2
11697	4	2
11697	5	2
10108	1	1
10108	2	1
10108	3	1
10108	4	1
10109	1	1
10109	2	1
10109	3	1
10109	4	1
10109	5	1
10109	6	1
10109	7	1
10111	1	2
10111	2	2
8379	1	-1
8379	2	-1
8379	3	-1
8379	4	-1
11597	1	1
11597	2	1
10147	1	1
10147	2	1
11469	1	2
11469	2	2
11469	3	2
10173	1	1
10173	2	1
10173	3	1
10173	4	1
10173	5	1
10173	6	1
10173	7	1
10173	8	1
10173	9	1
10173	10	1
10173	11	1
10173	12	1
10817	1	0
10817	2	0
10817	3	1
10817	4	1
1909	1	0
1909	2	0
10138	1	1
10138	2	1
10138	3	1
10138	4	1
10139	1	1
10139	2	1
10144	1	1
10144	2	1
11194	1	2
11194	2	2
11194	3	2
7762	1	-1
7762	2	-1
7762	3	-1
7762	4	-1
7762	5	-1
7762	6	-1
10249	1	2
10249	2	2
11270	1	2
11270	2	2
11270	3	2
8447	1	-1
8447	2	-1
8447	3	-1
8446	1	-1
8446	2	-1
8446	3	-1
8446	4	-1
8446	5	-1
8627	1	0
8627	2	0
8627	3	0
8627	4	0
11596	1	1
11596	2	1
8562	1	-1
8562	2	-1
8563	1	-1
8563	2	-1
6461	1	-1
6461	2	-1
10585	1	0
10585	2	0
10585	3	0
10218	1	2
10218	2	2
9518	1	1
9518	2	1
8651	1	0
8651	2	0
8651	3	0
8651	4	0
8651	5	0
8651	6	0
8652	1	0
8652	2	0
8652	3	0
11478	1	2
11478	2	2
11478	3	2
8589	1	-1
8589	2	-1
8590	1	-1
8590	2	-1
4509	1	1
4509	2	1
11180	1	2
11180	2	2
7836	1	-1
7836	2	-1
11352	1	2
11352	2	2
10980	1	0
10980	2	0
11358	1	2
11358	2	2
11358	3	2
8387	1	-1
8387	2	-1
8387	3	-1
8387	4	-1
8387	5	-1
8387	6	-1
8408	1	-1
8408	2	-1
8408	3	-1
8409	1	-1
8409	2	-1
8374	1	0
8374	2	0
8601	1	-1
8601	2	-1
7650	1	0
7650	2	0
7650	3	0
10149	1	1
10149	2	1
7546	1	-1
7546	2	-1
7647	1	1
7647	2	1
7646	1	1
7646	2	1
6064	1	-1
6064	2	-1
8879	1	1
8879	2	1
8595	1	-1
8595	2	-1
11189	1	-1
11189	2	-1
