date_hour	count	rating
9923	1	0
9923	2	0
11541	1	2
11541	2	2
1449	1	1
1449	2	1
11543	1	2
11543	2	2
11543	3	2
11543	4	2
11543	5	2
11543	6	2
8676	1	0
8676	2	0
8676	3	0
8676	4	0
8676	5	0
3615	1	1
3615	2	1
8242	1	2
8242	2	2
3363	1	1
3363	2	1
4028	1	1
4028	2	1
4028	3	1
4028	4	1
4028	5	1
4028	6	1
2292	1	0
2292	2	0
2295	1	-1
2295	2	-1
7641	1	2
7641	2	2
8746	1	0
8746	2	0
8746	3	0
8746	4	0
8746	5	0
10206	1	1
10206	2	1
11244	1	0
11244	2	0
11244	3	0
11244	4	0
9280	1	0
9280	2	0
3818	1	2
3818	2	2
3819	1	2
3819	2	2
7189	1	-1
7189	2	-1
7189	3	-1
10314	1	0
10314	2	0
9166	1	0
9166	2	0
4093	1	-1
4093	2	-1
1236	1	1
1236	2	1
1148	1	-1
1148	2	-1
3400	1	-1
3400	2	-1
3400	3	-1
3400	4	1
3400	5	1
3401	1	1
3401	2	1
1730	1	2
1730	2	2
1735	1	1
1735	2	1
6172	1	-1
6172	2	-1
6918	1	0
6918	2	0
6916	1	0
6916	2	0
3977	1	0
3977	2	0
3977	3	0
3977	4	1
3977	5	1
3977	6	1
5272	1	1
5272	2	1
7249	1	-1
7249	2	-1
7249	3	-1
7249	4	1
7249	5	1
7249	6	1
3527	1	1
3527	2	1
11853	1	1
11853	2	1
9552	1	1
9552	2	1
9552	3	1
7667	1	2
7667	2	2
7673	1	2
7673	2	2
7671	1	2
7671	2	2
3479	1	-1
3479	2	-1
4956	1	-1
4956	2	-1
4956	3	-1
1580	1	-1
1580	2	-1
7166	1	-1
7166	2	-1
8493	1	-1
8493	2	-1
8493	3	-1
8493	4	-1
8493	5	-1
8493	6	-1
8493	7	-1
8493	8	-1
8493	9	2
8493	10	2
8492	1	-1
8492	2	-1
8492	3	-1
8492	4	-1
8492	5	2
8492	6	2
8492	7	2
8492	8	2
8492	9	2
8492	10	2
8492	11	2
8492	12	2
8492	13	2
8492	14	2
8492	15	2
8492	16	2
7986	1	1
7986	2	1
8494	1	-1
8494	2	-1
8494	3	-1
8494	4	-1
8494	5	-1
8494	6	2
8494	7	2
8494	8	2
8494	9	2
8494	10	2
4063	1	0
4063	2	0
4063	3	0
4063	4	1
4063	5	1
4063	6	1
9181	1	0
9181	2	0
9181	3	0
9181	4	0
9181	5	1
9181	6	1
9181	7	1
9181	8	1
11075	1	1
11075	2	1
8884	1	1
8884	2	1
7885	1	-1
7885	2	-1
7885	3	-1
7885	4	-1
7885	5	-1
11542	1	1
11542	2	1
11542	3	2
11542	4	2
11143	1	1
11143	2	1
1547	1	0
1547	2	0
8468	1	1
8468	2	1
8025	1	1
8025	2	1
8025	3	1
3961	1	0
3961	2	0
3961	3	0
3961	4	1
3961	5	1
3961	6	1
8396	1	1
8396	2	1
8396	3	1
8396	4	1
8396	5	1
8396	6	1
8396	7	1
1880	1	1
1880	2	1
10196	1	0
10196	2	0
7814	1	1
7814	2	1
7001	1	2
7001	2	2
11742	1	1
11742	2	1
6997	1	2
6997	2	2
11739	1	0
11739	2	0
1413	1	1
1413	2	1
416	1	-1
416	2	-1
416	3	-1
8342	1	1
8342	2	1
8341	1	1
8341	2	1
8509	1	-1
8509	2	-1
8509	3	-1
8509	4	-1
8509	5	-1
8509	6	2
8509	7	2
8509	8	2
8508	1	-1
8508	2	-1
8508	3	-1
8508	4	-1
8507	1	-1
8507	2	-1
8507	3	-1
8507	4	-1
8507	5	-1
8507	6	-1
8507	7	-1
8507	8	-1
8507	9	-1
8507	10	-1
8507	11	-1
8507	12	-1
8507	13	-1
8507	14	-1
8507	15	-1
8507	16	-1
8507	17	-1
8507	18	-1
8507	19	-1
8507	20	-1
8507	21	-1
8507	22	-1
8507	23	-1
8507	24	0
8507	25	0
8506	1	-1
8506	2	-1
8506	3	-1
8506	4	-1
8506	5	-1
8506	6	-1
8506	7	-1
8506	8	-1
8506	9	-1
8506	10	-1
8506	11	-1
8506	12	-1
8506	13	-1
8506	14	-1
8506	15	-1
8506	16	-1
8506	17	-1
8506	18	-1
8506	19	-1
8506	20	-1
8506	21	-1
8506	22	-1
8506	23	-1
8506	24	-1
8506	25	-1
8506	26	-1
8506	27	-1
8506	28	-1
8506	29	-1
8506	30	-1
8506	31	-1
8506	32	-1
8506	33	-1
8506	34	-1
8506	35	-1
8506	36	-1
8506	37	-1
8506	38	-1
8506	39	-1
8506	40	-1
8506	41	-1
8506	42	2
8506	43	2
8506	44	2
8513	1	1
8513	2	1
8513	3	2
8513	4	2
8513	5	2
8513	6	2
8513	7	2
8513	8	2
8513	9	2
8512	1	1
8512	2	1
8512	3	1
8512	4	1
8512	5	1
8512	6	1
8512	7	1
8512	8	2
8512	9	2
8512	10	2
8512	11	2
8512	12	2
8512	13	2
8512	14	2
8511	1	-1
8511	2	-1
8511	3	-1
8511	4	-1
8511	5	-1
8511	6	-1
8511	7	-1
8511	8	-1
8511	9	-1
8511	10	-1
8511	11	0
8511	12	0
8511	13	0
8511	14	0
8511	15	0
8511	16	0
8511	17	0
8511	18	2
8511	19	2
8511	20	2
8511	21	2
8511	22	2
8511	23	2
8511	24	2
8511	25	2
8511	26	2
8511	27	2
8511	28	2
8511	29	2
8511	30	2
8511	31	2
8511	32	2
8511	33	2
8511	34	2
8511	35	2
8511	36	2
8511	37	2
8511	38	2
