date_hour	count	rating
9878	1	-1
9878	2	-1
9878	3	-1
9879	1	-1
9879	2	-1
9929	1	-1
9929	2	-1
8908	1	-1
8908	2	-1
8908	3	-1
8701	1	-1
8701	2	-1
8701	3	-1
8706	1	-1
8706	2	-1
8706	3	-1
8706	4	-1
4147	1	-1
4147	2	-1
4147	3	-1
4147	4	-1
4147	5	-1
817	1	-1
817	2	-1
9492	1	-1
9492	2	-1
8750	1	-1
8750	2	-1
8750	3	-1
9042	1	-1
9042	2	-1
9042	3	-1
9039	1	-1
9039	2	-1
9036	1	-1
9036	2	-1
9036	3	-1
9281	1	-1
9281	2	-1
9281	3	-1
9281	4	-1
4504	1	-1
4504	2	-1
4504	3	-1
7695	1	-1
7695	2	-1
7692	1	-1
7692	2	-1
7190	1	-1
7190	2	-1
1242	1	-1
1242	2	-1
5013	1	-1
5013	2	-1
5013	3	-1
7458	1	-1
7458	2	-1
7457	1	-1
7457	2	-1
4181	1	-1
4181	2	-1
4181	3	-1
4181	4	-1
4181	5	-1
4181	6	-1
4181	7	-1
4181	8	-1
4181	9	-1
4181	10	-1
4181	11	-1
1732	1	-1
1732	2	-1
1732	3	-1
1734	1	-1
1734	2	-1
1734	3	-1
7037	1	-1
7037	2	-1
4864	1	-1
4864	2	-1
10026	1	-1
10026	2	-1
10026	3	-1
9383	1	-1
9383	2	-1
9383	3	-1
10021	1	-1
10021	2	-1
7873	1	-1
7873	2	-1
8957	1	-1
8957	2	-1
9979	1	-1
9979	2	-1
9229	1	-1
9229	2	-1
9229	3	-1
7672	1	-1
7672	2	-1
7169	1	-1
7169	2	-1
7166	1	-1
7166	2	-1
7166	3	-1
7166	4	-1
7166	5	-1
7166	6	-1
7165	1	-1
7165	2	-1
7165	3	-1
7982	1	-1
7982	2	-1
7986	1	-1
7986	2	-1
8320	1	-1
8320	2	-1
8319	1	-1
8319	2	-1
8318	1	-1
8318	2	-1
8117	1	-1
8117	2	-1
7885	1	-1
7885	2	-1
8453	1	-1
8453	2	-1
7936	1	-1
7936	2	-1
8449	1	-1
8449	2	-1
8449	3	-1
9734	1	-1
9734	2	-1
7277	1	-1
7277	2	-1
8948	1	-1
8948	2	-1
2142	1	-1
2142	2	-1
2641	1	-1
2641	2	-1
9737	1	-1
9737	2	-1
7959	1	-1
7959	2	-1
7099	1	-1
7099	2	-1
3926	1	-1
3926	2	-1
7814	1	-1
7814	2	-1
3928	1	-1
3928	2	-1
3928	3	-1
1877	1	-1
1877	2	-1
6998	1	-1
6998	2	-1
6999	1	-1
6999	2	-1
2495	1	-1
2495	2	-1
4105	1	-1
4105	2	-1
8341	1	-1
8341	2	-1
8515	1	-1
8515	2	-1
9062	1	-1
9062	2	-1
7758	1	-1
7758	2	-1
10756	1	-1
10756	2	-1
9061	1	-1
9061	2	-1
5945	1	-1
5945	2	-1
8443	1	-1
8443	2	-1
8443	3	-1
9941	1	-1
9941	2	-1
9941	3	-1
2456	1	-1
2456	2	-1
2456	3	-1
9012	1	-1
9012	2	-1
9011	1	-1
9011	2	-1
6281	1	-1
6281	2	-1
9317	1	-1
9317	2	-1
9317	3	-1
9317	4	-1
9313	1	-1
9313	2	-1
9313	3	-1
7776	1	-1
7776	2	-1
7778	1	-1
7778	2	-1
7781	1	-1
7781	2	-1
7781	3	-1
8410	1	-1
8410	2	-1
4430	1	-1
4430	2	-1
9348	1	-1
9348	2	-1
7373	1	-1
7373	2	-1
7843	1	-1
7843	2	-1
7838	1	-1
7838	2	-1
7840	1	-1
7840	2	-1
7376	1	-1
7376	2	-1
7837	1	-1
7837	2	-1
3841	1	-1
3841	2	-1
11187	1	-1
11187	2	-1
11187	3	-1
7335	1	-1
7335	2	-1
8789	1	-1
8789	2	-1
1752	1	-1
1752	2	-1
1752	3	-1
1752	4	-1
1752	5	-1
1752	6	-1
1752	7	-1
3274	1	-1
3274	2	-1
9750	1	-1
9750	2	-1
3996	1	-1
3996	2	-1
3996	3	-1
3999	1	-1
3999	2	-1
9974	1	-1
9974	2	-1
7360	1	-1
7360	2	-1
7360	3	-1
8830	1	-1
8830	2	-1
8830	3	-1
7359	1	-1
7359	2	-1
6096	1	-1
6096	2	-1
8169	1	-1
8169	2	-1
8223	1	-1
8223	2	-1
4151	1	-1
4151	2	-1
4151	3	-1
4920	1	-1
4920	2	-1
7237	1	-1
7237	2	-1
7237	3	-1
7237	4	-1
7237	5	-1
10144	1	-1
10144	2	-1
8892	1	-1
8892	2	-1
8894	1	-1
8894	2	-1
4359	1	-1
4359	2	-1
4359	3	-1
8148	1	-1
8148	2	-1
5484	1	-1
5484	2	-1
8152	1	-1
8152	2	-1
3950	1	-1
3950	2	-1
3950	3	-1
9135	1	-1
9135	2	-1
7575	1	-1
7575	2	-1
4205	1	-1
4205	2	-1
7178	1	-1
7178	2	-1
2986	1	-1
2986	2	-1
2992	1	-1
2992	2	-1
9493	1	-1
9493	2	-1
9088	1	-1
9088	2	-1
9088	3	-1
9088	4	-1
4817	1	-1
4817	2	-1
4811	1	-1
4811	2	-1
4811	3	-1
2237	1	-1
2237	2	-1
7956	1	-1
7956	2	-1
1616	1	-1
1616	2	-1
4693	1	-1
4693	2	-1
7316	1	-1
7316	2	-1
4715	1	-1
4715	2	-1
4715	3	-1
9566	1	-1
9566	2	-1
9566	3	-1
7677	1	-1
7677	2	-1
10274	1	-1
10274	2	-1
10274	3	-1
7172	1	-1
7172	2	-1
10664	1	-1
10664	2	-1
10664	3	-1
8304	1	-1
8304	2	-1
8305	1	-1
8305	2	-1
5021	1	-1
5021	2	-1
5021	3	-1
5021	4	-1
5021	5	-1
3070	1	-1
3070	2	-1
7287	1	-1
7287	2	-1
7287	3	-1
3973	1	-1
3973	2	-1
3973	3	-1
8177	1	-1
8177	2	-1
9204	1	-1
9204	2	-1
9205	1	-1
9205	2	-1
7808	1	-1
7808	2	-1
9207	1	-1
9207	2	-1
9211	1	-1
9211	2	-1
9644	1	-1
9644	2	-1
7613	1	-1
7613	2	-1
8350	1	-1
8350	2	-1
8350	3	-1
3887	1	-1
3887	2	-1
3886	1	-1
3886	2	-1
3885	1	-1
3885	2	-1
8825	1	-1
8825	2	-1
8820	1	-1
8820	2	-1
4195	1	-1
4195	2	-1
4195	3	-1
8231	1	-1
8231	2	-1
7549	1	-1
7549	2	-1
7767	1	-1
7767	2	-1
8447	1	-1
8447	2	-1
8447	3	-1
2952	1	-1
2952	2	-1
1692	1	-1
1692	2	-1
8589	1	-1
8589	2	-1
8589	3	-1
8590	1	-1
8590	2	-1
9323	1	-1
9323	2	-1
9324	1	-1
9324	2	-1
9325	1	-1
9325	2	-1
10148	1	-1
10148	2	-1
10148	3	-1
7789	1	-1
7789	2	-1
8595	1	-1
8595	2	-1
3012	1	-1
3012	2	-1
3619	1	-1
3619	2	-1
7416	1	-1
7416	2	-1
7416	3	-1
9529	1	-1
9529	2	-1
9363	1	-1
9363	2	-1
9363	3	-1
9363	4	-1
9363	5	-1
9362	1	-1
9362	2	-1
9362	3	-1
3856	1	-1
3856	2	-1
8869	1	-1
8869	2	-1
8869	3	-1
9572	1	-1
9572	2	-1
8872	1	-1
8872	2	-1
3788	1	-1
3788	2	-1
9638	1	-1
9638	2	-1
10189	1	-1
10189	2	-1
10189	3	-1
10189	4	-1
10189	5	-1
10189	6	-1
10189	7	-1
10189	8	-1
10189	9	-1
10189	10	-1
10189	11	-1
10189	12	-1
10189	13	-1
10189	14	-1
10189	15	-1
10189	16	-1
10189	17	-1
10189	18	-1
10189	19	-1
10189	20	-1
10189	21	-1
10189	22	-1
10189	23	-1
10189	24	-1
10189	25	-1
10189	26	-1
10189	27	-1
10189	28	-1
10189	29	-1
10189	30	-1
10189	31	-1
10189	32	-1
10189	33	-1
10189	34	-1
10189	35	-1
10189	36	-1
10189	37	-1
10189	38	-1
10189	39	-1
10189	40	-1
10189	41	-1
10189	42	-1
10189	43	-1
10189	44	-1
10189	45	-1
10189	46	-1
10189	47	-1
10189	48	-1
10189	49	-1
10189	50	-1
10189	51	-1
10189	52	-1
10189	53	-1
10189	54	-1
10189	55	-1
10189	56	-1
10189	57	-1
10189	58	-1
10189	59	-1
10189	60	-1
10189	61	-1
10189	62	-1
10189	63	-1
10189	64	-1
10189	65	-1
10189	66	-1
10189	67	-1
10189	68	-1
10189	69	-1
10189	70	-1
10189	71	-1
10189	72	-1
10189	73	-1
10189	74	-1
10189	75	-1
10189	76	-1
10189	77	-1
10189	78	-1
10189	79	-1
10189	80	-1
10189	81	-1
10189	82	-1
10189	83	-1
10189	84	-1
10189	85	-1
10189	86	-1
10189	87	-1
10189	88	-1
10189	89	-1
10189	90	-1
10189	91	-1
10189	92	-1
10189	93	-1
10189	94	-1
10189	95	-1
10189	96	-1
10189	97	-1
10189	98	-1
10189	99	-1
10189	100	-1
10189	101	-1
10189	102	-1
10189	103	-1
9592	1	-1
9592	2	-1
7328	1	-1
7328	2	-1
8717	1	-1
8717	2	-1
7203	1	-1
7203	2	-1
1771	1	-1
1771	2	-1
1771	3	-1
7200	1	-1
7200	2	-1
7200	3	-1
7200	4	-1
7200	5	-1
7200	6	-1
7200	7	-1
8137	1	-1
8137	2	-1
7709	1	-1
7709	2	-1
7709	3	-1
3490	1	-1
3490	2	-1
3494	1	-1
3494	2	-1
7119	1	-1
7119	2	-1
7119	3	-1
2042	1	-1
2042	2	-1
10034	1	-1
10034	2	-1
6144	1	-1
6144	2	-1
6144	3	-1
8174	1	-1
8174	2	-1
8175	1	-1
8175	2	-1
9519	1	-1
9519	2	-1
9518	1	-1
9518	2	-1
7509	1	-1
7509	2	-1
8801	1	-1
8801	2	-1
9662	1	-1
9662	2	-1
9661	1	-1
9661	2	-1
9661	3	-1
3938	1	-1
3938	2	-1
3938	3	-1
9125	1	-1
9125	2	-1
4327	1	-1
4327	2	-1
4327	3	-1
8847	1	-1
8847	2	-1
8847	3	-1
430	1	-1
430	2	-1
430	3	-1
7981	1	-1
7981	2	-1
7981	3	-1
9694	1	-1
9694	2	-1
7985	1	-1
7985	2	-1
7949	1	-1
7949	2	-1
9805	1	-1
9805	2	-1
9807	1	-1
9807	2	-1
9806	1	-1
9806	2	-1
9461	1	-1
9461	2	-1
9350	1	-1
9350	2	-1
9350	3	-1
9347	1	-1
9347	2	-1
8285	1	-1
8285	2	-1
9349	1	-1
9349	2	-1
2633	1	-1
2633	2	-1
7315	1	-1
7315	2	-1
7315	3	-1
7315	4	-1
7315	5	-1
8582	1	-1
8582	2	-1
8582	3	-1
8582	4	-1
7307	1	-1
7307	2	-1
7525	1	-1
7525	2	-1
7311	1	-1
7311	2	-1
3125	1	-1
3125	2	-1
7109	1	-1
7109	2	-1
7109	3	-1
8783	1	-1
8783	2	-1
8783	3	-1
8782	1	-1
8782	2	-1
8782	3	-1
1564	1	-1
1564	2	-1
7445	1	-1
7445	2	-1
10080	1	-1
10080	2	-1
10080	3	-1
4768	1	-1
4768	2	-1
4768	3	-1
4766	1	-1
4766	2	-1
4766	3	-1
7733	1	-1
7733	2	-1
4170	1	-1
4170	2	-1
4166	1	-1
4166	2	-1
3340	1	-1
3340	2	-1
8470	1	-1
8470	2	-1
1339	1	-1
1339	2	-1
4552	1	-1
4552	2	-1
10173	1	-1
10173	2	-1
10173	3	-1
8381	1	-1
8381	2	-1
10175	1	-1
10175	2	-1
9300	1	-1
9300	2	-1
8557	1	-1
8557	2	-1
8561	1	-1
8561	2	-1
7620	1	-1
7620	2	-1
7620	3	-1
7620	4	-1
7623	1	-1
7623	2	-1
8656	1	-1
8656	2	-1
8656	3	-1
6462	1	-1
6462	2	-1
8653	1	-1
8653	2	-1
9118	1	-1
9118	2	-1
4128	1	-1
4128	2	-1
4128	3	-1
9379	1	-1
9379	2	-1
7650	1	-1
7650	2	-1
7647	1	-1
7647	2	-1
7647	3	-1
3211	1	-1
3211	2	-1
4984	1	-1
4984	2	-1
8006	1	-1
8006	2	-1
8222	1	-1
8222	2	-1
7196	1	-1
7196	2	-1
7196	3	-1
7196	4	-1
7196	5	-1
7196	6	-1
3726	1	-1
3726	2	-1
7701	1	-1
7701	2	-1
10028	1	-1
10028	2	-1
9422	1	-1
9422	2	-1
9422	3	-1
9422	4	-1
10975	1	-1
10975	2	-1
10975	3	-1
7389	1	-1
7389	2	-1
1746	1	-1
1746	2	-1
1746	3	-1
1746	4	-1
1746	5	-1
1746	6	-1
1746	7	-1
6181	1	-1
6181	2	-1
4854	1	-1
4854	2	-1
9373	1	-1
9373	2	-1
9373	3	-1
9374	1	-1
9374	2	-1
2636	1	-1
2636	2	-1
8964	1	-1
8964	2	-1
9966	1	-1
9966	2	-1
9960	1	-1
9960	2	-1
9630	1	-1
9630	2	-1
3427	1	-1
3427	2	-1
7718	1	-1
7718	2	-1
1722	1	-1
1722	2	-1
1722	3	-1
1722	4	-1
1722	5	-1
1723	1	-1
1723	2	-1
1723	3	-1
1723	4	-1
1723	5	-1
7214	1	-1
7214	2	-1
7214	3	-1
7217	1	-1
7217	2	-1
7217	3	-1
2908	1	-1
2908	2	-1
7231	1	-1
7231	2	-1
7228	1	-1
7228	2	-1
7228	3	-1
3807	1	-1
3807	2	-1
2630	1	-1
2630	2	-1
2630	3	-1
2630	4	-1
2630	5	-1
2630	6	-1
8324	1	-1
8324	2	-1
3485	1	-1
3485	2	-1
8052	1	-1
8052	2	-1
3590	1	-1
3590	2	-1
9458	1	-1
9458	2	-1
9051	1	-1
9051	2	-1
8467	1	-1
8467	2	-1
9053	1	-1
9053	2	-1
7926	1	-1
7926	2	-1
8461	1	-1
8461	2	-1
7920	1	-1
7920	2	-1
3717	1	-1
3717	2	-1
9506	1	-1
9506	2	-1
8035	1	-1
8035	2	-1
8033	1	-1
8033	2	-1
7906	1	-1
7906	2	-1
7906	3	-1
7906	4	-1
8031	1	-1
8031	2	-1
10171	1	-1
10171	2	-1
10170	1	-1
10170	2	-1
10170	3	-1
10167	1	-1
10167	2	-1
10167	3	-1
10167	4	-1
10167	5	-1
10167	6	-1
10167	7	-1
10167	8	-1
10167	9	-1
10167	10	-1
10167	11	-1
10167	12	-1
10167	13	-1
10167	14	-1
10167	15	-1
10167	16	-1
10167	17	-1
10167	18	-1
10167	19	-1
10167	20	-1
10167	21	-1
10167	22	-1
10167	23	-1
10167	24	-1
10167	25	-1
10167	26	-1
10167	27	-1
10167	28	-1
10167	29	-1
10167	30	-1
10167	31	-1
10167	32	-1
10167	33	-1
10167	34	-1
10167	35	-1
10167	36	-1
10167	37	-1
10167	38	-1
10167	39	-1
10167	40	-1
10167	41	-1
10167	42	-1
10167	43	-1
10167	44	-1
10167	45	-1
10167	46	-1
10167	47	-1
10167	48	-1
10166	1	-1
10166	2	-1
10166	3	-1
10166	4	-1
10166	5	-1
10166	6	-1
10166	7	-1
10166	8	-1
10166	9	-1
10166	10	-1
10166	11	-1
10166	12	-1
10166	13	-1
10166	14	-1
10166	15	-1
10166	16	-1
10166	17	-1
10166	18	-1
10166	19	-1
10166	20	-1
10166	21	-1
10166	22	-1
10166	23	-1
10166	24	-1
10166	25	-1
10166	26	-1
10166	27	-1
10166	28	-1
10166	29	-1
10166	30	-1
10166	31	-1
10166	32	-1
10166	33	-1
10166	34	-1
10166	35	-1
10166	36	-1
10166	37	-1
10166	38	-1
10166	39	-1
10166	40	-1
10166	41	-1
10166	42	-1
10166	43	-1
10166	44	-1
10166	45	-1
10166	46	-1
10166	47	-1
10166	48	-1
10166	49	-1
10166	50	-1
10166	51	-1
10166	52	-1
10166	53	-1
10168	1	-1
10168	2	-1
10168	3	-1
10168	4	-1
10168	5	-1
10168	6	-1
10168	7	-1
10168	8	-1
10168	9	-1
10168	10	-1
10168	11	-1
10168	12	-1
10168	13	-1
10168	14	-1
10168	15	-1
10168	16	-1
10168	17	-1
10168	18	-1
10168	19	-1
10168	20	-1
10168	21	-1
10168	22	-1
10168	23	-1
10168	24	-1
10168	25	-1
10168	26	-1
10168	27	-1
10168	28	-1
10168	29	-1
10168	30	-1
10168	31	-1
10168	32	-1
10168	33	-1
10168	34	-1
10168	35	-1
10168	36	-1
10168	37	-1
10168	38	-1
10168	39	-1
10168	40	-1
10168	41	-1
10168	42	-1
10168	43	-1
10168	44	-1
10168	45	-1
10168	46	-1
10168	47	-1
10168	48	-1
10168	49	-1
10168	50	-1
10168	51	-1
10168	52	-1
