date_hour	count	rating
9261	1	1
9261	2	1
8973	1	1
8973	2	1
8973	3	1
9548	1	1
9548	2	1
8907	1	1
8907	2	1
9020	1	1
9020	2	1
9810	1	0
9810	2	0
10315	1	0
10315	2	0
12039	1	1
12039	2	1
9012	1	1
9012	2	1
9019	1	1
9019	2	1
9019	3	1
9019	4	1
9019	5	1
9019	6	1
9019	7	1
9019	8	1
9019	9	2
9019	10	2
9019	11	2
9019	12	2
10406	1	1
10406	2	1
9038	1	1
9038	2	1
9038	3	1
8833	1	0
8833	2	0
8833	3	0
8833	4	2
8833	5	2
8833	6	2
8832	1	0
8832	2	0
8832	3	0
8832	4	2
8832	5	2
8832	6	2
8832	7	2
8835	1	0
8835	2	0
8835	3	2
8835	4	2
8834	1	0
8834	2	0
8834	3	0
8834	4	2
8834	5	2
8834	6	2
9016	1	-1
9016	2	-1
9016	3	1
9016	4	1
9017	1	1
9017	2	1
8839	1	2
8839	2	2
9015	1	1
9015	2	1
9909	1	1
9909	2	1
11365	1	-1
11365	2	-1
11365	3	-1
11365	4	1
11365	5	1
11365	6	1
9111	1	1
9111	2	1
8974	1	1
8974	2	1
10030	1	1
10030	2	1
10030	3	1
10030	4	1
8972	1	1
8972	2	1
8972	3	1
8884	1	2
8884	2	2
8900	1	1
8900	2	1
8900	3	1
8900	4	1
8900	5	2
8900	6	2
8903	1	1
8903	2	1
8903	3	1
8902	1	1
8902	2	1
8902	3	1
10243	1	1
10243	2	1
10243	3	1
10243	4	1
9014	1	1
9014	2	1
10368	1	0
10368	2	0
9171	1	-1
9171	2	-1
9171	3	-1
9171	4	-1
9171	5	-1
9171	6	-1
9171	7	-1
8970	1	1
8970	2	1
9176	1	-1
9176	2	-1
9176	3	-1
9176	4	-1
9176	5	-1
8996	1	1
8996	2	1
8996	3	1
8996	4	1
8996	5	1
8996	6	1
8996	7	1
8996	8	1
8996	9	1
9910	1	1
9910	2	1
11225	1	0
11225	2	0
9071	1	1
9071	2	1
9071	3	1
9071	4	2
9071	5	2
9071	6	2
9186	1	1
9186	2	1
9009	1	1
9009	2	1
12038	1	1
12038	2	1
8850	1	0
8850	2	0
8850	3	2
8850	4	2
8851	1	0
8851	2	0
8851	3	0
8851	4	2
8851	5	2
8851	6	2
8851	7	2
9022	1	1
9022	2	1
9022	3	1
9021	1	1
9021	2	1
9021	3	1
8831	1	0
8831	2	0
8831	3	0
8831	4	2
8831	5	2
8831	6	2
8831	7	2
8831	8	2
8831	9	2
9039	1	1
9039	2	1
8845	1	0
8845	2	0
8845	3	2
8845	4	2
9040	1	-1
9040	2	-1
9040	3	1
9040	4	1
8848	1	0
8848	2	0
8848	3	0
8848	4	0
8848	5	2
8848	6	2
8848	7	2
8848	8	2
8848	9	2
8848	10	2
8848	11	2
8849	1	0
8849	2	0
8849	3	2
8849	4	2
8849	5	2
9036	1	1
9036	2	1
8898	1	1
8898	2	1
8898	3	1
8898	4	1
8898	5	1
8968	1	1
8968	2	1
8965	1	1
8965	2	1
8965	3	1
10912	1	0
10912	2	0
10912	3	0
10132	1	1
10132	2	1
10133	1	1
10133	2	1
8895	1	1
8895	2	1
8897	1	1
8897	2	1
9857	1	0
9857	2	0
8991	1	1
8991	2	1
8992	1	1
8992	2	1
8992	3	1
9184	1	-1
9184	2	-1
8988	1	1
8988	2	1
8988	3	1
8994	1	1
8994	2	1
8994	3	1
8995	1	1
8995	2	1
8876	1	2
8876	2	2
8876	3	2
9042	1	1
9042	2	1
