date_hour	count	rating
7337	1	-1
7337	2	-1
7337	3	-1
7337	4	-1
7337	5	-1
7337	6	0
7337	7	0
7337	8	1
7337	9	1
7337	10	1
7337	11	2
7337	12	2
7337	13	2
7337	14	2
7337	15	2
7404	1	1
7404	2	1
7404	3	1
7404	4	1
7404	5	1
7404	6	1
7404	7	1
7404	8	1
7404	9	1
7404	10	1
7404	11	1
7404	12	1
7404	13	1
7404	14	1
7404	15	1
7404	16	1
7404	17	1
7404	18	1
7404	19	1
7404	20	1
7404	21	1
7404	22	1
7404	23	1
7404	24	1
7404	25	1
7404	26	1
7404	27	1
7404	28	1
7404	29	1
7404	30	1
7404	31	1
7404	32	1
7404	33	1
7404	34	1
7404	35	1
7404	36	1
7404	37	1
7404	38	1
7404	39	1
7404	40	1
7404	41	1
7404	42	1
7404	43	1
7404	44	1
7404	45	1
7404	46	1
7404	47	1
7404	48	1
7404	49	1
7404	50	1
7404	51	1
7404	52	1
7404	53	1
7404	54	1
7404	55	1
7404	56	1
7404	57	1
7404	58	1
7404	59	1
7404	60	1
7404	61	1
7404	62	1
7404	63	1
7404	64	1
7404	65	1
7404	66	1
7404	67	1
7404	68	1
7404	69	1
7404	70	1
7404	71	1
7404	72	1
7404	73	1
7404	74	1
7404	75	1
7404	76	2
7404	77	2
7404	78	2
7404	79	2
7404	80	2
7404	81	2
7404	82	2
7404	83	2
7404	84	2
7404	85	2
7404	86	2
7404	87	2
7404	88	2
7404	89	2
7404	90	2
7404	91	2
7404	92	2
7404	93	2
7404	94	2
7404	95	2
7404	96	2
7404	97	2
7404	98	2
7404	99	2
7404	100	2
7404	101	2
7404	102	2
7404	103	2
7404	104	2
7404	105	2
7404	106	2
7404	107	2
7404	108	2
7404	109	2
7404	110	2
7404	111	2
7404	112	2
7404	113	2
7404	114	2
7404	115	2
7404	116	2
7404	117	2
7404	118	2
7404	119	2
7404	120	2
7404	121	2
7404	122	2
7404	123	2
7404	124	2
7404	125	2
7404	126	2
7404	127	2
7404	128	2
7404	129	2
7404	130	2
7404	131	2
7404	132	2
7404	133	2
7404	134	2
7404	135	2
7404	136	2
7404	137	2
7404	138	2
7404	139	2
7404	140	2
7404	141	2
7404	142	2
7404	143	2
7404	144	2
7404	145	2
7404	146	2
7404	147	2
7404	148	2
7404	149	2
7404	150	2
7404	151	2
7404	152	2
7404	153	2
7404	154	2
7404	155	2
7404	156	2
7404	157	2
7404	158	2
7404	159	2
7404	160	2
7404	161	2
7404	162	2
7404	163	2
7404	164	2
7404	165	2
7404	166	2
7404	167	2
7404	168	2
7404	169	2
7404	170	2
7404	171	2
7404	172	2
7404	173	2
7404	174	2
7404	175	2
7404	176	2
7404	177	2
7404	178	2
7404	179	2
7404	180	2
7404	181	2
7404	182	2
7404	183	2
9629	1	1
9629	2	1
10869	1	1
10869	2	1
10869	3	1
10869	4	1
10869	5	1
10869	6	1
10869	7	1
10869	8	1
10869	9	1
10869	10	1
10869	11	1
10870	1	1
10870	2	1
10870	3	1
10870	4	1
10870	5	1
10870	6	1
10870	7	1
10870	8	1
10870	9	1
10870	10	1
10870	11	1
3326	1	1
3326	2	1
9072	1	1
9072	2	1
9072	3	1
7612	1	-1
7612	2	-1
7612	3	-1
7612	4	-1
7612	5	-1
7612	6	-1
7612	7	-1
7612	8	-1
7612	9	-1
7612	10	-1
7612	11	-1
7612	12	0
7612	13	0
7612	14	0
7612	15	0
7612	16	0
8685	1	0
8685	2	0
8685	3	0
1648	1	1
1648	2	1
7338	1	1
7338	2	1
7338	3	1
7338	4	2
7338	5	2
8299	1	1
8299	2	1
3152	1	2
3152	2	2
3152	3	2
4502	1	1
4502	2	1
4502	3	1
4502	4	2
4502	5	2
4502	6	2
7348	1	1
7348	2	1
7154	1	-1
7154	2	-1
3145	1	2
3145	2	2
3145	3	2
4563	1	2
4563	2	2
9654	1	1
9654	2	1
7554	1	1
7554	2	1
4528	1	1
4528	2	1
4528	3	1
4528	4	2
4528	5	2
4528	6	2
7530	1	1
7530	2	1
4597	1	2
4597	2	2
1770	1	0
1770	2	0
10871	1	1
10871	2	1
7525	1	1
7525	2	1
7525	3	1
7525	4	1
7525	5	1
10884	1	1
10884	2	1
10884	3	1
10884	4	1
10884	5	1
3141	1	2
3141	2	2
9380	1	1
9380	2	1
9380	3	1
9380	4	1
9380	5	2
9380	6	2
9380	7	2
9380	8	2
9380	9	2
9380	10	2
9380	11	2
9380	12	2
9380	13	2
9380	14	2
9380	15	2
9380	16	2
9380	17	2
9380	18	2
9380	19	2
9380	20	2
9380	21	2
9380	22	2
9380	23	2
9380	24	2
9380	25	2
9380	26	2
9380	27	2
9380	28	2
9380	29	2
9380	30	2
9380	31	2
9380	32	2
9380	33	2
9380	34	2
7145	1	1
7145	2	1
7145	3	1
3055	1	0
3055	2	0
10352	1	-1
10352	2	-1
7689	1	1
7689	2	1
7689	3	1
7689	4	2
7689	5	2
7689	6	2
7047	1	1
7047	2	1
10875	1	1
10875	2	1
10875	3	1
10875	4	1
10875	5	1
10874	1	1
10874	2	1
10874	3	1
10874	4	1
10874	5	1
10874	6	1
7622	1	1
7622	2	1
7361	1	2
7361	2	2
7361	3	2
7361	4	2
7361	5	2
3057	1	0
3057	2	0
3162	1	2
3162	2	2
4493	1	1
4493	2	1
4493	3	2
4493	4	2
4494	1	1
4494	2	1
4494	3	1
4494	4	1
4494	5	2
4494	6	2
7839	1	1
7839	2	1
7839	3	1
7839	4	1
8812	1	1
8812	2	1
10878	1	1
10878	2	1
10878	3	1
3159	1	2
3159	2	2
3159	3	2
3161	1	1
3161	2	1
8347	1	1
8347	2	1
8347	3	1
8347	4	2
8347	5	2
8347	6	2
7545	1	1
7545	2	1
7545	3	1
7545	4	1
9148	1	1
9148	2	1
10891	1	1
10891	2	1
7517	1	-1
7517	2	-1
7517	3	-1
7517	4	-1
7517	5	-1
7517	6	-1
7517	7	-1
7517	8	-1
7517	9	-1
7517	10	-1
7517	11	-1
7517	12	-1
7517	13	-1
7517	14	-1
7517	15	-1
7517	16	0
7517	17	0
7517	18	0
7517	19	0
7517	20	0
7517	21	0
7517	22	0
11041	1	1
11041	2	1
11041	3	1
3137	1	2
3137	2	2
3134	1	2
3134	2	2
3134	3	2
3134	4	2
3134	5	2
3134	6	2
3134	7	2
3134	8	2
3134	9	2
3134	10	2
3134	11	2
3134	12	2
3134	13	2
3134	14	2
3134	15	2
3134	16	2
3135	1	2
3135	2	2
3135	3	2
3135	4	2
3135	5	2
3135	6	2
3135	7	2
