date_hour	count	rating
3472	1	1
3472	2	1
3472	3	2
3472	4	2
1651	1	1
1651	2	1
1651	3	1
6403	1	1
6403	2	1
6403	3	2
6403	4	2
2421	1	1
2421	2	1
2421	3	1
6988	1	0
6988	2	0
7243	1	2
7243	2	2
7243	3	2
7243	4	2
7243	5	2
7243	6	2
7243	7	2
7243	8	2
7243	9	2
7243	10	2
7731	1	1
7731	2	1
7731	3	2
7731	4	2
12005	1	2
12005	2	2
12005	3	2
8082	1	1
8082	2	1
8082	3	1
8082	4	2
8082	5	2
8082	6	2
8082	7	2
8082	8	2
8737	1	2
8737	2	2
6366	1	-1
6366	2	-1
2359	1	0
2359	2	0
2359	3	0
2359	4	1
2359	5	1
2359	6	1
7769	1	2
7769	2	2
7769	3	2
7769	4	2
7769	5	2
6916	1	-1
6916	2	-1
7153	1	2
7153	2	2
7232	1	2
7232	2	2
7232	3	2
7232	4	2
7232	5	2
7232	6	2
7232	7	2
6132	1	1
6132	2	1
5270	1	2
5270	2	2
5786	1	1
5786	2	1
7212	1	1
7212	2	1
7212	3	2
7212	4	2
7212	5	2
7244	1	2
7244	2	2
7244	3	2
7244	4	2
5886	1	0
5886	2	0
7246	1	2
7246	2	2
4989	1	0
4989	2	0
4989	3	0
10248	1	-1
10248	2	-1
10248	3	-1
10248	4	-1
6987	1	2
6987	2	2
3482	1	2
3482	2	2
3482	3	2
9735	1	1
9735	2	1
9735	3	2
9735	4	2
9735	5	2
7087	1	2
7087	2	2
7087	3	2
490	1	0
490	2	0
3142	1	2
3142	2	2
3142	3	2
8000	1	2
8000	2	2
8000	3	2
7770	1	2
7770	2	2
7770	3	2
2993	1	1
2993	2	1
762	1	0
762	2	0
763	1	0
763	2	0
763	3	0
7141	1	0
7141	2	0
7094	1	2
7094	2	2
2718	1	1
2718	2	1
7813	1	1
7813	2	1
7813	3	2
7813	4	2
8385	1	0
8385	2	0
6073	1	2
6073	2	2
6073	3	2
6074	1	2
6074	2	2
6074	3	2
322	1	0
322	2	0
3322	1	2
3322	2	2
3322	3	2
6994	1	0
6994	2	0
7238	1	2
7238	2	2
7238	3	2
7238	4	2
1638	1	1
1638	2	1
9748	1	1
9748	2	1
9748	3	1
1138	1	0
1138	2	0
11046	1	0
11046	2	0
8081	1	1
8081	2	1
9741	1	0
9741	2	0
9741	3	0
2890	1	2
2890	2	2
1652	1	1
1652	2	1
9742	1	0
9742	2	0
6104	1	2
6104	2	2
6104	3	2
10008	1	2
10008	2	2
10008	3	2
7771	1	2
7771	2	2
7771	3	2
7771	4	2
7771	5	2
7771	6	2
7771	7	2
7771	8	2
7771	9	2
7771	10	2
7771	11	2
4722	1	2
4722	2	2
4722	3	2
4722	4	2
4722	5	2
7766	1	2
7766	2	2
7766	3	2
7766	4	2
7766	5	2
7766	6	2
7766	7	2
7766	8	2
3878	1	2
3878	2	2
7239	1	2
7239	2	2
7239	3	2
7239	4	2
7168	1	2
7168	2	2
7241	1	2
7241	2	2
7767	1	2
7767	2	2
7767	3	2
7235	1	2
7235	2	2
7235	3	2
7235	4	2
7235	5	2
7235	6	2
7235	7	2
7235	8	2
7235	9	2
7235	10	2
7235	11	2
7234	1	2
7234	2	2
7234	3	2
7234	4	2
7234	5	2
7234	6	2
7234	7	2
7237	1	2
7237	2	2
7237	3	2
7237	4	2
4130	1	-1
4130	2	-1
7236	1	2
7236	2	2
7236	3	2
7236	4	2
7236	5	2
7236	6	2
7236	7	2
7236	8	2
7236	9	2
7236	10	2
7236	11	2
7236	12	2
7236	13	2
7236	14	2
7236	15	2
7236	16	2
4022	1	2
4022	2	2
4022	3	2
4022	4	2
7242	1	2
7242	2	2
7242	3	2
9818	1	0
9818	2	0
9818	3	0
11036	1	0
11036	2	0
2982	1	2
2982	2	2
2982	3	2
7245	1	2
7245	2	2
7245	3	2
7245	4	2
7245	5	2
7245	6	2
7245	7	2
7245	8	2
7768	1	2
7768	2	2
3662	1	2
3662	2	2
3662	3	2
3842	1	2
3842	2	2
3842	3	2
3842	4	2
4162	1	2
4162	2	2
4162	3	2
4162	4	2
10423	1	1
10423	2	1
10423	3	1
3401	1	1
3401	2	1
