date_hour	count	rating
11750	1	-1
11750	2	-1
11750	3	-1
11750	4	-1
11750	5	-1
11748	1	-1
11748	2	-1
11748	3	-1
11748	4	-1
11748	5	0
11748	6	0
11749	1	-1
11749	2	-1
11749	3	-1
11511	1	1
11511	2	1
11511	3	1
3866	1	-1
3866	2	-1
10742	1	0
10742	2	0
3855	1	-1
3855	2	-1
9846	1	2
9846	2	2
11452	1	1
11452	2	1
3922	1	-1
3922	2	-1
9714	1	-1
9714	2	-1
9891	1	0
9891	2	0
4266	1	-1
4266	2	-1
4262	1	-1
4262	2	-1
10525	1	1
10525	2	1
10675	1	0
10675	2	0
10675	3	0
10675	4	0
10675	5	0
9984	1	0
9984	2	0
9984	3	0
10638	1	0
10638	2	0
4148	1	-1
4148	2	-1
3973	1	-1
3973	2	-1
11921	1	-1
11921	2	-1
11921	3	0
11921	4	0
11461	1	0
11461	2	0
11461	3	0
11461	4	0
11461	5	0
11461	6	0
11461	7	0
11461	8	0
11461	9	0
4095	1	-1
4095	2	-1
4095	3	-1
4095	4	-1
10142	1	0
10142	2	0
10142	3	0
10142	4	0
10142	5	0
3663	1	-1
3663	2	-1
4167	1	-1
4167	2	-1
