date_hour	count	rating
1065	1	-1
1065	2	-1
8420	1	-1
8420	2	-1
2307	1	-1
2307	2	-1
8698	1	-1
8698	2	-1
8698	3	-1
1834	1	-1
1834	2	-1
4499	1	-1
4499	2	-1
4499	3	-1
8216	1	-1
8216	2	-1
8725	1	-1
8725	2	-1
8724	1	-1
8724	2	-1
4234	1	-1
4234	2	-1
4234	3	-1
8722	1	-1
8722	2	-1
4398	1	-1
4398	2	-1
8209	1	0
8209	2	0
8209	3	2
8209	4	2
8208	1	-1
8208	2	-1
2272	1	-1
2272	2	-1
8243	1	-1
8243	2	-1
8196	1	-1
8196	2	-1
8196	3	-1
8196	4	-1
9778	1	0
9778	2	0
8624	1	-1
8624	2	-1
8624	3	-1
9336	1	-1
9336	2	-1
9336	3	-1
2055	1	-1
2055	2	-1
10831	1	-1
10831	2	-1
9425	1	-1
9425	2	-1
8602	1	-1
8602	2	-1
8870	1	-1
8870	2	-1
9101	1	-1
9101	2	-1
9075	1	-1
9075	2	-1
9075	3	-1
9071	1	-1
9071	2	-1
9071	3	0
9071	4	0
9071	5	1
9071	6	1
3032	1	-1
3032	2	-1
8578	1	-1
8578	2	-1
8708	1	-1
8708	2	-1
8718	1	-1
8718	2	-1
8220	1	-1
8220	2	-1
8220	3	-1
8221	1	-1
8221	2	-1
8221	3	-1
8221	4	-1
8169	1	-1
8169	2	-1
11602	1	1
11602	2	1
11602	3	1
8899	1	0
8899	2	0
8190	1	-1
8190	2	-1
8190	3	-1
8190	4	-1
8258	1	-1
8258	2	-1
8265	1	-1
8265	2	-1
8192	1	-1
8192	2	-1
8192	3	-1
397	1	-1
397	2	-1
397	3	-1
397	4	-1
397	5	-1
8240	1	-1
8240	2	-1
3265	1	-1
3265	2	-1
2044	1	-1
2044	2	-1
7455	1	-1
7455	2	-1
8151	1	-1
8151	2	-1
9392	1	-1
9392	2	-1
10665	1	-1
10665	2	-1
9991	1	-1
9991	2	-1
2400	1	-1
2400	2	-1
8176	1	-1
8176	2	-1
8176	3	-1
8176	4	-1
1409	1	-1
1409	2	-1
8896	1	-1
8896	2	-1
8170	1	-1
8170	2	-1
8170	3	1
8170	4	1
8170	5	1
8171	1	-1
8171	2	-1
8171	3	-1
8171	4	-1
2901	1	-1
2901	2	-1
9028	1	-1
9028	2	-1
9028	3	-1
8213	1	-1
8213	2	-1
8213	3	-1
8268	1	-1
8268	2	-1
10250	1	1
10250	2	1
7511	1	1
7511	2	1
6326	1	-1
6326	2	-1
10069	1	-1
10069	2	-1
178	1	-1
178	2	-1
178	3	-1
178	4	-1
178	5	-1
9364	1	-1
9364	2	-1
8036	1	-1
8036	2	-1
8727	1	-1
8727	2	-1
7669	1	-1
7669	2	-1
9366	1	-1
9366	2	-1
10048	1	-1
10048	2	-1
8141	1	-1
8141	2	-1
8141	3	-1
8141	4	-1
8141	5	-1
8141	6	-1
9051	1	-1
9051	2	-1
9051	3	-1
4615	1	-1
4615	2	-1
4615	3	-1
9997	1	-1
9997	2	-1
8459	1	-1
8459	2	-1
9124	1	-1
9124	2	-1
9124	3	-1
8460	1	-1
8460	2	-1
1615	1	-1
1615	2	-1
2364	1	-1
2364	2	-1
8289	1	-1
8289	2	-1
8285	1	-1
8285	2	-1
8285	3	-1
8285	4	-1
8285	5	-1
8285	6	-1
8285	7	-1
2328	1	-1
2328	2	-1
8849	1	-1
8849	2	-1
1400	1	-1
1400	2	-1
2607	1	-1
2607	2	-1
7735	1	-1
7735	2	-1
2653	1	-1
2653	2	-1
2653	3	-1
8315	1	-1
8315	2	-1
8315	3	-1
8315	4	-1
8315	5	-1
8315	6	-1
8315	7	-1
7318	1	-1
7318	2	-1
7318	3	-1
7318	4	-1
7318	5	-1
7318	6	-1
2655	1	0
2655	2	0
2095	1	-1
2095	2	-1
3113	1	-1
3113	2	-1
4721	1	-1
4721	2	-1
4721	3	-1
4721	4	0
4721	5	0
4721	6	0
8774	1	-1
8774	2	-1
1079	1	-1
1079	2	-1
2729	1	-1
2729	2	-1
9225	1	-1
9225	2	-1
10055	1	-1
10055	2	-1
1575	1	-1
1575	2	-1
9429	1	-1
9429	2	-1
874	1	-1
874	2	-1
8673	1	-1
8673	2	-1
8453	1	-1
8453	2	-1
8453	3	-1
8453	4	-1
8453	5	-1
8453	6	-1
8453	7	-1
8453	8	-1
10512	1	-1
10512	2	-1
10454	1	-1
10454	2	-1
10454	3	-1
8331	1	-1
8331	2	-1
10664	1	-1
10664	2	-1
10664	3	-1
8292	1	-1
8292	2	-1
11111	1	1
11111	2	1
11111	3	1
11111	4	1
11111	5	1
9734	1	-1
9734	2	-1
10269	1	1
10269	2	1
10269	3	1
10269	4	1
10269	5	1
10269	6	1
10269	7	1
2645	1	1
2645	2	1
2645	3	1
2649	1	-1
2649	2	-1
9175	1	-1
9175	2	-1
9196	1	-1
9196	2	-1
4709	1	-1
4709	2	-1
8363	1	-1
8363	2	-1
10159	1	-1
10159	2	-1
3069	1	-1
3069	2	-1
3924	1	-1
3924	2	-1
3924	3	-1
11072	1	-1
11072	2	-1
2202	1	-1
2202	2	-1
6997	1	-1
6997	2	-1
6997	3	-1
9171	1	-1
9171	2	-1
2265	1	-1
2265	2	-1
9009	1	0
9009	2	0
9344	1	-1
9344	2	-1
9003	1	-1
9003	2	-1
9003	3	-1
8481	1	-1
8481	2	-1
8480	1	-1
8480	2	-1
4765	1	-1
4765	2	-1
10078	1	-1
10078	2	-1
10087	1	-1
10087	2	-1
9099	1	-1
9099	2	-1
