date_hour	count	rating
2313	1	1
2313	2	1
9803	1	1
9803	2	1
1440	1	1
1440	2	1
7345	1	1
7345	2	1
7345	3	1
7345	4	1
7345	5	1
2924	1	1
2924	2	1
2924	3	2
2924	4	2
8704	1	1
8704	2	1
8704	3	1
8704	4	1
8704	5	1
8704	6	1
8704	7	1
8704	8	1
8704	9	1
8704	10	1
8704	11	1
8704	12	1
8704	13	1
8704	14	1
8704	15	1
8704	16	1
8704	17	1
8704	18	1
8704	19	1
8704	20	1
8704	21	1
8704	22	1
8704	23	1
8704	24	1
8704	25	1
8704	26	1
8704	27	1
8704	28	1
8704	29	1
8704	30	1
8704	31	1
8704	32	1
8704	33	1
8704	34	1
8704	35	1
8704	36	1
8704	37	1
8704	38	1
8704	39	1
8704	40	1
8704	41	1
8704	42	1
8704	43	1
8704	44	1
8704	45	1
8704	46	1
8704	47	1
8704	48	1
8704	49	1
8704	50	1
8704	51	1
8704	52	1
8704	53	1
8704	54	1
8704	55	1
8704	56	1
8704	57	1
8704	58	1
8704	59	1
8704	60	1
8704	61	1
8704	62	1
8704	63	1
8704	64	1
8704	65	1
7348	1	1
7348	2	1
7348	3	1
8212	1	0
8212	2	0
8212	3	2
8212	4	2
2711	1	0
2711	2	0
2711	3	0
4029	1	0
4029	2	0
4029	3	0
4029	4	0
4029	5	0
4029	6	0
4029	7	0
4029	8	0
4029	9	0
4029	10	0
4029	11	0
4029	12	0
4029	13	1
4029	14	1
4029	15	1
4029	16	1
4029	17	1
4029	18	1
4029	19	1
4029	20	1
4029	21	1
4029	22	1
4029	23	1
4029	24	2
4029	25	2
4029	26	2
4029	27	2
4029	28	2
4029	29	2
4029	30	2
4030	1	0
4030	2	0
4030	3	0
4030	4	0
4030	5	0
4030	6	0
4030	7	0
4030	8	1
4030	9	1
4030	10	1
4030	11	1
4030	12	1
4030	13	1
4030	14	1
4030	15	2
4030	16	2
4030	17	2
4030	18	2
9862	1	1
9862	2	1
9862	3	1
4351	1	2
4351	2	2
4351	3	2
4351	4	2
11343	1	1
11343	2	1
11343	3	1
10202	1	1
10202	2	1
10202	3	1
10202	4	1
10202	5	1
10202	6	1
10202	7	1
10202	8	1
10202	9	1
3451	1	0
3451	2	0
11282	1	1
11282	2	1
11282	3	1
11244	1	1
11244	2	1
668	1	1
668	2	1
668	3	1
668	4	1
668	5	1
9036	1	1
9036	2	1
3816	1	2
3816	2	2
3816	3	2
10751	1	1
10751	2	1
8302	1	1
8302	2	1
11921	1	1
11921	2	1
1531	1	1
1531	2	1
1531	3	2
1531	4	2
11857	1	1
11857	2	1
9098	1	1
9098	2	1
9098	3	1
11861	1	1
11861	2	1
11861	3	1
7691	1	1
7691	2	1
7691	3	1
4097	1	1
4097	2	1
9488	1	1
9488	2	1
10338	1	-1
10338	2	-1
1148	1	0
1148	2	0
1240	1	1
1240	2	1
12017	1	1
12017	2	1
12017	3	1
7038	1	1
7038	2	1
203	1	0
203	2	0
203	3	0
7036	1	-1
7036	2	-1
9551	1	0
9551	2	0
9551	3	0
4864	1	1
4864	2	1
4864	3	1
4864	4	2
4864	5	2
4864	6	2
4864	7	2
4860	1	2
4860	2	2
4860	3	2
4861	1	1
4861	2	1
4861	3	1
4861	4	2
4861	5	2
9381	1	0
9381	2	0
787	1	1
787	2	1
1627	1	1
1627	2	1
8958	1	1
8958	2	1
4680	1	2
4680	2	2
4680	3	2
4680	4	2
2680	1	2
2680	2	2
2680	3	2
9558	1	0
9558	2	0
11855	1	1
11855	2	1
11852	1	1
11852	2	1
4875	1	1
4875	2	1
4875	3	1
4875	4	1
4875	5	1
4875	6	2
4875	7	2
4875	8	2
4875	9	2
4875	10	2
4875	11	2
4875	12	2
4875	13	2
4875	14	2
7666	1	1
7666	2	1
10449	1	-1
10449	2	-1
7979	1	1
7979	2	1
7979	3	1
8278	1	0
8278	2	0
7171	1	1
7171	2	1
7171	3	1
7171	4	1
7171	5	1
7171	6	1
7171	7	1
7171	8	1
7171	9	1
7171	10	1
7171	11	1
7171	12	1
7171	13	1
7171	14	1
7171	15	1
7171	16	1
7171	17	1
7171	18	1
7171	19	1
7171	20	1
7171	21	1
7171	22	1
7171	23	1
7171	24	1
7171	25	1
7171	26	1
7171	27	1
7171	28	1
7171	29	1
7171	30	1
7171	31	1
7171	32	1
7171	33	1
7171	34	1
7171	35	1
7171	36	1
7171	37	1
7171	38	1
7171	39	1
7171	40	1
7171	41	1
7171	42	1
7171	43	1
7171	44	1
7171	45	1
7171	46	1
7171	47	1
7171	48	1
7171	49	1
7171	50	1
7171	51	1
7171	52	1
7171	53	1
7171	54	1
7171	55	1
7171	56	1
7171	57	1
7171	58	1
7171	59	1
7171	60	1
7171	61	1
7171	62	1
7171	63	1
7171	64	1
7171	65	1
7171	66	1
7171	67	1
7171	68	1
7171	69	1
7171	70	1
7171	71	1
7171	72	1
7171	73	1
5581	1	1
5581	2	1
792	1	2
792	2	2
792	3	2
8318	1	1
8318	2	1
8114	1	1
8114	2	1
4058	1	2
4058	2	2
4058	3	2
4058	4	2
5033	1	1
5033	2	1
5033	3	1
5033	4	2
5033	5	2
5033	6	2
5033	7	2
7129	1	1
7129	2	1
7129	3	1
7889	1	1
7889	2	1
7889	3	1
7884	1	1
7884	2	1
7884	3	1
7884	4	1
7884	5	1
7884	6	1
7884	7	1
7884	8	1
7884	9	1
7884	10	1
7884	11	1
7884	12	1
7884	13	1
7884	14	1
7884	15	1
7884	16	1
7884	17	1
7884	18	1
7884	19	1
7884	20	1
7884	21	1
7884	22	1
7884	23	1
7884	24	1
7884	25	1
7884	26	1
7884	27	1
7884	28	1
7884	29	1
7884	30	1
7884	31	1
7884	32	1
7884	33	1
7885	1	1
7885	2	1
7885	3	1
7885	4	1
7885	5	1
7885	6	1
7885	7	1
7885	8	1
7885	9	1
7885	10	1
7885	11	1
7885	12	1
7885	13	1
7885	14	1
7885	15	1
7885	16	1
7885	17	1
7885	18	1
7885	19	1
7885	20	1
7885	21	1
7885	22	1
7885	23	1
7885	24	1
7885	25	1
7885	26	1
7885	27	1
7885	28	1
7885	29	1
7885	30	1
7885	31	1
7885	32	1
7885	33	1
7885	34	1
7885	35	1
7885	36	1
7885	37	1
7069	1	1
7069	2	1
7069	3	1
8448	1	1
8448	2	1
8025	1	1
8025	2	1
8025	3	1
7494	1	1
7494	2	1
8016	1	1
8016	2	1
8016	3	1
7497	1	1
7497	2	1
7497	3	1
7497	4	1
7497	5	1
7000	1	1
7000	2	1
3407	1	1
3407	2	1
3407	3	2
3407	4	2
5992	1	-1
5992	2	-1
11537	1	0
11537	2	0
11537	3	1
11537	4	1
9885	1	1
9885	2	1
11744	1	1
11744	2	1
4782	1	1
4782	2	1
4782	3	1
4782	4	1
4782	5	1
713	1	-1
713	2	-1
713	3	-1
926	1	1
926	2	1
9099	1	1
9099	2	1
4184	1	0
4184	2	0
4184	3	0
4184	4	1
4184	5	1
4184	6	1
4184	7	2
4184	8	2
5514	1	1
5514	2	1
10382	1	1
10382	2	1
4179	1	0
4179	2	0
4179	3	0
4179	4	0
4179	5	0
4179	6	0
4179	7	1
4179	8	1
4179	9	1
4179	10	1
4179	11	1
4179	12	2
4179	13	2
4179	14	2
7868	1	1
7868	2	1
7868	3	1
7868	4	1
7868	5	1
7868	6	1
7868	7	1
7868	8	1
7868	9	1
7868	10	1
7868	11	1
7868	12	1
7868	13	1
7868	14	1
7868	15	1
7868	16	1
7868	17	1
7868	18	1
7868	19	1
7868	20	1
7868	21	1
7868	22	1
7868	23	1
7868	24	1
7868	25	1
7868	26	1
7868	27	1
7868	28	1
7868	29	1
7868	30	1
7868	31	1
7868	32	1
7868	33	1
7868	34	1
7868	35	1
7868	36	1
7868	37	1
7868	38	1
7868	39	1
7868	40	1
7868	41	1
7868	42	1
7868	43	1
7868	44	1
7868	45	1
7868	46	1
7868	47	1
7868	48	1
7868	49	1
7868	50	1
7868	51	1
7868	52	1
7868	53	1
7868	54	1
7868	55	1
7868	56	1
7868	57	1
7868	58	1
7868	59	1
7868	60	1
7868	61	1
7868	62	1
7868	63	1
7868	64	1
7868	65	1
7868	66	1
7868	67	1
7868	68	1
7868	69	1
7868	70	1
7868	71	1
7868	72	1
7868	73	1
7868	74	1
7868	75	1
7868	76	1
7868	77	1
7868	78	1
7868	79	1
9679	1	1
9679	2	1
9679	3	1
8354	1	1
8354	2	1
8357	1	1
8357	2	1
8357	3	1
8357	4	1
8357	5	1
8357	6	1
8357	7	1
8357	8	1
8357	9	1
8357	10	1
8357	11	1
8357	12	1
8357	13	1
8357	14	1
8357	15	1
8357	16	1
4820	1	2
4820	2	2
4820	3	2
4820	4	2
4820	5	2
10534	1	1
10534	2	1
10534	3	1
1125	1	1
1125	2	1
1125	3	2
1125	4	2
8441	1	1
8441	2	1
8441	3	1
8441	4	1
8441	5	1
8441	6	1
8441	7	1
8441	8	1
8441	9	1
8441	10	1
8441	11	1
8441	12	1
8441	13	1
8441	14	1
8441	15	1
8441	16	1
8441	17	1
8441	18	1
8441	19	1
8441	20	1
1127	1	1
1127	2	1
1127	3	1
1127	4	2
1127	5	2
1127	6	2
10991	1	-1
10991	2	-1
11765	1	1
11765	2	1
9477	1	0
9477	2	0
5419	1	1
5419	2	1
11559	1	-1
11559	2	-1
2615	1	1
2615	2	1
9562	1	0
9562	2	0
7596	1	1
7596	2	1
7596	3	1
7596	4	1
7596	5	1
7596	6	1
7596	7	1
7596	8	1
7596	9	1
7596	10	1
7596	11	1
7596	12	1
7596	13	1
7596	14	1
7596	15	1
7596	16	1
7596	17	1
7596	18	1
7596	19	1
7596	20	1
7596	21	1
7596	22	1
7596	23	1
7596	24	1
7596	25	1
7596	26	1
7596	27	1
7596	28	1
7596	29	1
7596	30	1
7596	31	1
7596	32	1
7596	33	1
7596	34	1
7596	35	1
7596	36	1
7596	37	1
7596	38	1
7596	39	1
7596	40	1
7596	41	1
7596	42	1
7596	43	1
7596	44	1
7596	45	1
7596	46	1
7596	47	1
7596	48	1
7596	49	1
7596	50	1
7596	51	1
7596	52	1
7596	53	1
7596	54	1
7596	55	1
7596	56	1
7596	57	1
7596	58	1
7596	59	1
7596	60	1
7596	61	1
7596	62	1
7596	63	1
7596	64	1
7596	65	1
7596	66	1
7596	67	1
7596	68	1
7596	69	1
7596	70	1
7596	71	1
7596	72	1
7596	73	1
7596	74	1
7596	75	1
10146	1	0
10146	2	0
10146	3	0
759	1	1
759	2	1
759	3	2
759	4	2
8413	1	-1
8413	2	-1
4430	1	1
4430	2	1
4430	3	1
4430	4	1
4430	5	1
4430	6	2
4430	7	2
9389	1	1
9389	2	1
9389	3	2
9389	4	2
7374	1	1
7374	2	1
7375	1	1
7375	2	1
9541	1	0
9541	2	0
9541	3	0
7433	1	1
7433	2	1
9547	1	0
9547	2	0
9546	1	0
9546	2	0
10495	1	1
10495	2	1
10495	3	1
7834	1	1
7834	2	1
10490	1	1
10490	2	1
11283	1	1
11283	2	1
4449	1	-1
4449	2	-1
4449	3	-1
4449	4	-1
4449	5	-1
7336	1	1
7336	2	1
10181	1	1
10181	2	1
10181	3	1
10181	4	1
10181	5	1
10181	6	1
10181	7	1
10181	8	1
10181	9	1
5442	1	1
5442	2	1
1982	1	0
1982	2	0
11257	1	1
11257	2	1
2375	1	1
2375	2	1
11880	1	1
11880	2	1
11880	3	1
11880	4	1
3761	1	1
3761	2	1
3278	1	1
3278	2	1
11731	1	1
11731	2	1
9748	1	1
9748	2	1
11729	1	1
11729	2	1
8976	1	1
8976	2	1
8976	3	1
10310	1	1
10310	2	1
12021	1	1
12021	2	1
12020	1	1
12020	2	1
7355	1	1
7355	2	1
7355	3	1
7355	4	1
7355	5	1
8828	1	0
8828	2	0
8225	1	1
8225	2	1
11462	1	1
11462	2	1
11462	3	1
8892	1	1
8892	2	1
8892	3	1
8892	4	1
9857	1	1
9857	2	1
1809	1	-1
1809	2	-1
11831	1	1
11831	2	1
8146	1	1
8146	2	1
8151	1	1
8151	2	1
3358	1	1
3358	2	1
3358	3	1
3358	4	1
3358	5	1
3358	6	1
3358	7	2
3358	8	2
3358	9	2
3358	10	2
3358	11	2
3358	12	2
8073	1	1
8073	2	1
8073	3	2
8073	4	2
9046	1	1
9046	2	1
3953	1	0
3953	2	0
10359	1	1
10359	2	1
10359	3	1
9137	1	-1
9137	2	-1
9137	3	-1
9137	4	-1
9137	5	-1
9137	6	-1
9137	7	-1
9136	1	-1
9136	2	-1
9136	3	-1
1409	1	0
1409	2	0
7575	1	1
7575	2	1
7575	3	1
7575	4	1
7575	5	1
11925	1	1
11925	2	1
7572	1	1
7572	2	1
7572	3	1
9027	1	1
9027	2	1
7181	1	1
7181	2	1
7181	3	1
11904	1	1
11904	2	1
1535	1	1
1535	2	1
1535	3	2
1535	4	2
7742	1	1
7742	2	1
7742	3	1
2526	1	1
2526	2	1
2526	3	2
2526	4	2
9496	1	0
9496	2	0
9496	3	0
9496	4	0
9497	1	0
9497	2	0
11088	1	1
11088	2	1
11088	3	2
11088	4	2
7463	1	1
7463	2	1
7462	1	1
7462	2	1
7462	3	1
7462	4	1
7462	5	1
4818	1	2
4818	2	2
4818	3	2
4817	1	2
4817	2	2
4817	3	2
4817	4	2
4817	5	2
4817	6	2
4817	7	2
4816	1	2
4816	2	2
4816	3	2
4816	4	2
9082	1	1
9082	2	1
9082	3	1
9082	4	1
9082	5	1
9082	6	1
9082	7	1
9082	8	1
9082	9	1
9082	10	1
9082	11	1
9082	12	1
9082	13	1
9082	14	1
9082	15	1
9082	16	1
9082	17	1
9082	18	1
9082	19	1
9082	20	1
9082	21	1
9082	22	1
9082	23	1
9082	24	1
9082	25	1
9082	26	1
9082	27	1
9082	28	1
4871	1	1
4871	2	1
4871	3	1
4871	4	1
4871	5	1
11735	1	1
11735	2	1
11735	3	1
11735	4	1
11735	5	1
11735	6	1
11735	7	1
11735	8	1
11735	9	1
11735	10	1
11735	11	1
11735	12	1
11735	13	1
11735	14	1
11735	15	1
11735	16	1
11735	17	1
11735	18	1
11735	19	1
11735	20	1
11735	21	1
11735	22	1
11735	23	1
11735	24	1
11735	25	1
7962	1	1
7962	2	1
7962	3	1
10228	1	1
10228	2	1
10228	3	1
10228	4	1
10228	5	1
7958	1	1
7958	2	1
7958	3	1
10381	1	1
10381	2	1
4696	1	1
4696	2	1
8044	1	1
8044	2	1
8044	3	1
4773	1	0
4773	2	0
7319	1	1
7319	2	1
7534	1	1
7534	2	1
10496	1	1
10496	2	1
10496	3	1
10496	4	1
10496	5	1
10496	6	1
10496	7	1
883	1	1
883	2	1
9917	1	1
9917	2	1
9917	3	1
9917	4	1
9917	5	1
9917	6	1
9917	7	1
9917	8	1
9917	9	1
9917	10	1
9917	11	1
9917	12	1
9917	13	1
9917	14	1
9917	15	1
9917	16	1
9917	17	1
9917	18	1
5524	1	-1
5524	2	-1
1167	1	1
1167	2	1
4314	1	-1
4314	2	-1
4314	3	-1
11068	1	1
11068	2	1
4175	1	0
4175	2	0
4175	3	0
4175	4	0
4175	5	0
4175	6	0
4175	7	0
4175	8	0
4175	9	0
4175	10	0
4175	11	0
4175	12	1
4175	13	1
4175	14	1
4175	15	1
4175	16	1
4175	17	1
4175	18	1
4175	19	1
4175	20	1
4175	21	1
4175	22	1
4175	23	2
4175	24	2
4175	25	2
4175	26	2
4175	27	2
4175	28	2
4832	1	1
4832	2	1
4832	3	1
4832	4	2
4832	5	2
4832	6	2
7892	1	1
7892	2	1
7892	3	1
4825	1	1
4825	2	1
4825	3	2
4825	4	2
4825	5	2
4825	6	2
4825	7	2
4824	1	1
4824	2	1
4824	3	1
4824	4	2
4824	5	2
4824	6	2
4824	7	2
4824	8	2
1328	1	1
1328	2	1
7290	1	1
7290	2	1
7290	3	1
7290	4	1
7290	5	1
7290	6	1
7290	7	1
7285	1	1
7285	2	1
7289	1	1
7289	2	1
7289	3	1
3974	1	1
3974	2	1
3974	3	1
3974	4	2
3974	5	2
3973	1	0
3973	2	0
3973	3	0
3973	4	0
3973	5	0
3973	6	0
3973	7	0
3973	8	0
3973	9	0
3973	10	0
3973	11	0
3973	12	0
3973	13	0
3973	14	0
3973	15	0
3973	16	0
3973	17	0
3973	18	0
3973	19	0
3973	20	0
3973	21	0
3973	22	0
3973	23	0
3973	24	0
3973	25	0
3973	26	0
3973	27	0
3973	28	0
3973	29	0
3973	30	0
3973	31	0
3973	32	0
3973	33	0
3973	34	0
3973	35	0
3973	36	0
3973	37	0
3973	38	0
3973	39	0
3973	40	1
3973	41	1
3973	42	1
3973	43	1
3973	44	1
3973	45	1
3973	46	1
3973	47	1
3973	48	1
3973	49	1
3973	50	1
3973	51	1
3973	52	1
3973	53	1
3973	54	1
3973	55	1
3973	56	1
3973	57	1
3973	58	1
3973	59	1
3973	60	1
3973	61	1
3973	62	1
3973	63	1
3973	64	1
3973	65	1
3973	66	1
3973	67	1
3973	68	1
3973	69	1
3973	70	1
3973	71	1
3973	72	1
3973	73	1
3973	74	1
3973	75	1
3973	76	1
3973	77	1
3973	78	1
3973	79	2
3973	80	2
3973	81	2
3973	82	2
3973	83	2
3973	84	2
3973	85	2
3973	86	2
3973	87	2
3973	88	2
3973	89	2
3973	90	2
3973	91	2
3973	92	2
