date_hour	count	rating
8617	1	-1
8617	2	-1
8617	3	-1
8617	4	-1
8617	5	-1
8617	6	-1
5743	1	0
5743	2	0
8740	1	-1
8740	2	-1
9669	1	-1
9669	2	-1
9669	3	-1
11510	1	0
11510	2	0
11510	3	0
8736	1	-1
8736	2	-1
11615	1	0
11615	2	0
8730	1	-1
8730	2	-1
8705	1	-1
8705	2	-1
8725	1	-1
8725	2	-1
8728	1	-1
8728	2	-1
8728	3	0
8728	4	0
10963	1	-1
10963	2	-1
10963	3	-1
4145	1	0
4145	2	0
4145	3	0
4145	4	1
4145	5	1
4145	6	1
11875	1	-1
11875	2	-1
11873	1	-1
11873	2	-1
8885	1	-1
8885	2	-1
8885	3	-1
8973	1	-1
8973	2	-1
11869	1	-1
11869	2	-1
10976	1	1
10976	2	1
10976	3	2
10976	4	2
8611	1	-1
8611	2	-1
8611	3	-1
8611	4	-1
8611	5	-1
10970	1	1
10970	2	1
10970	3	1
10970	4	2
10970	5	2
10971	1	1
10971	2	1
10971	3	2
10971	4	2
10968	1	1
10968	2	1
10968	3	1
10968	4	1
10968	5	1
10968	6	2
10968	7	2
10968	8	2
10969	1	1
10969	2	1
10969	3	1
10969	4	1
10969	5	1
10969	6	1
10969	7	1
10969	8	1
10969	9	2
10969	10	2
10974	1	1
10974	2	1
10974	3	2
10974	4	2
10972	1	1
10972	2	1
10972	3	1
10972	4	2
10972	5	2
10972	6	2
8754	1	-1
8754	2	-1
8755	1	-1
8755	2	-1
6197	1	-1
6197	2	-1
6197	3	-1
11222	1	-1
11222	2	-1
10190	1	-1
10190	2	-1
10190	3	-1
11220	1	-1
11220	2	-1
10192	1	-1
10192	2	-1
11218	1	-1
11218	2	-1
10194	1	-1
10194	2	-1
10195	1	-1
10195	2	-1
8751	1	-1
8751	2	-1
8752	1	-1
8752	2	-1
10964	1	-1
10964	2	-1
10964	3	-1
10964	4	-1
10964	5	-1
10964	6	-1
10964	7	1
10964	8	1
10964	9	1
10964	10	1
10964	11	1
10964	12	1
10964	13	1
10964	14	1
10964	15	1
10964	16	1
10964	17	1
10964	18	2
10964	19	2
10964	20	2
10964	21	2
10964	22	2
10964	23	2
11898	1	-1
11898	2	-1
11899	1	-1
11899	2	-1
8715	1	-1
8715	2	-1
8715	3	-1
8715	4	-1
8715	5	-1
11894	1	-1
11894	2	-1
11895	1	-1
11895	2	-1
11896	1	-1
11896	2	-1
11896	3	-1
11896	4	-1
11038	1	0
11038	2	0
8898	1	-1
8898	2	-1
11856	1	-1
11856	2	-1
11922	1	-1
11922	2	-1
11922	3	-1
11922	4	-1
11922	5	-1
11636	1	-1
11636	2	-1
11636	3	0
11636	4	0
3267	1	-1
3267	2	-1
5013	1	0
5013	2	0
5013	3	0
5013	4	1
5013	5	1
5013	6	1
11205	1	-1
11205	2	-1
8858	1	-1
8858	2	-1
8858	3	-1
8858	4	-1
8858	5	-1
8858	6	0
8858	7	0
8858	8	0
9850	1	-1
9850	2	-1
9850	3	-1
488	1	0
488	2	0
8612	1	-1
8612	2	-1
8612	3	-1
8612	4	-1
9630	1	0
9630	2	0
9628	1	2
9628	2	2
10362	1	-1
10362	2	-1
11216	1	-1
11216	2	-1
3987	1	1
3987	2	1
3987	3	1
3987	4	2
3987	5	2
3987	6	2
3987	7	2
11206	1	-1
11206	2	-1
4863	1	2
4863	2	2
4863	3	2
4863	4	2
4863	5	2
912	1	1
912	2	1
912	3	1
8931	1	-1
8931	2	-1
11913	1	0
11913	2	0
8044	1	-1
8044	2	-1
10988	1	0
10988	2	0
9854	1	-1
9854	2	-1
4081	1	-1
4081	2	-1
9853	1	-1
9853	2	-1
4872	1	2
4872	2	2
4872	3	2
4872	4	2
4872	5	2
8796	1	-1
8796	2	-1
11829	1	-1
11829	2	-1
9851	1	-1
9851	2	-1
11062	1	-1
11062	2	-1
11061	1	-1
11061	2	-1
9666	1	-1
9666	2	-1
9666	3	-1
9666	4	-1
9666	5	-1
9667	1	-1
9667	2	-1
2742	1	0
2742	2	0
3908	1	-1
3908	2	-1
3908	3	-1
3908	4	1
3908	5	1
3908	6	1
10995	1	0
10995	2	0
10993	1	0
10993	2	0
10993	3	0
10993	4	0
10993	5	0
1400	1	-1
1400	2	-1
8945	1	-1
8945	2	-1
10385	1	-1
10385	2	-1
5959	1	-1
5959	2	-1
8939	1	-1
8939	2	-1
8691	1	-1
8691	2	-1
8691	3	0
8691	4	0
11633	1	-1
11633	2	-1
8947	1	-1
8947	2	-1
10994	1	0
10994	2	0
10994	3	0
10994	4	0
10055	1	0
10055	2	0
8884	1	-1
8884	2	-1
8884	3	-1
8884	4	-1
8884	5	-1
8884	6	-1
8884	7	-1
8884	8	-1
8884	9	-1
8884	10	1
8884	11	1
9980	1	-1
9980	2	-1
9980	3	-1
9980	4	-1
8452	1	1
8452	2	1
8448	1	-1
8448	2	-1
11058	1	-1
11058	2	-1
11924	1	-1
11924	2	-1
4203	1	0
4203	2	0
4203	3	0
4203	4	1
4203	5	1
4203	6	1
8950	1	-1
8950	2	-1
8950	3	-1
8950	4	0
8950	5	0
8950	6	0
10916	1	0
10916	2	0
10917	1	-1
10917	2	-1
8587	1	-1
8587	2	-1
8587	3	-1
8587	4	-1
8587	5	-1
11589	1	0
11589	2	0
9688	1	-1
9688	2	-1
11967	1	-1
11967	2	-1
4213	1	0
4213	2	0
4213	3	0
4213	4	1
4213	5	1
4213	6	1
11217	1	-1
11217	2	-1
11071	1	-1
11071	2	-1
11071	3	-1
9176	1	-1
9176	2	-1
9176	3	-1
9684	1	-1
9684	2	-1
7000	1	1
7000	2	1
7000	3	2
7000	4	2
9258	1	-1
9258	2	-1
11538	1	-1
11538	2	-1
10380	1	-1
10380	2	-1
10380	3	-1
12041	1	0
12041	2	0
12041	3	2
12041	4	2
1199	1	1
1199	2	1
8475	1	1
8475	2	1
8475	3	1
8475	4	1
8475	5	2
8475	6	2
8475	7	2
8475	8	2
8475	9	2
8475	10	2
8474	1	1
8474	2	1
8474	3	2
8474	4	2
5704	1	0
5704	2	0
12042	1	0
12042	2	0
12042	3	0
12042	4	2
12042	5	2
12042	6	2
12042	7	2
12042	8	2
190	1	-1
190	2	-1
190	3	-1
8757	1	-1
8757	2	-1
10913	1	0
10913	2	0
10913	3	0
10913	4	0
10913	5	0
10913	6	0
10913	7	0
10913	8	0
10913	9	0
10913	10	0
10913	11	0
4649	1	0
4649	2	0
8511	1	-1
8511	2	-1
5285	1	-1
5285	2	-1
10640	1	1
10640	2	1
10640	3	1
2779	1	0
2779	2	0
2779	3	1
2779	4	1
9681	1	-1
9681	2	-1
9681	3	2
9681	4	2
11564	1	-1
11564	2	-1
9981	1	-1
9981	2	-1
9639	1	2
9639	2	2
9639	3	2
8469	1	2
8469	2	2
8469	3	2
4822	1	0
4822	2	0
4822	3	1
4822	4	1
2434	1	1
2434	2	1
2434	3	2
2434	4	2
11563	1	-1
11563	2	-1
11961	1	-1
11961	2	-1
11961	3	-1
11961	4	-1
8666	1	-1
8666	2	-1
8666	3	-1
8666	4	-1
8666	5	-1
8666	6	-1
8666	7	-1
3886	1	0
3886	2	0
11555	1	-1
11555	2	-1
8642	1	-1
8642	2	-1
8642	3	-1
8642	4	-1
8642	5	-1
8642	6	0
8642	7	0
11953	1	-1
11953	2	-1
10701	1	2
10701	2	2
8496	1	1
8496	2	1
8496	3	1
8496	4	2
8496	5	2
8496	6	2
8496	7	2
8496	8	2
8496	9	2
11560	1	-1
11560	2	-1
11560	3	-1
11952	1	-1
11952	2	-1
11568	1	-1
11568	2	-1
11344	1	1
11344	2	1
11344	3	2
11344	4	2
11344	5	2
11570	1	-1
11570	2	-1
9831	1	-1
9831	2	-1
9831	3	-1
8902	1	-1
8902	2	-1
8902	3	-1
8902	4	-1
8902	5	-1
839	1	-1
839	2	-1
839	3	-1
11631	1	-1
11631	2	-1
11631	3	-1
8411	1	-1
8411	2	-1
8630	1	-1
8630	2	-1
8629	1	-1
8629	2	-1
914	1	1
914	2	1
11986	1	2
11986	2	2
8634	1	-1
8634	2	-1
8634	3	-1
8634	4	-1
8634	5	-1
8654	1	-1
8654	2	-1
8654	3	-1
8654	4	-1
11814	1	-1
11814	2	-1
5800	1	0
5800	2	0
8690	1	-1
8690	2	-1
8690	3	-1
8690	4	-1
8690	5	-1
8690	6	-1
8690	7	-1
8690	8	-1
8690	9	0
8690	10	0
8690	11	0
8690	12	0
8690	13	0
11962	1	-1
11962	2	-1
11962	3	-1
11962	4	-1
11962	5	-1
11962	6	-1
11962	7	-1
11962	8	-1
11962	9	-1
3056	1	0
3056	2	0
11675	1	-1
11675	2	-1
11345	1	1
11345	2	1
11345	3	2
11345	4	2
8591	1	-1
8591	2	-1
8735	1	-1
8735	2	-1
8735	3	-1
9837	1	-1
9837	2	-1
12040	1	0
12040	2	0
3206	1	-1
3206	2	-1
11816	1	-1
11816	2	-1
826	1	-1
826	2	-1
826	3	-1
10979	1	1
10979	2	1
10979	3	1
10979	4	2
10979	5	2
10980	1	2
10980	2	2
8592	1	-1
8592	2	-1
8592	3	-1
8592	4	-1
8592	5	-1
8592	6	-1
8592	7	-1
