date_hour	count	rating
10951	1	-1
10951	2	-1
1466	1	1
1466	2	1
1466	3	2
1466	4	2
8007	1	-1
8007	2	-1
8007	3	-1
7159	1	1
7159	2	1
7159	3	1
4502	1	1
4502	2	1
4502	3	1
4502	4	1
4502	5	1
4502	6	2
4502	7	2
4502	8	2
3692	1	1
3692	2	1
3695	1	1
3695	2	1
3695	3	1
10375	1	-1
10375	2	-1
7600	1	0
7600	2	0
7600	3	1
7600	4	1
8202	1	-1
8202	2	-1
8202	3	-1
4528	1	0
4528	2	0
4528	3	0
4528	4	0
4528	5	0
8197	1	1
8197	2	1
8197	3	2
8197	4	2
4188	1	1
4188	2	1
4188	3	1
4188	4	1
4188	5	2
4188	6	2
4188	7	2
4188	8	2
4189	1	1
4189	2	1
7715	1	0
7715	2	0
7715	3	1
7715	4	1
10549	1	1
10549	2	1
7926	1	-1
7926	2	-1
2132	1	1
2132	2	1
2132	3	2
2132	4	2
8669	1	-1
8669	2	-1
8669	3	-1
7878	1	-1
7878	2	-1
11312	1	-1
11312	2	-1
4750	1	-1
4750	2	-1
4750	3	-1
4750	4	0
4750	5	0
4750	6	0
4831	1	1
4831	2	1
4831	3	2
4831	4	2
4831	5	2
10446	1	-1
10446	2	-1
10446	3	-1
7589	1	0
7589	2	0
7589	3	0
7589	4	1
7589	5	1
7589	6	1
7590	1	0
7590	2	0
7590	3	1
7590	4	1
4491	1	1
4491	2	1
4491	3	1
4491	4	2
4491	5	2
4491	6	2
7506	1	1
7506	2	1
9390	1	-1
9390	2	-1
9390	3	-1
8288	1	-1
8288	2	-1
8221	1	1
8221	2	1
8221	3	1
11719	1	-1
11719	2	-1
11719	3	-1
4213	1	1
4213	2	1
4490	1	2
4490	2	2
4490	3	2
4490	4	2
4490	5	2
7191	1	2
7191	2	2
7191	3	2
7191	4	2
7191	5	2
7190	1	2
7190	2	2
7190	3	2
7190	4	2
7190	5	2
7190	6	2
7190	7	2
2109	1	1
2109	2	1
2109	3	2
2109	4	2
8987	1	1
8987	2	1
8987	3	2
8987	4	2
2130	1	1
2130	2	1
2130	3	2
2130	4	2
9582	1	-1
9582	2	-1
9317	1	-1
9317	2	-1
9317	3	-1
