date_hour	count	rating
7402	1	-1
7402	2	-1
7403	1	-1
7403	2	-1
7403	3	-1
7404	1	-1
7404	2	-1
7406	1	-1
7406	2	-1
7408	1	-1
7408	2	-1
7409	1	0
7409	2	0
7684	1	-1
7684	2	-1
7684	3	-1
4505	1	-1
4505	2	-1
4505	3	0
4505	4	0
4504	1	0
4504	2	0
4503	1	1
4503	2	1
7349	1	-1
7349	2	-1
3484	1	0
3484	2	0
7351	1	-1
7351	2	-1
7351	3	-1
3900	1	-1
3900	2	-1
4935	1	-1
4935	2	-1
7638	1	-1
7638	2	-1
7639	1	-1
7639	2	-1
7636	1	-1
7636	2	-1
7636	3	-1
7637	1	-1
7637	2	-1
7637	3	-1
7637	4	-1
7634	1	-1
7634	2	-1
7422	1	0
7422	2	0
7633	1	-1
7633	2	-1
7633	3	-1
7633	4	-1
8749	1	0
8749	2	0
7998	1	-1
7998	2	-1
7999	1	-1
7999	2	-1
3450	1	2
3450	2	2
7994	1	-1
7994	2	-1
7994	3	-1
7994	4	-1
7995	1	-1
7995	2	-1
7995	3	-1
7995	4	-1
7992	1	-1
7992	2	-1
7993	1	-1
7993	2	-1
9039	1	2
9039	2	2
9039	3	2
9039	4	2
9039	5	2
9039	6	2
9039	7	2
9039	8	2
9039	9	2
9039	10	2
9039	11	2
9039	12	2
9039	13	2
9039	14	2
9039	15	2
9039	16	2
9039	17	2
9039	18	2
9039	19	2
9039	20	2
9039	21	2
9039	22	2
9039	23	2
9039	24	2
9039	25	2
9039	26	2
9039	27	2
9039	28	2
9039	29	2
9039	30	2
9039	31	2
9039	32	2
9039	33	2
9039	34	2
9039	35	2
9039	36	2
9039	37	2
9039	38	2
9039	39	2
9039	40	2
9039	41	2
9039	42	2
9039	43	2
9039	44	2
9039	45	2
9039	46	2
9039	47	2
9039	48	2
9039	49	2
9039	50	2
9039	51	2
9039	52	2
9039	53	2
9039	54	2
9039	55	2
9039	56	2
9039	57	2
9039	58	2
9039	59	2
9039	60	2
9039	61	2
9039	62	2
9038	1	1
9038	2	1
9038	3	2
9038	4	2
9038	5	2
9038	6	2
9038	7	2
9038	8	2
9038	9	2
9038	10	2
9038	11	2
9038	12	2
9038	13	2
9038	14	2
9038	15	2
9038	16	2
9038	17	2
9038	18	2
9038	19	2
9038	20	2
9038	21	2
9038	22	2
9038	23	2
9038	24	2
9038	25	2
9038	26	2
9038	27	2
9038	28	2
9038	29	2
9038	30	2
9038	31	2
9038	32	2
9038	33	2
9038	34	2
9038	35	2
9038	36	2
9038	37	2
9038	38	2
9038	39	2
9038	40	2
9038	41	2
9038	42	2
9038	43	2
9038	44	2
9038	45	2
9038	46	2
9038	47	2
9038	48	2
9038	49	2
9038	50	2
9038	51	2
9038	52	2
9038	53	2
9038	54	2
9041	1	2
9041	2	2
9041	3	2
9041	4	2
9041	5	2
9041	6	2
9041	7	2
9041	8	2
9041	9	2
9041	10	2
9041	11	2
9041	12	2
9041	13	2
9040	1	2
9040	2	2
9040	3	2
9040	4	2
9040	5	2
9040	6	2
9040	7	2
9040	8	2
9040	9	2
9040	10	2
9040	11	2
9040	12	2
9040	13	2
