date_hour	count	rating
7581	1	-1
7581	2	-1
7581	3	-1
10501	1	-1
10501	2	-1
3082	1	-1
3082	2	-1
10360	1	1
10360	2	1
10360	3	2
10360	4	2
10196	1	-1
10196	2	-1
10358	1	1
10358	2	1
10358	3	2
10358	4	2
9988	1	-1
9988	2	-1
4840	1	-1
4840	2	-1
5690	1	-1
5690	2	-1
9985	1	-1
9985	2	-1
4788	1	-1
4788	2	-1
4788	3	-1
4788	4	-1
4788	5	-1
4788	6	-1
4788	7	-1
4788	8	-1
4788	9	-1
7630	1	-1
7630	2	-1
4791	1	-1
4791	2	-1
4791	3	-1
4791	4	-1
4791	5	-1
10215	1	-1
10215	2	-1
4478	1	-1
4478	2	-1
4478	3	-1
4478	4	-1
4478	5	-1
4478	6	-1
9163	1	-1
9163	2	-1
4480	1	-1
4480	2	-1
4480	3	-1
4480	4	-1
4480	5	-1
4375	1	-1
4375	2	-1
4375	3	-1
4375	4	-1
4375	5	-1
5078	1	1
5078	2	1
5078	3	1
5078	4	1
5078	5	1
5078	6	1
5078	7	1
9493	1	-1
9493	2	-1
9493	3	-1
10156	1	-1
10156	2	-1
3479	1	-1
3479	2	-1
8247	1	-1
8247	2	-1
5056	1	1
5056	2	1
5056	3	1
5056	4	1
3032	1	-1
3032	2	-1
4817	1	-1
4817	2	-1
4817	3	-1
9997	1	-1
9997	2	-1
9997	3	-1
10050	1	-1
10050	2	-1
5051	1	1
5051	2	1
5051	3	1
5051	4	1
5051	5	1
4232	1	-1
4232	2	-1
4232	3	-1
10476	1	-1
10476	2	-1
10395	1	-1
10395	2	-1
10497	1	-1
10497	2	-1
10030	1	-1
10030	2	-1
10030	3	-1
8846	1	-1
8846	2	-1
10357	1	1
10357	2	1
10357	3	2
10357	4	2
10122	1	-1
10122	2	-1
10122	3	-1
10058	1	-1
10058	2	-1
10387	1	0
10387	2	0
3402	1	-1
3402	2	-1
10026	1	2
10026	2	2
10026	3	2
10026	4	2
10026	5	2
10026	6	2
10026	7	2
10130	1	-1
10130	2	-1
