date_hour	count	rating
8322	1	2
8322	2	2
8322	3	2
8322	4	2
8322	5	2
8322	6	2
8322	7	2
1566	1	2
1566	2	2
1566	3	2
2488	1	0
2488	2	0
4970	1	1
4970	2	1
4970	3	1
4970	4	2
4970	5	2
4970	6	2
4970	7	2
4970	8	2
9674	1	0
9674	2	0
4941	1	1
4941	2	1
4941	3	1
4941	4	2
4941	5	2
4941	6	2
4941	7	2
4941	8	2
9172	1	0
9172	2	0
2293	1	0
2293	2	0
2293	3	0
2293	4	1
2293	5	1
2293	6	1
2790	1	0
2790	2	0
2790	3	2
2790	4	2
8171	1	-1
8171	2	-1
2761	1	0
2761	2	0
2761	3	1
2761	4	1
7289	1	-1
7289	2	-1
1102	1	0
1102	2	0
2895	1	0
2895	2	0
2895	3	2
2895	4	2
