date_hour	count	rating
5456	1	1
5456	2	1
2309	1	1
2309	2	1
10005	1	1
10005	2	1
10005	3	1
10005	4	1
10004	1	1
10004	2	1
3763	1	2
3763	2	2
2086	1	1
2086	2	1
983	1	-1
983	2	-1
7702	1	1
7702	2	1
9785	1	1
9785	2	1
9785	3	1
5082	1	1
5082	2	1
10236	1	1
10236	2	1
6648	1	1
6648	2	1
11347	1	1
11347	2	1
9643	1	1
9643	2	1
6884	1	1
6884	2	1
8219	1	1
8219	2	1
8219	3	1
4532	1	0
4532	2	0
2209	1	0
2209	2	0
2209	3	1
2209	4	1
11103	1	-1
11103	2	-1
11103	3	-1
4891	1	0
4891	2	0
7145	1	1
7145	2	1
7145	3	1
7041	1	-1
7041	2	-1
9655	1	1
9655	2	1
3425	1	-1
3425	2	-1
3425	3	-1
7159	1	1
7159	2	1
620	1	1
620	2	1
7178	1	-1
7178	2	-1
185	1	0
185	2	0
185	3	0
185	4	1
185	5	1
185	6	1
7146	1	1
7146	2	1
8037	1	1
8037	2	1
8037	3	1
8037	4	1
11852	1	-1
11852	2	-1
3593	1	1
3593	2	1
11386	1	0
11386	2	0
11386	3	0
11062	1	1
11062	2	1
11062	3	1
3937	1	0
3937	2	0
573	1	-1
573	2	-1
575	1	-1
575	2	-1
575	3	-1
575	4	-1
575	5	-1
11018	1	-1
11018	2	-1
11018	3	-1
10728	1	0
10728	2	0
11567	1	1
11567	2	1
10065	1	1
10065	2	1
10065	3	1
188	1	0
188	2	0
188	3	0
188	4	1
188	5	1
188	6	1
11399	1	1
11399	2	1
11397	1	1
11397	2	1
11055	1	1
11055	2	1
11055	3	1
4966	1	0
4966	2	0
3189	1	1
3189	2	1
11136	1	1
11136	2	1
7948	1	-1
7948	2	-1
6011	1	1
6011	2	1
8854	1	-1
8854	2	-1
8853	1	-1
8853	2	-1
11924	1	1
11924	2	1
2569	1	-1
2569	2	-1
810	1	-1
810	2	-1
810	3	-1
5568	1	-1
5568	2	-1
8783	1	1
8783	2	1
5654	1	1
5654	2	1
1414	1	1
1414	2	1
8478	1	0
8478	2	0
8478	3	0
5539	1	1
5539	2	1
1598	1	1
1598	2	1
10238	1	1
10238	2	1
4340	1	1
4340	2	1
10670	1	1
10670	2	1
9703	1	1
9703	2	1
219	1	0
219	2	0
5782	1	2
5782	2	2
4787	1	0
4787	2	0
8826	1	1
8826	2	1
9012	1	1
9012	2	1
9012	3	2
9012	4	2
1144	1	-1
1144	2	-1
1775	1	1
1775	2	1
8228	1	1
8228	2	1
10505	1	1
10505	2	1
2517	1	1
2517	2	1
196	1	0
196	2	0
196	3	0
196	4	1
196	5	1
196	6	1
10317	1	1
10317	2	1
4192	1	0
4192	2	0
4192	3	0
4192	4	0
4192	5	0
9212	1	1
9212	2	1
3305	1	1
3305	2	1
11986	1	1
11986	2	1
9814	1	1
9814	2	1
3355	1	2
3355	2	2
10479	1	1
10479	2	1
10479	3	1
4287	1	0
4287	2	0
10653	1	1
10653	2	1
11357	1	-1
11357	2	-1
11357	3	-1
976	1	1
976	2	1
6501	1	1
6501	2	1
6269	1	-1
6269	2	-1
7646	1	1
7646	2	1
