date_hour	count	rating
8617	1	-1
8617	2	-1
8785	1	-1
8785	2	-1
8785	3	-1
1112	1	1
1112	2	1
1112	3	2
1112	4	2
1112	5	2
1082	1	1
1082	2	1
1060	1	1
1060	2	1
1060	3	2
1060	4	2
1060	5	2
4439	1	0
4439	2	0
11506	1	2
11506	2	2
11506	3	2
11506	4	2
11506	5	2
11506	6	2
11506	7	2
11506	8	2
11506	9	2
11506	10	2
11506	11	2
11506	12	2
11506	13	2
11506	14	2
11506	15	2
11506	16	2
11506	17	2
7423	1	-1
7423	2	-1
10217	1	0
10217	2	0
10216	1	0
10216	2	0
10216	3	1
10216	4	1
10216	5	1
1994	1	2
1994	2	2
1994	3	2
11886	1	2
11886	2	2
11889	1	2
11889	2	2
10296	1	1
10296	2	1
7703	1	2
7703	2	2
7703	3	2
4345	1	0
4345	2	0
950	1	1
950	2	1
9421	1	-1
9421	2	-1
9421	3	0
9421	4	0
9639	1	-1
9639	2	-1
9639	3	-1
281	1	2
281	2	2
281	3	2
11229	1	0
11229	2	0
11229	3	0
7051	1	-1
7051	2	-1
11394	1	1
11394	2	1
8300	1	-1
8300	2	-1
11347	1	2
11347	2	2
11347	3	2
1825	1	1
1825	2	1
1825	3	2
1825	4	2
11227	1	2
11227	2	2
11227	3	2
1457	1	2
1457	2	2
1457	3	2
7994	1	2
7994	2	2
4493	1	2
4493	2	2
4493	3	2
2255	1	2
2255	2	2
2255	3	2
3700	1	2
3700	2	2
3700	3	2
3498	1	2
3498	2	2
3498	3	2
3498	4	2
4149	1	0
4149	2	0
4149	3	0
4149	4	1
4149	5	1
4149	6	1
11466	1	2
11466	2	2
4767	1	0
4767	2	0
4767	3	0
4767	4	2
4767	5	2
4767	6	2
4767	7	2
4767	8	2
7699	1	2
7699	2	2
7699	3	2
7699	4	2
7699	5	2
8761	1	1
8761	2	1
3494	1	2
3494	2	2
3494	3	2
2951	1	2
2951	2	2
2951	3	2
3268	1	1
3268	2	1
11474	1	2
11474	2	2
1802	1	1
1802	2	1
1802	3	1
1802	4	2
1802	5	2
248	1	2
248	2	2
248	3	2
248	4	2
248	5	2
248	6	2
248	7	2
3951	1	2
3951	2	2
3951	3	2
3951	4	2
3951	5	2
3951	6	2
7878	1	1
7878	2	1
7878	3	2
7878	4	2
7722	1	1
7722	2	1
7722	3	2
7722	4	2
7723	1	1
7723	2	1
7723	3	1
7723	4	2
7723	5	2
7723	6	2
1484	1	1
1484	2	1
1484	3	2
1484	4	2
1484	5	2
2695	1	1
2695	2	1
2695	3	1
2695	4	2
2695	5	2
2695	6	2
2695	7	2
2695	8	2
7719	1	1
7719	2	1
7719	3	1
7719	4	1
7719	5	1
7719	6	1
7719	7	1
7719	8	1
7719	9	1
7719	10	1
7719	11	1
7719	12	2
7719	13	2
7719	14	2
7719	15	2
7719	16	2
7719	17	2
7721	1	1
7721	2	1
7721	3	2
7721	4	2
3867	1	1
3867	2	1
7717	1	1
7717	2	1
7717	3	1
7717	4	1
7717	5	2
7717	6	2
7717	7	2
7717	8	2
7717	9	2
7717	10	2
7688	1	1
7688	2	1
7688	3	2
7688	4	2
7688	5	2
7688	6	2
7688	7	2
7688	8	2
7688	9	2
11910	1	2
11910	2	2
11910	3	2
3524	1	0
3524	2	0
8958	1	-1
8958	2	-1
10254	1	-1
10254	2	-1
3481	1	0
3481	2	0
7684	1	2
7684	2	2
7684	3	2
7684	4	2
9231	1	-1
9231	2	-1
6042	1	2
6042	2	2
9845	1	1
9845	2	1
9845	3	2
9845	4	2
7654	1	-1
7654	2	-1
4814	1	1
4814	2	1
4814	3	1
4814	4	2
4814	5	2
4814	6	2
4814	7	2
7463	1	-1
7463	2	-1
7463	3	-1
7463	4	0
7463	5	0
7463	6	0
4873	1	2
4873	2	2
4873	3	2
4873	4	2
4873	5	2
4873	6	2
4873	7	2
7672	1	1
7672	2	1
7670	1	2
7670	2	2
7670	3	2
3478	1	0
3478	2	0
4297	1	0
4297	2	0
4818	1	1
4818	2	1
4818	3	1
4818	4	1
4818	5	1
9660	1	-1
9660	2	-1
9660	3	-1
2815	1	1
2815	2	1
2815	3	1
2815	4	1
2815	5	2
2815	6	2
2815	7	2
2815	8	2
4735	1	2
4735	2	2
4735	3	2
4735	4	2
4734	1	2
4734	2	2
4734	3	2
4734	4	2
11230	1	0
11230	2	0
2475	1	2
2475	2	2
2475	3	2
6156	1	2
6156	2	2
572	1	1
572	2	1
572	3	1
8850	1	-1
8850	2	-1
11388	1	2
11388	2	2
11388	3	2
3908	1	0
3908	2	0
3908	3	0
3908	4	1
3908	5	1
3908	6	1
4731	1	1
4731	2	1
4731	3	1
4731	4	1
4731	5	2
4731	6	2
4731	7	2
4731	8	2
4731	9	2
4324	1	0
4324	2	0
4324	3	0
4324	4	1
4324	5	1
4324	6	1
4796	1	1
4796	2	1
4796	3	2
4796	4	2
4796	5	2
2335	1	2
2335	2	2
2335	3	2
1541	1	2
1541	2	2
1541	3	2
1541	4	2
1541	5	2
2535	1	1
2535	2	1
2535	3	2
2535	4	2
2535	5	2
2535	6	2
2535	7	2
2535	8	2
2535	9	2
2535	10	2
2535	11	2
3813	1	2
3813	2	2
3813	3	2
8034	1	-1
8034	2	-1
8034	3	0
8034	4	0
2155	1	2
2155	2	2
2155	3	2
11909	1	2
11909	2	2
4024	1	1
4024	2	1
7317	1	-1
7317	2	-1
4037	1	0
4037	2	0
4037	3	0
4037	4	1
4037	5	1
4037	6	1
3939	1	1
3939	2	1
3939	3	1
3939	4	2
3939	5	2
3939	6	2
3939	7	2
3939	8	2
3939	9	2
3939	10	2
7676	1	2
7676	2	2
765	1	1
765	2	1
1822	1	1
1822	2	1
1822	3	2
1822	4	2
4006	1	0
4006	2	0
4006	3	0
4006	4	0
4006	5	0
4006	6	0
4006	7	0
4006	8	0
4006	9	0
4006	10	0
4006	11	0
4006	12	0
4006	13	0
4006	14	0
4006	15	0
4006	16	0
4006	17	0
4006	18	0
4006	19	0
4006	20	0
4006	21	0
4006	22	0
4006	23	0
4006	24	0
4006	25	0
4006	26	0
4006	27	0
4006	28	0
4006	29	0
4006	30	0
4006	31	0
4006	32	0
4006	33	0
4006	34	0
4006	35	0
4006	36	0
4006	37	0
4006	38	0
4006	39	0
4006	40	0
4006	41	0
4006	42	0
4006	43	0
4006	44	0
4006	45	0
4006	46	0
4006	47	0
4006	48	0
4006	49	0
4006	50	0
4006	51	0
4006	52	0
4006	53	0
4006	54	0
4006	55	0
4006	56	0
4006	57	0
4006	58	0
4006	59	0
4006	60	0
4006	61	0
4006	62	0
4006	63	0
4006	64	0
4006	65	0
4006	66	0
4006	67	0
4006	68	0
4006	69	0
4006	70	0
4006	71	0
4006	72	0
4006	73	0
4006	74	0
4006	75	0
4006	76	0
4006	77	0
4006	78	0
4006	79	0
4006	80	0
4006	81	0
4006	82	0
4006	83	0
4006	84	0
4006	85	0
4006	86	0
4006	87	0
4006	88	0
4006	89	0
4006	90	0
4006	91	0
4006	92	0
4006	93	0
4006	94	0
4006	95	0
4006	96	0
4006	97	0
4006	98	0
4006	99	0
4006	100	0
4006	101	0
4006	102	0
4006	103	0
4006	104	0
4006	105	0
4006	106	0
4006	107	0
4006	108	1
4006	109	1
4006	110	1
4006	111	1
4006	112	1
4006	113	1
4006	114	1
4006	115	1
4006	116	1
4006	117	1
4006	118	1
4006	119	1
4006	120	1
4006	121	1
4006	122	1
4006	123	1
4006	124	1
4006	125	1
4006	126	1
4006	127	1
4006	128	1
4006	129	1
4006	130	1
4006	131	1
4006	132	1
4006	133	1
4006	134	1
4006	135	1
4006	136	1
4006	137	1
4006	138	1
4006	139	1
4006	140	1
4006	141	1
4006	142	1
4006	143	1
4006	144	1
4006	145	1
4006	146	1
4006	147	1
4006	148	1
4006	149	1
4006	150	1
4006	151	1
4006	152	1
4006	153	1
4006	154	1
4006	155	1
4006	156	1
4006	157	1
4006	158	1
4006	159	1
4006	160	1
4006	161	1
4006	162	1
4006	163	1
4006	164	1
4006	165	1
4006	166	1
4006	167	1
4006	168	1
4006	169	1
4006	170	1
4006	171	1
4006	172	1
4006	173	1
4006	174	1
4006	175	1
4006	176	1
4006	177	1
4006	178	1
4006	179	1
4006	180	1
4006	181	1
4006	182	1
4006	183	1
4006	184	1
4006	185	1
4006	186	1
4006	187	2
4006	188	2
4006	189	2
2835	1	1
2835	2	1
2835	3	2
2835	4	2
2835	5	2
2835	6	2
2835	7	2
2835	8	2
2835	9	2
2835	10	2
2835	11	2
2835	12	2
4743	1	0
4743	2	0
4743	3	0
4743	4	2
4743	5	2
4743	6	2
7991	1	2
7991	2	2
7991	3	2
7991	4	2
4741	1	2
4741	2	2
4741	3	2
4741	4	2
4741	5	2
4741	6	2
8449	1	-1
8449	2	-1
4269	1	0
4269	2	0
4269	3	0
4269	4	0
4269	5	1
4269	6	1
4269	7	1
437	1	2
437	2	2
437	3	2
437	4	2
437	5	2
2880	1	2
2880	2	2
2880	3	2
424	1	2
424	2	2
424	3	2
424	4	2
424	5	2
424	6	2
424	7	2
2564	1	1
2564	2	1
4202	1	0
4202	2	0
4202	3	0
4202	4	0
4202	5	0
4202	6	0
4202	7	0
4202	8	0
4202	9	0
4202	10	0
4202	11	0
4202	12	0
4202	13	0
4202	14	0
4202	15	0
4202	16	0
4202	17	0
4202	18	0
4202	19	0
4202	20	1
4202	21	1
4202	22	1
4202	23	1
4202	24	1
4202	25	1
4202	26	1
4202	27	1
4202	28	1
4202	29	1
4202	30	1
4202	31	1
4202	32	1
4202	33	1
4202	34	1
4202	35	1
4202	36	1
4202	37	2
4202	38	2
4202	39	2
4202	40	2
8308	1	1
8308	2	1
4632	1	2
4632	2	2
4632	3	2
4632	4	2
4632	5	2
4632	6	2
3963	1	0
3963	2	0
3963	3	1
3963	4	1
4101	1	0
4101	2	0
4101	3	0
4101	4	0
4101	5	0
4101	6	0
4101	7	0
4101	8	0
4101	9	0
4101	10	0
4101	11	0
4101	12	0
4101	13	0
4101	14	0
4101	15	0
4101	16	0
4101	17	0
4101	18	0
4101	19	0
4101	20	0
4101	21	0
4101	22	0
4101	23	0
4101	24	0
4101	25	0
4101	26	0
4101	27	0
4101	28	0
4101	29	0
4101	30	0
4101	31	0
4101	32	1
4101	33	1
4101	34	1
4101	35	1
4101	36	1
4101	37	1
4101	38	1
4101	39	1
4101	40	1
4101	41	1
4101	42	1
4101	43	1
4101	44	1
4101	45	1
4101	46	1
4101	47	1
4101	48	1
4101	49	1
4101	50	1
4101	51	1
4101	52	1
4101	53	1
4101	54	1
9192	1	-1
9192	2	-1
8158	1	1
8158	2	1
1878	1	1
1878	2	1
1878	3	2
1878	4	2
1878	5	2
1878	6	2
11934	1	2
11934	2	2
1488	1	1
1488	2	1
1488	3	2
1488	4	2
1488	5	2
1490	1	2
1490	2	2
1490	3	2
8334	1	1
8334	2	1
8334	3	2
8334	4	2
11739	1	2
11739	2	2
11739	3	2
11739	4	2
4276	1	0
4276	2	0
4276	3	0
4276	4	0
4276	5	0
4276	6	0
4276	7	0
4276	8	0
4276	9	0
4276	10	0
4276	11	0
4276	12	0
4276	13	0
4276	14	1
4276	15	1
4276	16	1
4276	17	1
4276	18	1
4276	19	1
4276	20	1
4276	21	1
4276	22	1
4276	23	1
4276	24	1
4276	25	1
4276	26	1
4276	27	2
4276	28	2
11534	1	-1
11534	2	-1
1373	1	1
1373	2	1
1373	3	2
1373	4	2
1373	5	2
1373	6	2
1373	7	2
4826	1	-1
4826	2	-1
4826	3	-1
4826	4	0
4826	5	0
4826	6	0
1628	1	1
1628	2	1
1369	1	1
1369	2	1
1989	1	2
1989	2	2
1989	3	2
4768	1	2
4768	2	2
4768	3	2
4768	4	2
4768	5	2
4768	6	2
2463	1	2
2463	2	2
2463	3	2
4766	1	2
4766	2	2
4766	3	2
4766	4	2
3858	1	1
3858	2	1
4181	1	0
4181	2	0
4181	3	1
4181	4	1
4464	1	0
4464	2	0
4471	1	0
4471	2	0
4471	3	0
4471	4	0
4471	5	0
4471	6	0
4471	7	0
4471	8	0
4471	9	0
4471	10	1
4471	11	1
4471	12	1
4471	13	1
4471	14	1
4471	15	1
4471	16	1
4471	17	1
4471	18	1
11064	1	1
11064	2	1
11064	3	2
11064	4	2
11064	5	2
3136	1	2
3136	2	2
11946	1	0
11946	2	0
4790	1	2
4790	2	2
4790	3	2
4790	4	2
4790	5	2
4790	6	2
570	1	1
570	2	1
4822	1	2
4822	2	2
4822	3	2
10197	1	1
10197	2	1
11795	1	2
11795	2	2
11795	3	2
11795	4	2
11795	5	2
11795	6	2
11795	7	2
11796	1	2
