date_hour	count	rating
2855	1	1
2855	2	1
2855	3	1
10360	1	1
10360	2	1
10360	3	1
10360	4	1
10360	5	1
12010	1	0
12010	2	0
3646	1	0
3646	2	0
2882	1	1
2882	2	1
2880	1	1
2880	2	1
11498	1	1
11498	2	1
11498	3	1
4239	1	-1
4239	2	-1
2872	1	1
2872	2	1
2713	1	2
2713	2	2
2713	3	2
4431	1	1
4431	2	1
2845	1	1
2845	2	1
2845	3	1
2843	1	1
2843	2	1
2919	1	1
2919	2	1
4492	1	0
4492	2	0
4492	3	2
4492	4	2
2860	1	1
2860	2	1
8236	1	1
8236	2	1
8236	3	1
8236	4	1
5101	1	1
5101	2	1
5101	3	2
5101	4	2
2651	1	2
2651	2	2
2651	3	2
2651	4	2
2651	5	2
2651	6	2
2651	7	2
2651	8	2
2651	9	2
2650	1	2
2650	2	2
2650	3	2
2650	4	2
2650	5	2
2650	6	2
2650	7	2
2650	8	2
2650	9	2
2650	10	2
2650	11	2
2650	12	2
2650	13	2
2650	14	2
2650	15	2
2650	16	2
2650	17	2
2650	18	2
2650	19	2
2650	20	2
2650	21	2
2650	22	2
2650	23	2
2650	24	2
2650	25	2
2650	26	2
2650	27	2
2650	28	2
2650	29	2
2650	30	2
2650	31	2
2650	32	2
2650	33	2
2650	34	2
2650	35	2
2650	36	2
2650	37	2
2650	38	2
2650	39	2
2656	1	2
2656	2	2
2656	3	2
2655	1	2
2655	2	2
2655	3	2
2785	1	2
2785	2	2
2785	3	2
7137	1	1
7137	2	1
7137	3	2
7137	4	2
4720	1	2
4720	2	2
4720	3	2
8827	1	1
8827	2	1
8820	1	1
8820	2	1
