date_hour	count	rating
3064	1	1
3064	2	1
3064	3	1
3064	4	1
11231	1	1
11231	2	1
11231	3	1
11231	4	1
11231	5	1
11231	6	1
11231	7	1
11231	8	1
11231	9	1
11231	10	1
1983	1	-1
1983	2	-1
11511	1	-1
11511	2	-1
10413	1	-1
10413	2	-1
10413	3	-1
10413	4	-1
10413	5	-1
10413	6	-1
10413	7	-1
10413	8	-1
10413	9	-1
10413	10	-1
10413	11	-1
10413	12	-1
10413	13	-1
7405	1	-1
7405	2	-1
7405	3	-1
7405	4	-1
7405	5	-1
7405	6	-1
7405	7	-1
4905	1	1
4905	2	1
1754	1	-1
1754	2	-1
8011	1	-1
8011	2	-1
8011	3	-1
8011	4	-1
8011	5	-1
8011	6	-1
8011	7	-1
9364	1	-1
9364	2	-1
4507	1	-1
4507	2	-1
4507	3	-1
4507	4	-1
4507	5	-1
10815	1	-1
10815	2	-1
10815	3	-1
8889	1	-1
8889	2	-1
11728	1	-1
11728	2	-1
8887	1	-1
8887	2	-1
8195	1	-1
8195	2	-1
8195	3	-1
11888	1	-1
11888	2	-1
4700	1	1
4700	2	1
4700	3	1
4700	4	1
4700	5	1
1015	1	-1
1015	2	-1
11025	1	-1
11025	2	-1
9572	1	-1
9572	2	-1
10852	1	1
10852	2	1
11515	1	1
11515	2	1
281	1	-1
281	2	-1
281	3	-1
281	4	-1
281	5	-1
3053	1	1
3053	2	1
3053	3	1
3053	4	1
10353	1	-1
10353	2	-1
11518	1	1
11518	2	1
327	1	1
327	2	1
6372	1	-1
6372	2	-1
8749	1	-1
8749	2	-1
3999	1	1
3999	2	1
3999	3	1
3999	4	1
3999	5	1
4001	1	-1
4001	2	-1
4001	3	-1
4001	4	-1
4001	5	-1
4000	1	1
4000	2	1
8718	1	-1
8718	2	-1
8718	3	-1
8718	4	-1
8718	5	-1
8718	6	-1
8718	7	-1
6185	1	-1
6185	2	-1
6183	1	-1
6183	2	-1
6183	3	-1
3445	1	1
3445	2	1
11698	1	-1
11698	2	-1
10414	1	-1
10414	2	-1
10414	3	-1
10414	4	-1
10414	5	-1
10414	6	-1
10414	7	-1
11250	1	-1
11250	2	-1
9034	1	-1
9034	2	-1
10612	1	-1
10612	2	-1
4922	1	1
4922	2	1
4922	3	1
4922	4	1
4922	5	1
4922	6	1
4922	7	1
4922	8	1
11195	1	-1
11195	2	-1
2750	1	1
2750	2	1
7690	1	-1
7690	2	-1
7690	3	-1
7664	1	-1
7664	2	-1
8863	1	-1
8863	2	-1
2978	1	-1
2978	2	-1
11196	1	-1
11196	2	-1
8153	1	-1
8153	2	-1
8153	3	-1
3401	1	-1
3401	2	-1
1732	1	-1
1732	2	-1
9655	1	-1
9655	2	-1
9655	3	-1
9655	4	-1
9655	5	-1
9655	6	-1
9655	7	-1
1195	1	0
1195	2	0
1714	1	0
1714	2	0
7975	1	-1
7975	2	-1
7975	3	-1
7975	4	-1
7975	5	-1
7977	1	-1
7977	2	-1
11905	1	-1
11905	2	-1
7253	1	-1
7253	2	-1
11908	1	-1
11908	2	-1
8861	1	-1
8861	2	-1
10256	1	-1
10256	2	-1
10256	3	-1
10256	4	-1
10256	5	-1
10256	6	-1
10256	7	-1
3480	1	1
3480	2	1
2227	1	-1
2227	2	-1
4733	1	1
4733	2	1
4733	3	1
4733	4	1
4733	5	1
4733	6	2
4733	7	2
11393	1	-1
11393	2	-1
11393	3	-1
11393	4	-1
11393	5	-1
7667	1	-1
7667	2	-1
6073	1	-1
6073	2	-1
4819	1	-1
4819	2	-1
11144	1	-1
11144	2	-1
10646	1	1
10646	2	1
2477	1	0
2477	2	0
2477	3	0
2812	1	-1
2812	2	-1
2478	1	0
2478	2	0
2811	1	-1
2811	2	-1
8458	1	-1
8458	2	-1
1476	1	-1
1476	2	-1
7166	1	-1
7166	2	-1
11024	1	-1
11024	2	-1
2237	1	-1
2237	2	-1
11151	1	-1
11151	2	-1
2078	1	1
2078	2	1
4216	1	-1
4216	2	-1
8279	1	-1
8279	2	-1
4624	1	0
4624	2	0
2150	1	0
2150	2	0
2532	1	0
2532	2	0
9511	1	-1
9511	2	-1
9512	1	-1
9512	2	-1
9512	3	-1
2652	1	0
2652	2	0
10567	1	-1
10567	2	-1
10567	3	-1
10567	4	-1
10567	5	-1
10567	6	-1
10567	7	-1
7910	1	-1
7910	2	-1
7910	3	-1
8114	1	-1
8114	2	-1
8114	3	-1
8114	4	-1
8114	5	-1
8114	6	-1
8114	7	-1
1131	1	-1
1131	2	-1
7676	1	-1
7676	2	-1
7131	1	-1
7131	2	-1
11378	1	-1
11378	2	-1
9224	1	-1
9224	2	-1
8783	1	-1
8783	2	-1
8783	3	-1
8783	4	-1
8783	5	-1
8783	6	-1
8783	7	-1
10521	1	-1
10521	2	-1
2192	1	-1
2192	2	-1
8460	1	-1
8460	2	-1
4807	1	1
4807	2	1
4807	3	1
4807	4	1
4807	5	1
4742	1	1
4742	2	1
4742	3	1
4742	4	1
4742	5	2
4742	6	2
4742	7	2
4742	8	2
10518	1	-1
10518	2	-1
11713	1	-1
11713	2	-1
1585	1	-1
1585	2	-1
10747	1	1
10747	2	1
7173	1	-1
7173	2	-1
7173	3	-1
7173	4	-1
7173	5	-1
7173	6	-1
7173	7	-1
1592	1	-1
1592	2	-1
1366	1	-1
1366	2	-1
7247	1	0
7247	2	0
7490	1	2
7490	2	2
7490	3	2
10711	1	-1
10711	2	-1
10642	1	-1
10642	2	-1
11423	1	-1
11423	2	-1
10692	1	-1
10692	2	-1
10692	3	-1
10712	1	-1
10712	2	-1
1169	1	-1
1169	2	-1
1169	3	-1
4894	1	1
4894	2	1
4895	1	1
4895	2	1
4895	3	1
4895	4	1
4895	5	1
4895	6	1
4895	7	1
4895	8	1
7819	1	-1
7819	2	-1
7108	1	1
7108	2	1
7108	3	1
7108	4	1
8363	1	-1
8363	2	-1
8363	3	-1
8363	4	-1
8363	5	-1
8363	6	-1
8363	7	-1
8782	1	-1
8782	2	-1
2504	1	1
2504	2	1
8364	1	-1
8364	2	-1
8364	3	-1
8364	4	-1
8364	5	-1
1171	1	-1
1171	2	-1
3404	1	-1
3404	2	-1
11539	1	-1
11539	2	-1
11539	3	-1
