date_hour	count	rating
1087	1	1
1087	2	1
1082	1	1
1082	2	1
1082	3	2
1082	4	2
1083	1	1
1083	2	1
11542	1	2
11542	2	2
11542	3	2
11543	1	2
11543	2	2
11543	3	2
719	1	1
719	2	1
8684	1	1
8684	2	1
8684	3	1
8684	4	2
8684	5	2
11824	1	2
11824	2	2
11824	3	2
1089	1	1
1089	2	1
11732	1	2
11732	2	2
11732	3	2
11732	4	2
10724	1	2
10724	2	2
11318	1	2
11318	2	2
11234	1	1
11234	2	1
11234	3	2
11234	4	2
3454	1	-1
3454	2	-1
3454	3	0
3454	4	0
11238	1	1
11238	2	1
11238	3	2
11238	4	2
11165	1	2
11165	2	2
11165	3	2
11165	4	2
11165	5	2
4896	1	1
4896	2	1
4896	3	1
4896	4	1
4896	5	1
4896	6	2
4896	7	2
7796	1	-1
7796	2	-1
3700	1	2
3700	2	2
3700	3	2
11448	1	2
11448	2	2
9724	1	2
9724	2	2
9724	3	2
9724	4	2
9724	5	2
7641	1	1
7641	2	1
9573	1	1
9573	2	1
9573	3	1
9573	4	2
9573	5	2
9573	6	2
9573	7	2
11729	1	1
11729	2	1
11729	3	1
11729	4	1
11729	5	2
11729	6	2
11729	7	2
11729	8	2
11729	9	2
11729	10	2
11729	11	2
11729	12	2
11729	13	2
11729	14	2
4674	1	1
4674	2	1
4674	3	1
4674	4	2
4674	5	2
4674	6	2
9744	1	2
9744	2	2
9744	3	2
11836	1	2
11836	2	2
11836	3	2
11836	4	2
11836	5	2
9709	1	2
9709	2	2
9709	3	2
9709	4	2
9709	5	2
9940	1	2
9940	2	2
9940	3	2
11223	1	2
11223	2	2
10853	1	2
10853	2	2
10195	1	2
10195	2	2
10195	3	2
10206	1	2
10206	2	2
10206	3	2
10206	4	2
9707	1	2
9707	2	2
9707	3	2
9707	4	2
8750	1	2
8750	2	2
8750	3	2
9974	1	2
9974	2	2
11287	1	2
11287	2	2
11286	1	2
11286	2	2
9373	1	2
9373	2	2
1798	1	1
1798	2	1
1798	3	2
1798	4	2
4856	1	1
4856	2	1
4856	3	1
4856	4	2
4856	5	2
4856	6	2
11865	1	2
11865	2	2
11865	3	2
11536	1	2
11536	2	2
4461	1	0
4461	2	0
4461	3	1
4461	4	1
11525	1	2
11525	2	2
11525	3	2
9975	1	2
9975	2	2
9975	3	2
4360	1	1
4360	2	1
4360	3	1
4360	4	1
4360	5	1
8863	1	2
8863	2	2
8863	3	2
11785	1	2
11785	2	2
7458	1	-1
7458	2	-1
551	1	-1
551	2	-1
7657	1	2
7657	2	2
11734	1	2
11734	2	2
11734	3	2
11733	1	2
11733	2	2
11733	3	2
11733	4	2
11733	5	2
11733	6	2
11733	7	2
11733	8	2
11733	9	2
11171	1	2
11171	2	2
11171	3	2
3660	1	1
3660	2	1
11175	1	2
11175	2	2
11175	3	2
3468	1	2
3468	2	2
7627	1	1
7627	2	1
9131	1	2
9131	2	2
2326	1	1
2326	2	1
11758	1	2
11758	2	2
11758	3	2
11758	4	2
11758	5	2
11758	6	2
11291	1	2
11291	2	2
1486	1	1
1486	2	1
1484	1	1
1484	2	1
1485	1	1
1485	2	1
11534	1	2
11534	2	2
10251	1	2
10251	2	2
10251	3	2
10678	1	2
10678	2	2
3483	1	-1
3483	2	-1
3483	3	2
3483	4	2
10892	1	2
10892	2	2
10892	3	2
1242	1	1
1242	2	1
3484	1	2
3484	2	2
3484	3	2
1143	1	-1
1143	2	-1
1143	3	1
1143	4	1
11183	1	2
11183	2	2
11183	3	2
1140	1	1
1140	2	1
1140	3	1
11088	1	-1
11088	2	-1
3590	1	2
3590	2	2
3590	3	2
3593	1	1
3593	2	1
8053	1	1
8053	2	1
8053	3	2
8053	4	2
9908	1	2
9908	2	2
9908	3	2
9908	4	2
9908	5	2
9908	6	2
9908	7	2
9908	8	2
9908	9	2
9908	10	2
9908	11	2
9909	1	2
9909	2	2
9909	3	2
9188	1	-1
9188	2	-1
9189	1	-1
9189	2	-1
4296	1	-1
4296	2	-1
9054	1	2
9054	2	2
9054	3	2
9053	1	2
9053	2	2
9053	3	2
9053	4	2
9053	5	2
10863	1	1
10863	2	1
10863	3	2
10863	4	2
11826	1	2
11826	2	2
11826	3	2
11302	1	2
11302	2	2
10860	1	2
10860	2	2
11807	1	2
11807	2	2
11807	3	2
11807	4	2
11807	5	2
11807	6	2
11807	7	2
11807	8	2
11807	9	2
11807	10	2
10011	1	2
10011	2	2
10011	3	2
4215	1	1
4215	2	1
2447	1	1
2447	2	1
2447	3	2
2447	4	2
1482	1	1
1482	2	1
4322	1	0
4322	2	0
4322	3	0
4322	4	1
4322	5	1
4322	6	1
4322	7	2
4322	8	2
9740	1	2
9740	2	2
9740	3	2
9725	1	1
9725	2	1
9725	3	1
9725	4	2
9725	5	2
9725	6	2
9725	7	2
9725	8	2
4697	1	2
4697	2	2
4697	3	2
10101	1	2
10101	2	2
10101	3	2
9509	1	2
9509	2	2
9509	3	2
8517	1	2
8517	2	2
4627	1	2
4627	2	2
4627	3	2
2094	1	2
2094	2	2
11077	1	2
11077	2	2
11077	3	2
11077	4	2
11077	5	2
3334	1	1
3334	2	1
3334	3	1
3334	4	2
3334	5	2
3334	6	2
2512	1	1
2512	2	1
2515	1	1
2515	2	1
9693	1	2
9693	2	2
9693	3	2
1079	1	1
1079	2	1
1079	3	1
1078	1	1
1078	2	1
1077	1	1
1077	2	1
10822	1	1
10822	2	1
10822	3	2
10822	4	2
10822	5	2
10822	6	2
10822	7	2
4006	1	1
4006	2	1
3190	1	-1
3190	2	-1
3190	3	-1
11338	1	2
11338	2	2
11338	3	2
11338	4	2
11338	5	2
10855	1	2
10855	2	2
10852	1	2
10852	2	2
9020	1	2
9020	2	2
9020	3	2
1464	1	1
1464	2	1
9905	1	2
9905	2	2
9905	3	2
9905	4	2
11058	1	2
11058	2	2
2634	1	-1
2634	2	-1
10372	1	2
10372	2	2
8293	1	2
8293	2	2
8293	3	2
9735	1	2
9735	2	2
9735	3	2
9735	4	2
9734	1	2
9734	2	2
9734	3	2
8052	1	1
8052	2	1
8052	3	1
8052	4	1
8052	5	2
8052	6	2
8052	7	2
8052	8	2
7247	1	2
7247	2	2
7247	3	2
11382	1	2
11382	2	2
11382	3	2
11382	4	2
10704	1	-1
10704	2	-1
9759	1	2
9759	2	2
9759	3	2
4639	1	2
4639	2	2
4639	3	2
4639	4	2
4639	5	2
4639	6	2
2593	1	1
2593	2	1
11387	1	2
11387	2	2
9689	1	2
9689	2	2
2496	1	1
2496	2	1
2496	3	2
2496	4	2
9682	1	2
9682	2	2
4172	1	1
4172	2	1
4172	3	1
4172	4	1
4172	5	1
9690	1	2
9690	2	2
9690	3	2
3328	1	0
3328	2	0
11539	1	1
11539	2	1
11539	3	2
11539	4	2
11539	5	2
11539	6	2
2831	1	1
2831	2	1
2831	3	2
2831	4	2
