date_hour	count	rating
7486	1	1
7486	2	1
3762	1	1
3762	2	1
1276	1	1
1276	2	1
4146	1	1
4146	2	1
11450	1	2
11450	2	2
3721	1	1
3721	2	1
9686	1	1
9686	2	1
7634	1	1
7634	2	1
3788	1	1
3788	2	1
1450	1	1
1450	2	1
3414	1	1
3414	2	1
2974	1	1
2974	2	1
7042	1	1
7042	2	1
7042	3	1
7391	1	1
7391	2	1
7391	3	1
7391	4	1
3894	1	2
3894	2	2
3793	1	1
3793	2	1
3796	1	1
3796	2	1
7711	1	1
7711	2	1
7711	3	2
7711	4	2
7711	5	2
7711	6	2
9165	1	2
9165	2	2
9164	1	2
9164	2	2
9166	1	2
9166	2	2
7659	1	1
7659	2	1
8059	1	0
8059	2	0
3913	1	-1
3913	2	-1
7969	1	2
7969	2	2
7969	3	2
1487	1	1
1487	2	1
7718	1	2
7718	2	2
7214	1	-1
7214	2	-1
7716	1	-1
7716	2	-1
7965	1	2
7965	2	2
3803	1	1
3803	2	1
7685	1	1
7685	2	1
9557	1	1
9557	2	1
7652	1	1
7652	2	1
7652	3	1
7652	4	1
7652	5	1
2992	1	1
2992	2	1
3596	1	1
3596	2	1
9910	1	2
9910	2	2
7876	1	1
7876	2	1
4431	1	1
4431	2	1
8466	1	2
8466	2	2
7057	1	2
7057	2	2
7057	3	2
8014	1	1
8014	2	1
8014	3	1
8015	1	1
8015	2	1
8015	3	2
8015	4	2
8015	5	2
8015	6	2
3226	1	1
3226	2	1
7962	1	2
7962	2	2
7164	1	2
7164	2	2
8494	1	2
8494	2	2
8320	1	2
8320	2	2
7136	1	-1
7136	2	-1
3549	1	1
3549	2	1
4721	1	1
4721	2	1
7135	1	1
7135	2	1
7135	3	1
7135	4	1
7135	5	1
7135	6	1
7135	7	1
7135	8	1
7135	9	1
7135	10	1
7135	11	1
7135	12	1
7135	13	1
7135	14	1
7135	15	1
7135	16	1
7135	17	1
7135	18	1
7135	19	1
7135	20	1
7135	21	1
7135	22	1
7135	23	1
7135	24	1
7135	25	1
7135	26	1
7135	27	1
7135	28	1
7135	29	1
7135	30	1
7135	31	1
7135	32	1
7135	33	1
7135	34	1
7135	35	1
8423	1	2
8423	2	2
11051	1	-1
11051	2	-1
8455	1	-1
8455	2	-1
7890	1	2
7890	2	2
7629	1	1
7629	2	1
7629	3	1
7628	1	1
7628	2	1
7628	3	1
1547	1	1
1547	2	1
3866	1	1
3866	2	1
3869	1	1
3869	2	1
8295	1	1
8295	2	1
8296	1	1
8296	2	1
8016	1	2
8016	2	2
8017	1	2
8017	2	2
8018	1	2
8018	2	2
8020	1	2
8020	2	2
8023	1	1
8023	2	1
8370	1	2
8370	2	2
8370	3	2
9174	1	1
9174	2	1
9174	3	1
9175	1	2
9175	2	2
9175	3	2
226	1	1
226	2	1
8369	1	2
8369	2	2
4277	1	1
4277	2	1
9253	1	1
9253	2	1
9253	3	1
3769	1	1
3769	2	1
4671	1	1
4671	2	1
7506	1	1
7506	2	1
7506	3	1
7506	4	1
7479	1	1
7479	2	1
7478	1	1
7478	2	1
7478	3	1
3764	1	1
3764	2	1
10933	1	2
10933	2	2
7761	1	1
7761	2	1
7084	1	2
7084	2	2
9940	1	2
9940	2	2
4659	1	1
4659	2	1
4659	3	1
3886	1	2
3886	2	2
2970	1	1
2970	2	1
2970	3	1
7386	1	2
7386	2	2
8498	1	2
8498	2	2
7468	1	2
7468	2	2
7473	1	2
7473	2	2
7473	3	2
7473	4	2
9828	1	1
9828	2	1
8902	1	1
8902	2	1
8902	3	1
8902	4	1
8902	5	1
8902	6	1
8902	7	1
8902	8	1
8902	9	1
8902	10	1
8902	11	1
8902	12	1
8902	13	1
8902	14	1
8902	15	1
8902	16	1
8902	17	1
8902	18	1
8902	19	1
8902	20	1
8902	21	1
8902	22	1
8902	23	1
8902	24	1
8902	25	1
8380	1	2
8380	2	2
7626	1	1
7626	2	1
8556	1	1
8556	2	1
7619	1	1
7619	2	1
7619	3	1
7621	1	1
7621	2	1
7621	3	1
7621	4	1
7622	1	-1
7622	2	-1
7622	3	-1
7622	4	-1
7622	5	1
7622	6	1
7622	7	1
7622	8	1
7623	1	1
7623	2	1
7623	3	1
7623	4	1
7623	5	1
7623	6	1
7624	1	1
7624	2	1
7624	3	1
7624	4	1
7625	1	1
7625	2	1
7625	3	1
7589	1	1
7589	2	1
7589	3	1
9357	1	1
9357	2	1
2956	1	1
2956	2	1
7376	1	2
7376	2	2
7376	3	2
7376	4	2
8477	1	2
8477	2	2
8477	3	2
942	1	2
942	2	2
7773	1	2
7773	2	2
7642	1	1
7642	2	1
9276	1	-1
9276	2	-1
11621	1	2
11621	2	2
