date_hour	count	rating
5117	1	-1
5117	2	-1
5117	3	-1
5117	4	1
5117	5	1
5117	6	1
3336	1	-1
3336	2	-1
3088	1	1
3088	2	1
334	1	1
334	2	1
334	3	1
334	4	1
334	5	1
10437	1	1
10437	2	1
10400	1	1
10400	2	1
3342	1	-1
3342	2	-1
5442	1	1
5442	2	1
7193	1	1
7193	2	1
7036	1	1
7036	2	1
7035	1	1
7035	2	1
11138	1	1
11138	2	1
7192	1	0
7192	2	0
7173	1	1
7173	2	1
7630	1	0
7630	2	0
9255	1	-1
9255	2	-1
9819	1	1
9819	2	1
10430	1	1
10430	2	1
10430	3	1
5786	1	1
5786	2	1
9476	1	1
9476	2	1
1411	1	1
1411	2	1
10668	1	1
10668	2	1
7716	1	1
7716	2	1
7272	1	-1
7272	2	-1
7272	3	-1
7272	4	0
7272	5	0
7272	6	0
4405	1	0
4405	2	0
7181	1	1
7181	2	1
7181	3	1
7181	4	1
7508	1	1
7508	2	1
7703	1	1
7703	2	1
9154	1	1
9154	2	1
3244	1	-1
3244	2	-1
7548	1	1
7548	2	1
7548	3	1
7548	4	1
7548	5	1
3125	1	0
3125	2	0
3125	3	0
3124	1	0
3124	2	0
3124	3	0
3127	1	0
3127	2	0
7187	1	1
7187	2	1
7187	3	1
7187	4	2
7187	5	2
3123	1	0
3123	2	0
3123	3	0
3123	4	0
3122	1	0
3122	2	0
1495	1	1
1495	2	1
9861	1	1
9861	2	1
3128	1	0
3128	2	0
3128	3	0
7782	1	1
7782	2	1
10002	1	-1
10002	2	-1
10002	3	-1
9613	1	-1
9613	2	-1
2396	1	-1
2396	2	-1
328	1	1
328	2	1
328	3	1
328	4	1
328	5	1
5056	1	1
5056	2	1
447	1	1
447	2	1
447	3	1
447	4	1
447	5	1
2296	1	1
2296	2	1
258	1	1
258	2	1
258	3	1
258	4	1
258	5	1
7060	1	1
7060	2	1
5681	1	0
5681	2	0
7784	1	1
7784	2	1
10602	1	-1
10602	2	-1
7045	1	1
7045	2	1
7045	3	1
7045	4	2
7045	5	2
7045	6	2
1393	1	1
1393	2	1
7284	1	1
7284	2	1
7284	3	1
10414	1	1
10414	2	1
8225	1	1
8225	2	1
7030	1	1
7030	2	1
7030	3	1
7030	4	2
7030	5	2
7709	1	1
7709	2	1
7733	1	1
7733	2	1
7189	1	1
7189	2	1
7120	1	1
7120	2	1
2657	1	1
2657	2	1
2657	3	1
3253	1	1
3253	2	1
7191	1	1
7191	2	1
7190	1	0
7190	2	0
7190	3	0
7148	1	1
7148	2	1
7148	3	1
8987	1	0
8987	2	0
7631	1	1
7631	2	1
7771	1	1
7771	2	1
7271	1	-1
7271	2	-1
7271	3	-1
7271	4	0
7271	5	0
7271	6	0
3131	1	0
3131	2	0
6352	1	1
6352	2	1
10479	1	1
10479	2	1
10479	3	1
8520	1	0
8520	2	0
8520	3	0
8520	4	0
8520	5	0
8520	6	0
8520	7	1
8520	8	1
8520	9	1
8520	10	1
8520	11	1
8520	12	1
7135	1	1
7135	2	1
7135	3	1
9534	1	-1
9534	2	-1
10440	1	1
10440	2	1
