date_hour	count	rating
9139	1	2
9139	2	2
11562	1	1
11562	2	1
9012	1	2
9012	2	2
10094	1	2
10094	2	2
11561	1	1
11561	2	1
11561	3	1
11561	4	1
11561	5	1
11561	6	1
11561	7	1
11561	8	1
11561	9	1
11561	10	1
11561	11	1
11561	12	1
11561	13	1
11561	14	1
11561	15	1
11561	16	1
11561	17	1
11561	18	1
11561	19	1
11561	20	1
11561	21	1
8974	1	2
8974	2	2
8972	1	2
8972	2	2
8972	3	2
8972	4	2
8972	5	2
8972	6	2
8972	7	2
8972	8	2
8972	9	2
8972	10	2
8972	11	2
8972	12	2
8972	13	2
8973	1	2
8973	2	2
8973	3	2
8973	4	2
8973	5	2
8973	6	2
8973	7	2
8985	1	2
8985	2	2
8985	3	2
8985	4	2
10321	1	2
10321	2	2
8982	1	2
8982	2	2
8982	3	2
8982	4	2
8982	5	2
8982	6	2
8982	7	2
8982	8	2
8981	1	2
8981	2	2
8981	3	2
8981	4	2
8981	5	2
8981	6	2
11219	1	1
11219	2	1
12041	1	0
12041	2	0
11708	1	1
11708	2	1
11708	3	1
11709	1	1
11709	2	1
10089	1	2
10089	2	2
11583	1	1
11583	2	1
8991	1	2
8991	2	2
8991	3	2
8991	4	2
8991	5	2
8991	6	2
8991	7	2
8991	8	2
8991	9	2
8991	10	2
8991	11	2
8991	12	2
8991	13	2
8992	1	2
8992	2	2
8992	3	2
8992	4	2
8992	5	2
8992	6	2
8993	1	2
8993	2	2
8993	3	2
8988	1	2
8988	2	2
8989	1	2
8989	2	2
8989	3	2
8994	1	2
8994	2	2
9184	1	-1
9184	2	-1
9183	1	-1
9183	2	-1
