date_hour	count	rating
8619	1	0
8619	2	0
1110	1	2
1110	2	2
1110	3	2
1110	4	2
991	1	2
991	2	2
991	3	2
991	4	2
7966	1	0
7966	2	0
8660	1	0
8660	2	0
8660	3	0
2662	1	0
2662	2	0
2662	3	0
9160	1	1
9160	2	1
2661	1	0
2661	2	0
2661	3	0
2661	4	0
2661	5	0
2661	6	0
2661	7	0
2661	8	0
2661	9	0
1014	1	2
1014	2	2
1014	3	2
1014	4	2
8606	1	0
8606	2	0
8607	1	0
8607	2	0
8871	1	1
8871	2	1
8871	3	1
1066	1	2
1066	2	2
1066	3	2
1066	4	2
8630	1	0
8630	2	0
4961	1	0
4961	2	0
4961	3	0
4961	4	1
4961	5	1
4961	6	1
4961	7	1
4961	8	1
5300	1	1
5300	2	1
5300	3	1
10083	1	1
10083	2	1
10083	3	1
2664	1	1
2664	2	1
2664	3	1
974	1	2
974	2	2
974	3	2
974	4	2
1158	1	2
1158	2	2
1158	3	2
1158	4	2
1134	1	2
1134	2	2
1134	3	2
1134	4	2
1039	1	2
1039	2	2
1039	3	2
1039	4	2
