date_hour	count	rating
3036	1	0
3036	2	0
3426	1	1
3426	2	1
3426	3	1
10343	1	-1
10343	2	-1
3614	1	1
3614	2	1
3614	3	1
3615	1	1
3615	2	1
1449	1	0
1449	2	0
3060	1	1
3060	2	1
1005	1	0
1005	2	0
1445	1	0
1445	2	0
10040	1	-1
10040	2	-1
1441	1	0
1441	2	0
5042	1	-1
5042	2	-1
5042	3	-1
5042	4	-1
5042	5	-1
8759	1	-1
8759	2	-1
8759	3	-1
1340	1	0
1340	2	0
11258	1	-1
11258	2	-1
3647	1	0
3647	2	0
9046	1	-1
9046	2	-1
1485	1	0
1485	2	0
3119	1	0
3119	2	0
1534	1	0
1534	2	0
7487	1	-1
7487	2	-1
7487	3	-1
3623	1	1
3623	2	1
3084	1	1
3084	2	1
1774	1	0
1774	2	0
1774	3	1
1774	4	1
9872	1	-1
9872	2	-1
3982	1	2
3982	2	2
3982	3	2
3982	4	2
3982	5	2
3982	6	2
3982	7	2
7918	1	-1
7918	2	-1
7918	3	-1
11685	1	-1
11685	2	-1
3020	1	1
3020	2	1
2468	1	0
2468	2	0
11700	1	-1
11700	2	-1
980	1	1
980	2	1
10071	1	-1
10071	2	-1
10071	3	-1
2660	1	1
2660	2	1
10200	1	-1
10200	2	-1
3142	1	0
3142	2	0
9194	1	-1
9194	2	-1
9194	3	-1
1915	1	0
1915	2	0
1915	3	0
7124	1	-1
7124	2	-1
7124	3	-1
9260	1	-1
9260	2	-1
3192	1	0
3192	2	0
8783	1	-1
8783	2	-1
8783	3	-1
8783	4	-1
2298	1	0
2298	2	0
2298	3	0
1815	1	1
1815	2	1
9190	1	-1
9190	2	-1
9190	3	-1
9190	4	-1
2974	1	-1
2974	2	-1
1940	1	0
1940	2	0
1940	3	0
7272	1	-1
7272	2	-1
7272	3	-1
7272	4	-1
7272	5	-1
895	1	0
895	2	0
3600	1	0
3600	2	0
8850	1	-1
8850	2	-1
8850	3	-1
2494	1	0
2494	2	0
1074	1	1
1074	2	1
2688	1	0
2688	2	0
935	1	1
935	2	1
1456	1	0
1456	2	0
1632	1	0
1632	2	0
1399	1	1
1399	2	1
1991	1	0
1991	2	0
2167	1	0
2167	2	0
3095	1	1
3095	2	1
3095	3	1
2914	1	0
2914	2	0
3105	1	1
3105	2	1
4325	1	1
4325	2	1
2847	1	0
2847	2	0
2616	1	-1
2616	2	-1
11354	1	-1
11354	2	-1
8227	1	-1
8227	2	-1
2155	1	0
2155	2	0
9527	1	-1
9527	2	-1
9527	3	-1
5113	1	-1
5113	2	-1
2011	1	0
2011	2	0
970	1	-1
970	2	-1
9704	1	-1
9704	2	-1
4757	1	1
4757	2	1
4757	3	1
4757	4	1
4757	5	1
2951	1	0
2951	2	0
3596	1	0
3596	2	0
3110	1	1
3110	2	1
2515	1	0
2515	2	0
1151	1	1
1151	2	1
9623	1	-1
9623	2	-1
1160	1	1
1160	2	1
1160	3	1
3330	1	0
3330	2	0
10596	1	1
10596	2	1
