date_hour	count	rating
8617	1	1
8617	2	1
8617	3	1
7473	1	-1
7473	2	-1
9598	1	-1
9598	2	-1
7425	1	-1
7425	2	-1
11328	1	0
11328	2	0
11328	3	0
10461	1	-1
10461	2	-1
10461	3	0
10461	4	0
1005	1	-1
1005	2	-1
9283	1	-1
9283	2	-1
9283	3	-1
8739	1	1
8739	2	1
8739	3	1
8739	4	1
8739	5	1
8739	6	1
8739	7	1
8739	8	1
8739	9	1
8739	10	1
8739	11	1
8739	12	1
8739	13	1
8699	1	1
8699	2	1
8699	3	1
8699	4	1
7411	1	-1
7411	2	-1
5380	1	-1
5380	2	-1
7351	1	-1
7351	2	-1
9537	1	-1
9537	2	-1
10652	1	0
10652	2	0
8010	1	-1
8010	2	-1
11265	1	0
11265	2	0
11265	3	0
11265	4	0
11265	5	0
11265	6	0
11265	7	0
4143	1	-1
4143	2	-1
4143	3	-1
4143	4	1
4143	5	1
4143	6	1
8683	1	0
8683	2	0
8889	1	-1
8889	2	-1
10748	1	1
10748	2	1
8974	1	-1
8974	2	-1
1770	1	0
1770	2	0
495	1	0
495	2	0
495	3	0
495	4	0
495	5	0
4701	1	-1
4701	2	-1
4701	3	-1
4701	4	-1
4701	5	-1
1948	1	1
1948	2	1
1949	1	1
1949	2	1
1233	1	2
1233	2	2
9779	1	-1
9779	2	-1
9781	1	0
9781	2	0
10243	1	0
10243	2	0
10243	3	0
1979	1	1
1979	2	1
1979	3	1
8608	1	-1
8608	2	-1
6055	1	1
6055	2	1
12041	1	-1
12041	2	-1
4559	1	-1
4559	2	-1
3858	1	1
3858	2	1
3858	3	2
3858	4	2
3858	5	2
9440	1	-1
9440	2	-1
886	1	-1
886	2	-1
7633	1	0
7633	2	0
7633	3	0
7633	4	0
7633	5	0
5038	1	-1
5038	2	-1
5038	3	-1
5038	4	-1
5038	5	-1
11517	1	-1
11517	2	-1
4925	1	-1
4925	2	-1
4925	3	-1
7328	1	-1
7328	2	-1
7328	3	-1
8910	1	-1
8910	2	-1
8910	3	-1
10487	1	0
10487	2	0
9493	1	-1
9493	2	-1
3078	1	-1
3078	2	-1
12021	1	-1
12021	2	-1
11307	1	2
11307	2	2
11307	3	2
7357	1	-1
7357	2	-1
7355	1	-1
7355	2	-1
11898	1	-1
11898	2	-1
11288	1	0
11288	2	0
11288	3	0
6103	1	1
6103	2	1
3700	1	1
3700	2	1
6101	1	1
6101	2	1
6100	1	1
6100	2	1
7239	1	0
7239	2	0
7239	3	0
7239	4	0
7239	5	0
2636	1	1
2636	2	1
10329	1	0
10329	2	0
10329	3	0
3792	1	-1
3792	2	-1
7237	1	0
7237	2	0
7237	3	0
403	1	0
403	2	0
403	3	0
403	4	0
403	5	0
7697	1	1
7697	2	1
7697	3	2
7697	4	2
8062	1	1
8062	2	1
7243	1	0
7243	2	0
11479	1	-1
11479	2	-1
11479	3	-1
7690	1	-1
7690	2	-1
11480	1	-1
11480	2	-1
11480	3	-1
3265	1	-1
3265	2	-1
7458	1	0
7458	2	0
1236	1	2
1236	2	2
9573	1	-1
9573	2	-1
6351	1	1
6351	2	1
1806	1	-1
1806	2	-1
11478	1	-1
11478	2	-1
11478	3	-1
9381	1	-1
9381	2	-1
8073	1	-1
8073	2	-1
11414	1	-1
11414	2	-1
11213	1	0
11213	2	0
11213	3	0
11213	4	0
11214	1	0
11214	2	0
10460	1	-1
10460	2	-1
10460	3	-1
9726	1	-1
9726	2	-1
7039	1	-1
7039	2	-1
7039	3	-1
7039	4	-1
7039	5	-1
11397	1	0
11397	2	0
11397	3	0
11397	4	0
11397	5	0
8564	1	-1
8564	2	-1
6090	1	1
6090	2	1
6111	1	1
6111	2	1
11417	1	-1
11417	2	-1
6113	1	1
6113	2	1
11159	1	0
11159	2	0
11159	3	0
11159	4	0
11159	5	0
11159	6	0
6108	1	1
6108	2	1
10662	1	0
10662	2	0
10662	3	0
7718	1	0
7718	2	0
8834	1	-1
8834	2	-1
10488	1	0
10488	2	0
10488	3	0
9733	1	-1
9733	2	-1
2689	1	-1
2689	2	-1
4867	1	1
4867	2	1
4867	3	1
4867	4	2
4867	5	2
9286	1	-1
9286	2	-1
7182	1	-1
7182	2	-1
7182	3	-1
11927	1	-1
11927	2	-1
8956	1	0
8956	2	0
8782	1	-1
8782	2	-1
10388	1	0
10388	2	0
10388	3	0
7257	1	-1
7257	2	-1
11489	1	-1
11489	2	-1
11489	3	-1
10726	1	0
10726	2	0
10726	3	0
10726	4	0
10726	5	0
10726	6	0
11591	1	-1
11591	2	-1
8324	1	-1
8324	2	-1
2986	1	2
2986	2	2
8076	1	-1
8076	2	-1
8076	3	-1
8076	4	-1
8076	5	-1
8076	6	-1
8076	7	-1
8076	8	-1
8076	9	-1
8076	10	-1
6042	1	0
6042	2	0
6042	3	0
6042	4	2
6042	5	2
6042	6	2
10761	1	0
10761	2	0
10761	3	0
8769	1	-1
8769	2	-1
8769	3	-1
11854	1	0
11854	2	0
11854	3	0
11854	4	2
11854	5	2
11854	6	2
7126	1	-1
7126	2	-1
8800	1	-1
8800	2	-1
9420	1	-1
9420	2	-1
10516	1	0
10516	2	0
10516	3	0
6041	1	0
6041	2	0
6041	3	2
6041	4	2
7145	1	-1
7145	2	-1
7671	1	1
7671	2	1
7671	3	2
7671	4	2
7877	1	0
7877	2	0
4299	1	-1
4299	2	-1
4296	1	0
4296	2	0
4296	3	0
4296	4	1
4296	5	1
4296	6	1
10867	1	1
10867	2	1
9617	1	-1
9617	2	-1
9614	1	-1
9614	2	-1
7238	1	0
7238	2	0
7238	3	0
7238	4	0
3936	1	1
3936	2	1
10366	1	0
10366	2	0
10366	3	0
10865	1	0
10865	2	0
7881	1	-1
7881	2	-1
8014	1	-1
8014	2	-1
8014	3	1
8014	4	1
8014	5	1
11381	1	-1
11381	2	-1
11381	3	-1
11381	4	-1
11381	5	-1
11381	6	-1
11381	7	-1
11381	8	-1
11381	9	-1
7166	1	-1
7166	2	-1
7167	1	-1
7167	2	-1
2082	1	0
2082	2	0
10000	1	1
10000	2	1
10000	3	1
10000	4	1
10000	5	1
10000	6	2
10000	7	2
10000	8	2
7162	1	-1
7162	2	-1
1609	1	-1
1609	2	-1
10704	1	0
10704	2	0
10704	3	0
11141	1	0
11141	2	0
11022	1	0
11022	2	0
11022	3	0
11022	4	0
11022	5	0
1180	1	1
1180	2	1
1180	3	2
1180	4	2
7171	1	-1
7171	2	-1
11153	1	-1
11153	2	-1
11153	3	0
11153	4	0
4695	1	0
4695	2	0
4695	3	0
4695	4	0
4695	5	0
11567	1	-1
11567	2	-1
7259	1	-1
7259	2	-1
10265	1	0
10265	2	0
10265	3	0
10265	4	0
10265	5	0
10265	6	0
10265	7	0
10265	8	0
10265	9	0
10265	10	0
10265	11	0
7266	1	-1
7266	2	-1
7908	1	-1
7908	2	-1
8656	1	1
8656	2	1
8656	3	1
10565	1	-1
10565	2	-1
10565	3	-1
10565	4	-1
10565	5	-1
10565	6	-1
10565	7	-1
10565	8	-1
9100	1	1
9100	2	1
7534	1	0
7534	2	0
7529	1	0
7529	2	0
7533	1	0
7533	2	0
7533	3	0
7533	4	0
7533	5	0
7678	1	-1
7678	2	-1
10050	1	-1
10050	2	-1
10050	3	-1
10341	1	0
10341	2	0
10341	3	0
10341	4	0
10341	5	0
9695	1	-1
9695	2	-1
10852	1	0
10852	2	0
766	1	0
766	2	0
766	3	0
766	4	1
766	5	1
766	6	1
10222	1	-1
10222	2	-1
10342	1	0
10342	2	0
11327	1	0
11327	2	0
11327	3	0
9080	1	-1
9080	2	-1
10037	1	-1
10037	2	-1
10037	3	-1
10037	4	-1
10037	5	-1
10037	6	-1
10037	7	-1
10037	8	-1
7075	1	-1
7075	2	-1
7884	1	-1
7884	2	-1
11145	1	0
11145	2	0
11145	3	0
1468	1	-1
1468	2	-1
7931	1	-1
7931	2	-1
7932	1	-1
7932	2	-1
7932	3	-1
7932	4	-1
7932	5	-1
7932	6	-1
7932	7	-1
1466	1	-1
1466	2	-1
1466	3	-1
1466	4	-1
1466	5	-1
1466	6	-1
11058	1	0
11058	2	0
11058	3	0
9547	1	-1
9547	2	-1
7944	1	0
7944	2	0
9045	1	0
9045	2	0
9812	1	1
9812	2	1
9811	1	-1
9811	2	-1
10484	1	0
10484	2	0
10484	3	0
8056	1	1
8056	2	1
11873	1	-1
11873	2	-1
7244	1	-1
7244	2	-1
7245	1	0
7245	2	0
7245	3	0
7245	4	0
7245	5	0
7245	6	0
7245	7	0
7245	8	0
7269	1	-1
7269	2	-1
8310	1	-1
8310	2	-1
3504	1	0
3504	2	0
3249	1	1
3249	2	1
3249	3	2
3249	4	2
7531	1	-1
7531	2	-1
7309	1	-1
7309	2	-1
7309	3	-1
7528	1	0
7528	2	0
7528	3	0
7528	4	0
7528	5	0
7528	6	0
7528	7	0
7307	1	-1
7307	2	-1
7306	1	-1
7306	2	-1
2648	1	1
2648	2	1
8021	1	1
8021	2	1
7900	1	-1
7900	2	-1
7900	3	-1
7900	4	-1
7900	5	-1
7900	6	-1
7900	7	-1
7900	8	-1
1168	1	1
1168	2	1
1168	3	2
1168	4	2
11420	1	-1
11420	2	-1
4705	1	-1
4705	2	-1
11683	1	-1
11683	2	-1
11683	3	-1
11683	4	-1
9683	1	-1
9683	2	-1
3952	1	1
3952	2	1
3952	3	1
3952	4	1
3952	5	1
5017	1	-1
5017	2	-1
2712	1	1
2712	2	1
11140	1	0
11140	2	0
11140	3	0
11140	4	0
7090	1	-1
7090	2	-1
11741	1	-1
11741	2	-1
11741	3	-1
9339	1	-1
9339	2	-1
9339	3	-1
9142	1	-1
9142	2	-1
1564	1	-1
1564	2	-1
9776	1	-1
9776	2	-1
864	1	-1
864	2	-1
864	3	-1
1779	1	1
1779	2	1
9250	1	-1
9250	2	-1
9171	1	-1
9171	2	-1
4110	1	1
4110	2	1
4110	3	2
4110	4	2
4110	5	2
4110	6	2
8979	1	1
8979	2	1
4781	1	-1
4781	2	-1
5082	1	0
5082	2	0
5082	3	0
5082	4	1
5082	5	1
5082	6	1
5082	7	2
5082	8	2
5082	9	2
7283	1	-1
7283	2	-1
7284	1	-1
7284	2	-1
7286	1	-1
7286	2	-1
7287	1	0
7287	2	0
7501	1	-1
7501	2	-1
3976	1	1
3976	2	1
3976	3	1
3976	4	2
3976	5	2
3976	6	2
3976	7	2
3976	8	2
8670	1	-1
8670	2	-1
8670	3	-1
8670	4	-1
8670	5	-1
8670	6	-1
4769	1	0
4769	2	0
4769	3	0
4769	4	1
4769	5	1
4769	6	1
4769	7	2
4769	8	2
4769	9	2
10511	1	0
10511	2	0
10511	3	0
10511	4	0
10511	5	0
10632	1	0
10632	2	0
10632	3	0
11357	1	0
11357	2	0
7118	1	-1
7118	2	-1
8577	1	-1
8577	2	-1
3250	1	0
3250	2	0
10641	1	0
10641	2	0
10641	3	0
10641	4	0
10641	5	0
2787	1	-1
2787	2	-1
9093	1	-1
9093	2	-1
9066	1	0
9066	2	0
8602	1	0
8602	2	0
745	1	0
745	2	0
745	3	0
744	1	0
744	2	0
744	3	0
11923	1	-1
11923	2	-1
10752	1	1
10752	2	1
8603	1	0
8603	2	0
8603	3	0
10757	1	-1
10757	2	-1
3336	1	-1
3336	2	-1
8442	1	-1
8442	2	-1
8442	3	-1
8468	1	1
8468	2	1
8469	1	-1
8469	2	-1
9758	1	-1
9758	2	-1
11160	1	0
11160	2	0
10199	1	0
10199	2	0
10199	3	0
7383	1	-1
7383	2	-1
8671	1	-1
8671	2	-1
7438	1	0
7438	2	0
7438	3	0
7438	4	0
7438	5	0
7436	1	0
7436	2	0
7436	3	0
2970	1	-1
2970	2	-1
11398	1	0
11398	2	0
11398	3	0
10097	1	-1
10097	2	-1
10097	3	-1
10097	4	-1
10097	5	-1
10097	6	-1
10097	7	-1
10097	8	-1
10097	9	-1
10097	10	-1
10097	11	-1
11326	1	0
11326	2	0
11326	3	0
11326	4	0
11326	5	0
10926	1	0
10926	2	0
10926	3	0
10926	4	0
4561	1	1
4561	2	1
7598	1	-1
7598	2	-1
7555	1	-1
7555	2	-1
7554	1	-1
7554	2	-1
11999	1	-1
11999	2	-1
9108	1	-1
9108	2	-1
1323	1	-1
1323	2	-1
1323	3	1
1323	4	1
1792	1	0
1792	2	0
11371	1	0
11371	2	0
11371	3	0
11371	4	0
11370	1	0
11370	2	0
11370	3	0
11370	4	0
7327	1	-1
7327	2	-1
11404	1	0
11404	2	0
11404	3	0
11404	4	0
11404	5	0
9314	1	-1
9314	2	-1
9314	3	-1
10340	1	0
10340	2	0
10340	3	0
10340	4	0
10340	5	0
