date_hour	count	rating
7408	1	-1
7408	2	-1
7408	3	0
7408	4	0
2306	1	1
2306	2	1
8703	1	1
8703	2	1
8703	3	1
8703	4	2
8703	5	2
8703	6	2
4506	1	0
4506	2	0
8247	1	0
8247	2	0
8249	1	1
8249	2	1
8249	3	2
8249	4	2
1435	1	0
1435	2	0
4933	1	-1
4933	2	-1
8883	1	-1
8883	2	-1
8250	1	-1
8250	2	-1
2291	1	0
2291	2	0
2291	3	2
2291	4	2
1074	1	0
1074	2	0
5052	1	-1
5052	2	-1
5052	3	-1
5052	4	0
5052	5	0
5052	6	0
9043	1	-1
9043	2	-1
9043	3	-1
3445	1	0
3445	2	0
9040	1	1
9040	2	1
8301	1	0
8301	2	0
3819	1	0
3819	2	0
7697	1	-1
7697	2	-1
8510	1	-1
8510	2	-1
175	1	0
175	2	0
175	3	0
2983	1	0
2983	2	0
7458	1	-1
7458	2	-1
7455	1	-1
7455	2	-1
1240	1	0
1240	2	0
5212	1	1
5212	2	1
5212	3	2
5212	4	2
289	1	0
289	2	0
289	3	0
289	4	0
289	5	0
4863	1	0
4863	2	0
4863	3	0
4863	4	0
4863	5	0
9383	1	-1
9383	2	-1
9383	3	-1
9383	4	-1
9383	5	-1
9383	6	-1
9383	7	-1
9383	8	-1
9383	9	-1
9383	10	-1
9383	11	-1
9383	12	-1
9383	13	-1
9383	14	-1
9383	15	-1
9383	16	-1
9383	17	1
9383	18	1
9383	19	1
9383	20	1
9383	21	1
9383	22	1
9383	23	1
9383	24	1
9383	25	1
9383	26	1
9383	27	1
9383	28	1
9383	29	1
9383	30	1
9383	31	1
9383	32	1
2683	1	0
2683	2	0
9231	1	-1
9231	2	-1
4878	1	0
4878	2	0
4878	3	0
4878	4	0
4878	5	0
3477	1	0
3477	2	0
1580	1	0
1580	2	0
7982	1	-1
7982	2	-1
8492	1	-1
8492	2	-1
3070	1	0
3070	2	0
9183	1	-1
9183	2	-1
3309	1	0
3309	2	0
8468	1	1
8468	2	1
597	1	0
597	2	0
11704	1	-1
11704	2	-1
3542	1	0
3542	2	0
1871	1	0
1871	2	0
1873	1	0
1873	2	0
7000	1	-1
7000	2	-1
6999	1	0
6999	2	0
8345	1	-1
8345	2	-1
