date_hour	count	rating
1936	1	2
1936	2	2
1936	3	2
1936	4	2
1937	1	2
1937	2	2
1937	3	2
1935	1	2
1935	2	2
1935	3	2
11540	1	2
11540	2	2
11540	3	2
11329	1	1
11329	2	1
11543	1	2
11543	2	2
1982	1	2
1982	2	2
1982	3	2
5690	1	1
5690	2	1
10212	1	1
10212	2	1
10212	3	2
10212	4	2
10052	1	2
10052	2	2
1839	1	2
1839	2	2
1839	3	2
1839	4	2
11550	1	2
11550	2	2
1754	1	2
1754	2	2
1754	3	2
4898	1	2
4898	2	2
4898	3	2
4898	4	2
4898	5	2
4909	1	1
4909	2	1
4909	3	1
4909	4	1
4909	5	1
4409	1	1
4409	2	1
4409	3	1
4409	4	1
4409	5	1
11542	1	2
11542	2	2
11542	3	2
11542	4	2
11542	5	2
11542	6	2
11542	7	2
3826	1	2
3826	2	2
3826	3	2
9376	1	1
9376	2	1
9376	3	1
9376	4	1
9376	5	1
1944	1	2
1944	2	2
1944	3	2
4937	1	2
4937	2	2
4937	3	2
1949	1	2
1949	2	2
1949	3	2
1949	4	2
1949	5	2
10243	1	2
10243	2	2
10243	3	2
10243	4	2
9572	1	1
9572	2	1
9574	1	1
9574	2	1
9574	3	1
4351	1	1
4351	2	1
4351	3	1
4351	4	2
4351	5	2
4351	6	2
4351	7	2
1941	1	2
1941	2	2
9071	1	1
9071	2	1
9071	3	1
9071	4	1
9071	5	1
9071	6	1
9071	7	1
9071	8	1
9071	9	1
9071	10	1
9071	11	1
9071	12	1
9071	13	1
10193	1	1
10193	2	1
10193	3	1
10193	4	1
10193	5	1
9953	1	1
9953	2	1
9953	3	1
9953	4	1
2378	1	0
2378	2	0
3799	1	-1
3799	2	-1
7390	1	2
7390	2	2
3450	1	2
3450	2	2
3450	3	2
4492	1	1
4492	2	1
4246	1	1
4246	2	1
4246	3	1
4246	4	1
4246	5	1
4494	1	1
4494	2	1
4494	3	1
4494	4	1
4494	5	1
10413	1	1
10413	2	1
10415	1	1
10415	2	1
4399	1	1
4399	2	1
4399	3	2
4399	4	2
4399	5	2
4392	1	2
4392	2	2
4392	3	2
4392	4	2
4393	1	2
4393	2	2
4393	3	2
4393	4	2
4393	5	2
4393	6	2
3888	1	1
3888	2	1
3888	3	2
3888	4	2
3888	5	2
11102	1	1
11102	2	1
4383	1	2
4383	2	2
4383	3	2
4383	4	2
4383	5	2
4927	1	2
4927	2	2
4927	3	2
4927	4	2
4927	5	2
4921	1	1
4921	2	1
3794	1	-1
3794	2	-1
11923	1	1
11923	2	1
11923	3	2
11923	4	2
5013	1	2
5013	2	2
5013	3	2
9561	1	1
9561	2	1
10337	1	2
10337	2	2
10337	3	2
7459	1	1
7459	2	1
7459	3	1
7459	4	1
7459	5	1
7459	6	1
7459	7	1
1801	1	1
1801	2	1
4889	1	2
4889	2	2
4889	3	2
4889	4	2
4889	5	2
10425	1	1
10425	2	1
9549	1	1
9549	2	1
9549	3	1
9550	1	1
9550	2	1
9550	3	1
7366	1	1
7366	2	1
7365	1	1
7365	2	1
7365	3	1
7365	4	1
3946	1	1
3946	2	1
3946	3	1
3946	4	2
3946	5	2
3946	6	2
4864	1	2
4864	2	2
4864	3	2
4864	4	2
4864	5	2
4864	6	2
4864	7	2
4864	8	2
4864	9	2
4864	10	2
4864	11	2
4864	12	2
4864	13	2
4864	14	2
4864	15	2
4864	16	2
4864	17	2
4864	18	2
4864	19	2
4864	20	2
4864	21	2
4864	22	2
4864	23	2
4864	24	2
