date_hour	count	rating
7582	1	0
7582	2	0
9880	1	0
9880	2	0
9880	3	0
9880	4	0
9880	5	0
9881	1	0
9881	2	0
9598	1	0
9598	2	0
3633	1	1
3633	2	1
11329	1	0
11329	2	0
7336	1	0
7336	2	0
11231	1	1
11231	2	1
9669	1	-1
9669	2	-1
9669	3	1
9669	4	1
9952	1	0
9952	2	0
9803	1	-1
9803	2	-1
9803	3	-1
11085	1	0
11085	2	0
7344	1	0
7344	2	0
6470	1	1
6470	2	1
10959	1	0
10959	2	0
10956	1	0
10956	2	0
10956	3	1
10956	4	1
10956	5	1
10956	6	1
10385	1	1
10385	2	1
8702	1	0
8702	2	0
3444	1	1
3444	2	1
8725	1	1
8725	2	1
8725	3	1
8725	4	2
8725	5	2
8725	6	2
8725	7	2
8725	8	2
7485	1	0
7485	2	0
7485	3	0
7485	4	0
7407	1	0
7407	2	0
7407	3	0
7407	4	0
4405	1	1
4405	2	1
4405	3	1
4405	4	1
4405	5	1
10322	1	0
10322	2	0
10913	1	0
10913	2	0
11902	1	0
11902	2	0
11875	1	0
11875	2	0
9713	1	0
9713	2	0
11871	1	0
11871	2	0
3759	1	-1
3759	2	-1
9377	1	0
9377	2	0
9234	1	0
9234	2	0
8875	1	1
8875	2	1
8875	3	2
8875	4	2
9556	1	-1
9556	2	-1
820	1	1
820	2	1
820	3	1
9427	1	0
9427	2	0
9427	3	0
3275	1	-1
3275	2	-1
9786	1	-1
9786	2	-1
9786	3	-1
9572	1	1
9572	2	1
8873	1	1
8873	2	1
8873	3	2
8873	4	2
10972	1	1
10972	2	1
887	1	2
887	2	2
887	3	2
887	4	2
6199	1	1
6199	2	1
7322	1	0
7322	2	0
7322	3	0
7322	4	0
9943	1	1
9943	2	1
9943	3	1
329	1	2
329	2	2
329	3	2
329	4	2
9637	1	2
9637	2	2
9637	3	2
9637	4	2
3458	1	1
3458	2	1
11612	1	0
11612	2	0
9882	1	1
9882	2	1
7048	1	0
7048	2	0
10478	1	0
10478	2	0
8751	1	0
8751	2	0
8751	3	0
8751	4	0
8751	5	0
10203	1	0
10203	2	0
4488	1	2
4488	2	2
4488	3	2
4488	4	2
4488	5	2
9879	1	0
9879	2	0
9879	3	0
11159	1	1
11159	2	1
7997	1	0
7997	2	0
4849	1	-1
4849	2	-1
4849	3	-1
4849	4	-1
4849	5	-1
4848	1	-1
4848	2	-1
8830	1	0
8830	2	0
3696	1	0
3696	2	0
11240	1	0
11240	2	0
8168	1	-1
8168	2	-1
10635	1	0
10635	2	0
7556	1	0
7556	2	0
7557	1	0
7557	2	0
8137	1	0
8137	2	0
4380	1	-1
4380	2	-1
11104	1	0
11104	2	0
11856	1	-1
11856	2	-1
7696	1	0
7696	2	0
8893	1	-1
8893	2	-1
7950	1	0
7950	2	0
8896	1	0
8896	2	0
8795	1	-1
8795	2	-1
8795	3	-1
8990	1	0
8990	2	0
2111	1	-1
2111	2	-1
8992	1	1
8992	2	1
9854	1	0
9854	2	0
10337	1	0
10337	2	0
7459	1	0
7459	2	0
6353	1	1
6353	2	1
7656	1	0
7656	2	0
8149	1	1
8149	2	1
8148	1	-1
8148	2	-1
8148	3	0
8148	4	0
9859	1	0
9859	2	0
10957	1	0
10957	2	0
10957	3	1
10957	4	1
10957	5	1
10957	6	1
11978	1	-1
11978	2	-1
3912	1	1
3912	2	1
3912	3	1
11660	1	0
11660	2	0
11660	3	0
11992	1	0
11992	2	0
9650	1	0
9650	2	0
9550	1	2
9550	2	2
9550	3	2
9550	4	2
10214	1	0
10214	2	0
7367	1	0
7367	2	0
9984	1	0
9984	2	0
7218	1	0
7218	2	0
11899	1	0
11899	2	0
6113	1	1
6113	2	1
6113	3	1
7152	1	0
7152	2	0
2352	1	-1
2352	2	-1
10770	1	0
10770	2	0
10770	3	0
10770	4	0
10770	5	1
10770	6	1
10770	7	1
10770	8	1
12016	1	0
12016	2	0
8559	1	0
8559	2	0
7293	1	0
7293	2	0
9857	1	0
9857	2	0
9857	3	0
10679	1	1
10679	2	1
10910	1	0
10910	2	0
3804	1	-1
3804	2	-1
9660	1	0
9660	2	0
7178	1	0
7178	2	0
9856	1	0
9856	2	0
11927	1	0
11927	2	0
7681	1	0
7681	2	0
9615	1	2
9615	2	2
9615	3	2
2526	1	0
2526	2	0
10724	1	1
10724	2	1
7953	1	-1
7953	2	-1
7147	1	0
7147	2	0
9497	1	-1
9497	2	-1
9497	3	-1
9497	4	0
9497	5	0
9497	6	0
11254	1	0
11254	2	0
9737	1	1
9737	2	1
9229	1	1
9229	2	1
9229	3	1
9229	4	2
9229	5	2
9229	6	2
6336	1	1
6336	2	1
6336	3	1
7669	1	0
7669	2	0
8136	1	0
8136	2	0
8053	1	0
8053	2	0
7672	1	0
7672	2	0
8760	1	0
8760	2	0
8760	3	0
7145	1	0
7145	2	0
7989	1	0
7989	2	0
3478	1	1
3478	2	1
8467	1	0
8467	2	0
11830	1	0
11830	2	0
9091	1	0
9091	2	0
7238	1	0
7238	2	0
9120	1	-1
9120	2	-1
9120	3	0
9120	4	0
9120	5	0
9619	1	0
9619	2	0
8080	1	0
8080	2	0
9667	1	1
9667	2	1
11980	1	0
11980	2	0
10001	1	0
10001	2	0
10998	1	0
10998	2	0
1399	1	0
1399	2	0
6352	1	1
6352	2	1
1178	1	0
1178	2	0
8583	1	0
8583	2	0
8247	1	0
8247	2	0
8247	3	0
9163	1	0
9163	2	0
10290	1	0
10290	2	0
10723	1	0
10723	2	0
10723	3	0
11943	1	-1
11943	2	-1
9843	1	-1
9843	2	-1
9146	1	0
9146	2	0
9141	1	0
9141	2	0
7912	1	0
7912	2	0
4995	1	2
4995	2	2
4995	3	2
8113	1	0
8113	2	0
8113	3	0
11094	1	0
11094	2	0
11833	1	-1
11833	2	-1
10983	1	0
10983	2	0
9570	1	0
9570	2	0
9695	1	0
9695	2	0
9695	3	0
11201	1	0
11201	2	0
9647	1	0
9647	2	0
9647	3	0
8772	1	-1
8772	2	-1
8772	3	0
8772	4	0
11442	1	0
11442	2	0
959	1	1
959	2	1
959	3	2
959	4	2
7526	1	0
7526	2	0
6987	1	0
6987	2	0
9410	1	1
9410	2	1
7313	1	0
7313	2	0
