date_hour	count	rating
1112	1	-1
1112	2	-1
3933	1	-1
3933	2	-1
4986	1	-1
4986	2	-1
4986	3	-1
4986	4	-1
4986	5	-1
5739	1	-1
5739	2	-1
4983	1	-1
4983	2	-1
8792	1	-1
8792	2	-1
5744	1	-1
5744	2	-1
9671	1	-1
9671	2	-1
9531	1	-1
9531	2	-1
1684	1	-1
1684	2	-1
1684	3	-1
8008	1	-1
8008	2	-1
1683	1	-1
1683	2	-1
1689	1	-1
1689	2	-1
1317	1	-1
1317	2	-1
9724	1	-1
9724	2	-1
8608	1	-1
8608	2	-1
8978	1	-1
8978	2	-1
3517	1	-1
3517	2	-1
7635	1	-1
7635	2	-1
1016	1	-1
1016	2	-1
7320	1	-1
7320	2	-1
7320	3	-1
7320	4	-1
1119	1	-1
1119	2	-1
7322	1	-1
7322	2	-1
7322	3	-1
7325	1	-1
7325	2	-1
7325	3	-1
7327	1	-1
7327	2	-1
6377	1	-1
6377	2	-1
10428	1	-1
10428	2	-1
10428	3	-1
10428	4	-1
7358	1	-1
7358	2	-1
8799	1	-1
8799	2	-1
4496	1	-1
4496	2	-1
3444	1	-1
3444	2	-1
3888	1	-1
3888	2	-1
1148	1	-1
1148	2	-1
9961	1	-1
9961	2	-1
9961	3	-1
7662	1	-1
7662	2	-1
9600	1	-1
9600	2	-1
3992	1	-1
3992	2	-1
9988	1	-1
9988	2	-1
3437	1	-1
3437	2	-1
6146	1	-1
6146	2	-1
2353	1	-1
2353	2	-1
4818	1	-1
4818	2	-1
3488	1	-1
3488	2	-1
8764	1	-1
8764	2	-1
9051	1	-1
9051	2	-1
9051	3	-1
9446	1	-1
9446	2	-1
9448	1	-1
9448	2	-1
10444	1	-1
10444	2	-1
1654	1	-1
1654	2	-1
5059	1	-1
5059	2	-1
5059	3	-1
8284	1	-1
8284	2	-1
9965	1	-1
9965	2	-1
4694	1	-1
4694	2	-1
7319	1	-1
7319	2	-1
7319	3	-1
2041	1	-1
2041	2	-1
1882	1	-1
1882	2	-1
10053	1	-1
10053	2	-1
9603	1	-1
9603	2	-1
4120	1	-1
4120	2	-1
4338	1	-1
4338	2	-1
4338	3	-1
4338	4	-1
4338	5	-1
2626	1	-1
2626	2	-1
8663	1	-1
8663	2	-1
8948	1	-1
8948	2	-1
4772	1	-1
4772	2	-1
4772	3	-1
4772	4	-1
4772	5	-1
9156	1	-1
9156	2	-1
7107	1	-1
7107	2	-1
7106	1	-1
7106	2	-1
3931	1	-1
3931	2	-1
3931	3	-1
3931	4	-1
3931	5	-1
3929	1	-1
3929	2	-1
3929	3	-1
3929	4	-1
3929	5	-1
3929	6	-1
3929	7	-1
4273	1	-1
4273	2	-1
10421	1	-1
10421	2	-1
4279	1	-1
4279	2	-1
4279	3	-1
9767	1	-1
9767	2	-1
4827	1	-1
4827	2	-1
4827	3	-1
4827	4	-1
4827	5	-1
2843	1	-1
2843	2	-1
4109	1	-1
4109	2	-1
4109	3	-1
4109	4	-1
4109	5	-1
2429	1	-1
2429	2	-1
8340	1	-1
8340	2	-1
3515	1	-1
3515	2	-1
4785	1	-1
4785	2	-1
4785	3	-1
3879	1	-1
3879	2	-1
9672	1	-1
9672	2	-1
9672	3	-1
9676	1	-1
9676	2	-1
9676	3	-1
2792	1	-1
2792	2	-1
3787	1	-1
3787	2	-1
9760	1	-1
9760	2	-1
9760	3	-1
7359	1	-1
7359	2	-1
4787	1	-1
4787	2	-1
4787	3	-1
4787	4	-1
4787	5	-1
4789	1	-1
4789	2	-1
4789	3	-1
10597	1	-1
10597	2	-1
10594	1	-1
10594	2	-1
2443	1	-1
2443	2	-1
1772	1	-1
1772	2	-1
2798	1	-1
2798	2	-1
1117	1	-1
1117	2	-1
9894	1	-1
9894	2	-1
5772	1	-1
5772	2	-1
1092	1	-1
1092	2	-1
4689	1	-1
4689	2	-1
4689	3	-1
4689	4	-1
4689	5	-1
8751	1	-1
8751	2	-1
9542	1	-1
9542	2	-1
10591	1	-1
10591	2	-1
10591	3	-1
8589	1	-1
8589	2	-1
6305	1	-1
6305	2	-1
1958	1	-1
1958	2	-1
4440	1	-1
4440	2	-1
9768	1	-1
9768	2	-1
3284	1	-1
3284	2	-1
9455	1	-1
9455	2	-1
