date_hour	count	rating
1932	1	2
1932	2	2
1932	3	2
3935	1	-1
3935	2	-1
3934	1	-1
3934	2	-1
3934	3	-1
3934	4	0
3934	5	0
3934	6	0
1750	1	2
1750	2	2
4982	1	0
4982	2	0
4982	3	0
1749	1	2
1749	2	2
1749	3	2
8007	1	1
8007	2	1
8006	1	1
8006	2	1
8006	3	1
8009	1	0
8009	2	0
8009	3	0
8009	4	1
8009	5	1
8009	6	1
8009	7	1
8009	8	1
3694	1	0
3694	2	0
8004	1	1
8004	2	1
7424	1	0
7424	2	0
7424	3	0
8011	1	1
8011	2	1
8010	1	1
8010	2	1
4142	1	2
4142	2	2
4142	3	2
4142	4	2
3828	1	0
3828	2	0
980	1	-1
980	2	-1
4703	1	1
4703	2	1
4703	3	1
4703	4	1
4703	5	1
4702	1	1
4702	2	1
4702	3	1
4702	4	1
4702	5	1
3281	1	0
3281	2	0
955	1	1
955	2	1
10968	1	0
10968	2	0
3788	1	0
3788	2	0
5036	1	1
5036	2	1
5036	3	1
4436	1	0
4436	2	0
4436	3	0
2973	1	0
2973	2	0
2317	1	0
2317	2	0
2317	3	0
7990	1	1
7990	2	1
7990	3	1
7990	4	1
7990	5	2
7990	6	2
7990	7	2
3697	1	0
3697	2	0
3446	1	0
3446	2	0
4460	1	2
4460	2	2
4460	3	2
4460	4	2
4460	5	2
4460	6	2
2687	1	0
2687	2	0
7690	1	-1
7690	2	-1
3265	1	0
3265	2	0
3266	1	0
3266	2	0
3266	3	0
7459	1	0
7459	2	0
5489	1	-1
5489	2	-1
4307	1	0
4307	2	0
2355	1	-1
2355	2	-1
2355	3	0
2355	4	0
2355	5	2
2355	6	2
2355	7	2
8834	1	0
8834	2	0
7964	1	1
7964	2	1
7743	1	-1
7743	2	-1
2521	1	1
2521	2	1
2346	1	0
2346	2	0
2346	3	0
2346	4	2
2346	5	2
2346	6	2
7147	1	-1
7147	2	-1
9675	1	1
9675	2	1
11391	1	0
11391	2	0
11391	3	0
3936	1	-1
3936	2	-1
3936	3	0
3936	4	0
3936	5	0
3936	6	1
3936	7	1
3936	8	1
8074	1	0
8074	2	0
8012	1	1
8012	2	1
8012	3	1
8012	4	1
8012	5	1
8012	6	2
8012	7	2
8013	1	1
8013	2	1
8013	3	1
8013	4	2
8013	5	2
2474	1	0
2474	2	0
2474	3	0
3162	1	0
3162	2	0
2236	1	1
2236	2	1
2236	3	1
2236	4	1
1479	1	-1
1479	2	-1
2700	1	0
2700	2	0
8015	1	1
8015	2	1
8015	3	1
8015	4	2
8015	5	2
11942	1	-1
11942	2	-1
3160	1	-1
3160	2	-1
7730	1	-1
7730	2	-1
7730	3	0
7730	4	0
4808	1	2
4808	2	2
11451	1	2
11451	2	2
11451	3	2
2652	1	0
2652	2	0
2652	3	0
12003	1	-1
12003	2	-1
12003	3	-1
12003	4	0
12003	5	0
12003	6	0
5035	1	1
5035	2	1
5035	3	1
4035	1	0
4035	2	0
4035	3	0
4035	4	0
4035	5	0
4035	6	0
4035	7	0
7129	1	0
7129	2	0
7129	3	0
7129	4	0
7129	5	0
1102	1	0
1102	2	0
10479	1	2
10479	2	2
10479	3	2
4007	1	1
4007	2	1
4965	1	2
4965	2	2
4965	3	2
4965	4	2
4964	1	2
4964	2	2
4964	3	2
4964	4	2
2484	1	0
2484	2	0
2484	3	0
4741	1	2
4741	2	2
4741	3	2
4678	1	2
4678	2	2
4678	3	2
9810	1	0
9810	2	0
4632	1	0
4632	2	0
4632	3	0
4632	4	0
4632	5	0
4775	1	2
4775	2	2
4775	3	2
4775	4	2
11840	1	0
11840	2	0
5006	1	0
5006	2	0
8017	1	1
8017	2	1
8017	3	1
5003	1	0
5003	2	0
5003	3	0
4706	1	2
4706	2	2
4706	3	2
4706	4	2
4706	5	2
4706	6	2
4710	1	2
4710	2	2
4710	3	2
4710	4	2
4750	1	2
4750	2	2
4750	3	2
4750	4	2
4750	5	2
3186	1	2
3186	2	2
7728	1	0
7728	2	0
7728	3	0
7290	1	1
7290	2	1
7507	1	0
7507	2	0
4667	1	0
4667	2	0
7750	1	0
7750	2	0
7750	3	0
7750	4	0
7750	5	0
7750	6	0
7750	7	0
7750	8	0
7750	9	0
7750	10	0
7750	11	0
7750	12	0
7750	13	0
7750	14	0
7750	15	0
3970	1	0
3970	2	0
4650	1	-1
4650	2	-1
4650	3	-1
4650	4	0
4650	5	0
4650	6	0
4651	1	0
4651	2	0
9818	1	1
9818	2	1
7869	1	1
7869	2	1
7869	3	1
7869	4	1
7869	5	1
7756	1	0
7756	2	0
7756	3	0
4163	1	2
4163	2	2
4163	3	2
10753	1	2
10753	2	2
7755	1	0
7755	2	0
5117	1	0
5117	2	0
4842	1	0
4842	2	0
4842	3	0
4842	4	0
4842	5	1
4842	6	1
4842	7	1
5115	1	2
5115	2	2
5115	3	2
5115	4	2
5115	5	2
2852	1	1
2852	2	1
1649	1	-1
1649	2	-1
4822	1	0
4822	2	0
4822	3	0
4822	4	2
4822	5	2
4822	6	2
3167	1	0
3167	2	0
990	1	0
990	2	0
4795	1	2
4795	2	2
4795	3	2
4795	4	2
4795	5	2
4795	6	2
2591	1	0
2591	2	0
10897	1	0
10897	2	0
5499	1	1
5499	2	1
5499	3	1
4474	1	0
4474	2	0
4474	3	0
4474	4	0
4474	5	0
7864	1	1
7864	2	1
7864	3	2
7864	4	2
7864	5	2
4601	1	0
4601	2	0
962	1	0
962	2	0
2321	1	1
2321	2	1
7576	1	1
7576	2	1
5122	1	0
5122	2	0
5122	3	0
5122	4	0
5122	5	0
9813	1	1
9813	2	1
3306	1	0
3306	2	0
9333	1	1
9333	2	1
3635	1	0
3635	2	0
5143	1	0
5143	2	0
1847	1	0
1847	2	0
10491	1	2
10491	2	2
10491	3	2
8403	1	0
8403	2	0
7725	1	0
7725	2	0
7727	1	0
7727	2	0
7726	1	0
7726	2	0
7726	3	0
7775	1	0
7775	2	0
7774	1	0
7774	2	0
7772	1	0
7772	2	0
8406	1	0
8406	2	0
