date_hour	count	rating
1057	1	1
1057	2	1
1057	3	1
1057	4	1
5743	1	1
5743	2	1
5743	3	1
5743	4	1
1112	1	1
1112	2	1
1112	3	1
3935	1	1
3935	2	1
1931	1	1
1931	2	1
1065	1	1
1065	2	1
5694	1	1
5694	2	1
5694	3	1
718	1	1
718	2	1
11507	1	1
11507	2	1
11507	3	1
11507	4	2
11507	5	2
1983	1	1
1983	2	1
1983	3	1
5342	1	1
5342	2	1
10004	1	-1
10004	2	-1
5682	1	1
5682	2	1
5682	3	1
4501	1	1
4501	2	1
1683	1	1
1683	2	1
4899	1	1
4899	2	1
3455	1	1
3455	2	1
459	1	1
459	2	1
4525	1	1
4525	2	1
1318	1	1
1318	2	1
10632	1	1
10632	2	1
6220	1	1
6220	2	1
1265	1	1
1265	2	1
391	1	1
391	2	1
391	3	1
5767	1	1
5767	2	1
2275	1	1
2275	2	1
3280	1	1
3280	2	1
5078	1	1
5078	2	1
5078	3	1
822	1	1
822	2	1
6360	1	1
6360	2	1
1224	1	1
1224	2	1
949	1	1
949	2	1
11485	1	2
11485	2	2
11485	3	2
3385	1	1
3385	2	1
5706	1	1
5706	2	1
5706	3	1
5706	4	1
1744	1	1
1744	2	1
1861	1	1
1861	2	1
6195	1	1
6195	2	1
11343	1	2
11343	2	2
11343	3	2
11343	4	2
11343	5	2
11343	6	2
1117	1	1
1117	2	1
3410	1	1
3410	2	1
2304	1	1
2304	2	1
5669	1	1
5669	2	1
5669	3	1
5669	4	1
5669	5	1
7997	1	-1
7997	2	-1
7997	3	-1
7997	4	-1
7997	5	-1
6183	1	1
6183	2	1
4912	1	1
4912	2	1
670	1	1
670	2	1
2209	1	1
2209	2	1
4925	1	1
4925	2	1
1524	1	1
1524	2	1
1524	3	1
1524	4	1
7234	1	0
7234	2	0
403	1	1
403	2	1
4705	1	1
4705	2	1
4462	1	1
4462	2	1
3823	1	1
3823	2	1
11744	1	1
11744	2	1
11744	3	1
11744	4	1
1253	1	1
1253	2	1
395	1	1
395	2	1
2110	1	1
2110	2	1
2283	1	1
2283	2	1
5065	1	1
5065	2	1
5065	3	1
1220	1	1
1220	2	1
3270	1	1
3270	2	1
1150	1	1
1150	2	1
517	1	1
517	2	1
