date_hour	count	rating
1085	1	1
1085	2	1
3932	1	1
3932	2	1
3932	3	1
3932	4	1
3932	5	1
5442	1	1
5442	2	1
1006	1	-1
1006	2	-1
11286	1	1
11286	2	1
8685	1	-1
8685	2	-1
8685	3	-1
8686	1	-1
8686	2	-1
8686	3	-1
2927	1	1
2927	2	1
363	1	-1
363	2	-1
363	3	-1
10007	1	-1
10007	2	-1
1681	1	1
1681	2	1
3880	1	0
3880	2	0
8706	1	1
8706	2	1
9827	1	2
9827	2	2
9827	3	2
9720	1	2
9720	2	2
9720	3	2
9720	4	2
9720	5	2
9720	6	2
9720	7	2
9720	8	2
9720	9	2
4506	1	-1
4506	2	-1
4506	3	1
4506	4	1
4506	5	1
4506	6	1
4506	7	1
4142	1	1
4142	2	1
4142	3	1
647	1	-1
647	2	-1
647	3	-1
9779	1	2
9779	2	2
9779	3	2
9779	4	2
983	1	1
983	2	1
982	1	-1
982	2	-1
982	3	1
982	4	1
981	1	-1
981	2	-1
980	1	1
980	2	1
2541	1	1
2541	2	1
2540	1	1
2540	2	1
3280	1	1
3280	2	1
3727	1	1
3727	2	1
9782	1	2
9782	2	2
9782	3	2
8455	1	-1
8455	2	-1
357	1	1
357	2	1
357	3	1
4913	1	1
4913	2	1
11632	1	0
11632	2	0
3859	1	0
3859	2	0
9639	1	2
9639	2	2
9639	3	2
9639	4	2
9641	1	0
9641	2	0
9586	1	-1
9586	2	-1
9635	1	-1
9635	2	-1
9635	3	-1
9635	4	-1
8300	1	-1
8300	2	-1
9595	1	2
9595	2	2
9595	3	2
3996	1	1
3996	2	1
3996	3	1
5053	1	-1
5053	2	-1
8451	1	-1
8451	2	-1
8726	1	1
8726	2	1
8726	3	1
8726	4	1
4855	1	-1
4855	2	-1
4855	3	-1
4495	1	1
4495	2	1
4495	3	1
4495	4	1
4495	5	1
9040	1	1
9040	2	1
1770	1	-1
1770	2	-1
4768	1	1
4768	2	1
4768	3	1
4768	4	1
4768	5	1
8298	1	-1
8298	2	-1
9526	1	-1
9526	2	-1
9526	3	-1
7190	1	1
7190	2	1
7190	3	1
4097	1	1
4097	2	1
4097	3	1
4097	4	2
4097	5	2
4097	6	2
4361	1	1
4361	2	1
4361	3	1
4361	4	1
4361	5	1
1022	1	-1
1022	2	-1
1221	1	1
1221	2	1
4092	1	1
4092	2	1
9929	1	1
9929	2	1
9929	3	1
9929	4	2
9929	5	2
9929	6	2
1037	1	1
1037	2	1
1038	1	-1
1038	2	-1
9189	1	-1
9189	2	-1
4362	1	1
4362	2	1
4362	3	1
4362	4	1
4362	5	1
8865	1	-1
8865	2	-1
1034	1	-1
1034	2	-1
9045	1	-1
9045	2	-1
3426	1	1
3426	2	1
3426	3	2
3426	4	2
9657	1	2
9657	2	2
9657	3	2
9657	4	2
4180	1	1
4180	2	1
4180	3	1
4180	4	1
4180	5	1
9046	1	-1
9046	2	-1
9909	1	1
9909	2	1
9909	3	2
9909	4	2
3953	1	-1
3953	2	-1
5062	1	1
5062	2	1
5062	3	1
5062	4	1
5062	5	1
3475	1	1
3475	2	1
9731	1	2
9731	2	2
10027	1	-1
10027	2	-1
9611	1	-1
9611	2	-1
7161	1	1
7161	2	1
7161	3	1
1193	1	1
1193	2	1
1193	3	1
9286	1	-1
9286	2	-1
8272	1	-1
8272	2	-1
8270	1	-1
8270	2	-1
2522	1	1
2522	2	1
9642	1	2
9642	2	2
9642	3	2
9642	4	2
1145	1	1
1145	2	1
1144	1	1
1144	2	1
1144	3	2
1144	4	2
1142	1	-1
1142	2	-1
8769	1	-1
8769	2	-1
4081	1	1
4081	2	1
4081	3	1
4081	4	1
4081	5	1
4091	1	1
4091	2	1
4091	3	1
4091	4	2
4091	5	2
4091	6	2
7140	1	-1
7140	2	-1
4817	1	0
4817	2	0
4817	3	0
4817	4	1
4817	5	1
4817	6	1
3269	1	1
3269	2	1
3476	1	1
3476	2	1
4818	1	1
4818	2	1
4818	3	1
4818	4	1
4815	1	1
4815	2	1
4815	3	1
4815	4	1
4815	5	1
9088	1	1
9088	2	1
9088	3	1
1580	1	1
1580	2	1
9666	1	2
9666	2	2
9666	3	2
9666	4	2
10447	1	1
10447	2	1
10447	3	2
10447	4	2
10447	5	2
7920	1	1
7920	2	1
5309	1	1
5309	2	1
3154	1	1
3154	2	1
3157	1	1
3157	2	1
10942	1	1
10942	2	1
2619	1	1
2619	2	1
4320	1	1
4320	2	1
4320	3	1
4320	4	1
4320	5	1
9504	1	-1
9504	2	-1
9504	3	-1
9504	4	-1
9504	5	-1
9504	6	-1
9504	7	-1
9504	8	-1
9504	9	-1
9504	10	-1
9504	11	-1
9504	12	-1
9504	13	-1
9504	14	-1
9504	15	-1
9504	16	-1
9504	17	-1
4696	1	1
4696	2	1
11732	1	1
11732	2	1
2533	1	1
2533	2	1
2300	1	1
2300	2	1
8318	1	-1
8318	2	-1
9695	1	-1
9695	2	-1
9695	3	-1
2509	1	1
2509	2	1
2508	1	1
2508	2	1
9584	1	1
9584	2	1
9584	3	2
9584	4	2
2510	1	1
2510	2	1
2510	3	1
2510	4	1
2513	1	1
2513	2	1
2512	1	1
2512	2	1
1137	1	-1
1137	2	-1
9582	1	-1
9582	2	-1
9582	3	-1
9582	4	2
9582	5	2
9582	6	2
9582	7	2
9620	1	1
9620	2	1
9620	3	1
9620	4	1
1161	1	-1
1161	2	-1
1101	1	-1
1101	2	-1
4307	1	1
4307	2	1
4307	3	1
4307	4	1
4307	5	1
2423	1	-1
2423	2	-1
9232	1	1
9232	2	1
9232	3	1
9232	4	1
9232	5	1
9232	6	1
9232	7	1
4746	1	1
4746	2	1
7525	1	0
7525	2	0
7525	3	2
7525	4	2
4117	1	1
4117	2	1
4117	3	1
4117	4	1
4117	5	1
8453	1	-1
8453	2	-1
8453	3	-1
8453	4	-1
4118	1	1
4118	2	1
4118	3	1
4118	4	1
4118	5	1
2634	1	1
2634	2	1
8854	1	-1
8854	2	-1
8854	3	-1
1423	1	1
1423	2	1
4796	1	1
4796	2	1
4796	3	1
4796	4	1
4796	5	1
4336	1	1
4336	2	1
9350	1	1
9350	2	1
3144	1	1
3144	2	1
7276	1	-1
7276	2	-1
3869	1	-1
3869	2	-1
4217	1	0
4217	2	0
4217	3	0
4217	4	1
4217	5	1
4217	6	1
4217	7	2
4217	8	2
4217	9	2
9838	1	-1
9838	2	-1
9838	3	-1
3855	1	0
3855	2	0
2593	1	-1
2593	2	-1
8904	1	1
8904	2	1
10343	1	2
10343	2	2
10343	3	2
10343	4	2
2648	1	1
2648	2	1
1023	1	-1
1023	2	-1
1168	1	1
1168	2	1
4721	1	1
4721	2	1
4721	3	1
4721	4	1
4721	5	1
3857	1	-1
3857	2	-1
8396	1	1
8396	2	1
2037	1	2
2037	2	2
2037	3	2
4071	1	1
4071	2	1
4071	3	1
4071	4	1
4071	5	1
9672	1	-1
9672	2	-1
9672	3	-1
9672	4	-1
9672	5	-1
9672	6	-1
9672	7	-1
9672	8	-1
9672	9	-1
9672	10	-1
9672	11	-1
9672	12	-1
9672	13	-1
9672	14	-1
9672	15	-1
9672	16	-1
9672	17	-1
9672	18	-1
9672	19	-1
9672	20	-1
9672	21	-1
9672	22	-1
9672	23	-1
9672	24	-1
9672	25	-1
9672	26	-1
9672	27	-1
9672	28	-1
9672	29	-1
9672	30	-1
9672	31	-1
9672	32	-1
9672	33	-1
9672	34	-1
9672	35	-1
9672	36	-1
9672	37	-1
9672	38	-1
9672	39	-1
9672	40	-1
10149	1	1
10149	2	1
10149	3	1
10149	4	1
10149	5	1
10149	6	1
10149	7	1
3929	1	1
3929	2	1
7092	1	1
7092	2	1
7092	3	1
7092	4	1
10152	1	1
10152	2	1
9196	1	-1
9196	2	-1
9196	3	-1
9141	1	1
9141	2	1
9766	1	2
9766	2	2
9766	3	2
9766	4	2
9766	5	2
9766	6	2
9766	7	2
9766	8	2
9766	9	2
9766	10	2
4106	1	0
4106	2	0
4106	3	0
4262	1	1
4262	2	1
4262	3	1
4262	4	1
4262	5	1
4111	1	1
4111	2	1
4111	3	1
4111	4	1
4111	5	1
9887	1	-1
9887	2	-1
4109	1	1
4109	2	1
1428	1	-1
1428	2	-1
9792	1	2
9792	2	2
9792	3	2
4838	1	0
4838	2	0
1001	1	-1
1001	2	-1
9797	1	2
9797	2	2
9797	3	2
9797	4	2
9797	5	2
9797	6	2
1002	1	1
1002	2	1
4341	1	1
4341	2	1
4341	3	1
4341	4	1
4341	5	1
1603	1	1
1603	2	1
1361	1	-1
1361	2	-1
7499	1	-1
7499	2	-1
7499	3	-1
7499	4	-1
7499	5	-1
7499	6	-1
7499	7	-1
7499	8	-1
7499	9	-1
7499	10	-1
7499	11	-1
7499	12	-1
7499	13	-1
7499	14	-1
7499	15	-1
7499	16	-1
7499	17	-1
7499	18	-1
7499	19	-1
7499	20	-1
7499	21	-1
7499	22	-1
7499	23	-1
7499	24	-1
7499	25	-1
7499	26	-1
7499	27	-1
7499	28	-1
7499	29	-1
7499	30	-1
7499	31	-1
7499	32	-1
7499	33	-1
7499	34	-1
7499	35	-1
7499	36	-1
7499	37	-1
7499	38	-1
7499	39	-1
7499	40	-1
7499	41	-1
7499	42	-1
7499	43	-1
7499	44	-1
7499	45	-1
7499	46	-1
7499	47	-1
7499	48	-1
7499	49	-1
7499	50	-1
7499	51	-1
7499	52	-1
7499	53	-1
7499	54	-1
7499	55	-1
7499	56	-1
7499	57	-1
7499	58	-1
7499	59	-1
7499	60	-1
7499	61	-1
7499	62	-1
7499	63	-1
7499	64	-1
7499	65	-1
7499	66	-1
7499	67	-1
7499	68	-1
7499	69	-1
7499	70	-1
7499	71	-1
7499	72	1
7499	73	1
7499	74	1
7499	75	1
7499	76	1
7499	77	1
7499	78	1
7499	79	1
7499	80	1
7499	81	1
7499	82	1
7499	83	1
7499	84	1
7499	85	1
7499	86	1
7499	87	1
7499	88	1
7499	89	1
7499	90	1
7499	91	1
7499	92	1
7499	93	1
