date_hour	count	rating
11540	1	-1
11540	2	-1
11665	1	-1
11665	2	-1
4701	1	-1
4701	2	-1
11451	1	-1
11451	2	-1
11451	3	-1
8608	1	-1
8608	2	-1
8608	3	-1
11486	1	-1
11486	2	-1
11486	3	-1
11098	1	-1
11098	2	-1
4853	1	-1
4853	2	-1
8721	1	0
8721	2	0
8721	3	0
8721	4	0
8721	5	0
9375	1	0
9375	2	0
10781	1	-1
10781	2	-1
8060	1	1
8060	2	1
8060	3	2
8060	4	2
11107	1	-1
11107	2	-1
11107	3	-1
11107	4	-1
5248	1	-1
5248	2	-1
4766	1	-1
4766	2	-1
10336	1	-1
10336	2	-1
10336	3	-1
8149	1	-1
8149	2	-1
8073	1	1
8073	2	1
8073	3	2
8073	4	2
10359	1	-1
10359	2	-1
2821	1	-1
2821	2	-1
11158	1	-1
11158	2	-1
11158	3	-1
9382	1	-1
9382	2	-1
7977	1	-1
7977	2	-1
11011	1	-1
11011	2	-1
11011	3	-1
11010	1	-1
11010	2	-1
11010	3	-1
11010	4	-1
11010	5	-1
11010	6	-1
11095	1	-1
11095	2	-1
11095	3	-1
5236	1	-1
5236	2	-1
11660	1	-1
11660	2	-1
8136	1	-1
8136	2	-1
8136	3	-1
8796	1	-1
8796	2	-1
9048	1	-1
9048	2	-1
9090	1	-1
9090	2	-1
9090	3	-1
9090	4	-1
7980	1	-1
7980	2	-1
11024	1	-1
11024	2	-1
11024	3	-1
11024	4	-1
11024	5	-1
11024	6	-1
11024	7	-1
11024	8	-1
10393	1	-1
10393	2	-1
7983	1	-1
7983	2	-1
10568	1	-1
10568	2	-1
10568	3	-1
10568	4	-1
10568	5	-1
8045	1	1
8045	2	1
8045	3	2
8045	4	2
8049	1	1
8049	2	1
8049	3	1
8049	4	1
8049	5	1
8049	6	2
8049	7	2
8049	8	2
8049	9	2
8049	10	2
8048	1	1
8048	2	1
8048	3	1
8048	4	1
8048	5	1
8048	6	2
8048	7	2
8048	8	2
8029	1	1
8029	2	1
10564	1	-1
10564	2	-1
9184	1	-1
9184	2	-1
9184	3	-1
9184	4	-1
8423	1	1
8423	2	1
8423	3	2
8423	4	2
11141	1	-1
11141	2	-1
11142	1	-1
11142	2	-1
7991	1	-1
7991	2	-1
10746	1	-1
10746	2	-1
10776	1	-1
10776	2	-1
10776	3	-1
8852	1	-1
8852	2	-1
8055	1	1
8055	2	1
8055	3	2
8055	4	2
8052	1	1
8052	2	1
8052	3	2
8052	4	2
8053	1	1
8053	2	1
8053	3	2
8053	4	2
8157	1	-1
8157	2	-1
10579	1	0
10579	2	0
10770	1	-1
10770	2	-1
11072	1	-1
11072	2	-1
11068	1	-1
11068	2	-1
11071	1	-1
11071	2	-1
11070	1	-1
11070	2	-1
7811	1	-1
7811	2	-1
10769	1	-1
10769	2	-1
10769	3	-1
10769	4	-1
10769	5	-1
10462	1	-1
10462	2	-1
11012	1	-1
11012	2	-1
11012	3	-1
11012	4	-1
11012	5	-1
11012	6	-1
11015	1	-1
11015	2	-1
11015	3	-1
8479	1	-1
8479	2	-1
10786	1	-1
10786	2	-1
9801	1	-1
9801	2	-1
8507	1	-1
8507	2	-1
8507	3	-1
9824	1	-1
9824	2	-1
9824	3	-1
9824	4	-1
10084	1	-1
10084	2	-1
10084	3	-1
10084	4	-1
10084	5	-1
10084	6	-1
10084	7	-1
10084	8	-1
10084	9	-1
10114	1	-1
10114	2	-1
10114	3	-1
10114	4	-1
10542	1	-1
10542	2	-1
10542	3	-1
10543	1	-1
10543	2	-1
11083	1	-1
11083	2	-1
11083	3	-1
11083	4	-1
3787	1	-1
3787	2	-1
11803	1	-1
11803	2	-1
613	1	-1
613	2	-1
5910	1	-1
5910	2	-1
9400	1	-1
9400	2	-1
9400	3	-1
8440	1	-1
8440	2	-1
9012	1	-1
9012	2	-1
9012	3	-1
9012	4	-1
10112	1	-1
10112	2	-1
10113	1	-1
10113	2	-1
9834	1	-1
9834	2	-1
10106	1	-1
10106	2	-1
10108	1	-1
10108	2	-1
10109	1	-1
10109	2	-1
10110	1	-1
10110	2	-1
10110	3	-1
10111	1	-1
10111	2	-1
10111	3	-1
10111	4	-1
10111	5	-1
10817	1	-1
10817	2	-1
10810	1	-1
10810	2	-1
2004	1	-1
2004	2	-1
2262	1	-1
2262	2	-1
8204	1	-1
8204	2	-1
10772	1	-1
10772	2	-1
1917	1	-1
1917	2	-1
2122	1	-1
2122	2	-1
