date_hour	count	rating
7985	1	0
7985	2	0
7985	3	0
7101	1	-1
7101	2	-1
7101	3	-1
7101	4	-1
7101	5	-1
7101	6	-1
7101	7	-1
7101	8	-1
7101	9	-1
7101	10	-1
7101	11	-1
7101	12	-1
7101	13	-1
7101	14	-1
7101	15	-1
7101	16	-1
7101	17	-1
7101	18	-1
7101	19	-1
7101	20	-1
7101	21	-1
7101	22	-1
5114	1	0
5114	2	0
5114	3	0
6172	1	2
6172	2	2
8831	1	1
8831	2	1
8831	3	1
8831	4	1
8831	5	1
8831	6	1
8831	7	1
8831	8	1
8831	9	1
8831	10	1
8831	11	1
8831	12	1
8831	13	1
8831	14	1
8831	15	1
8831	16	1
8831	17	1
8831	18	1
8831	19	1
8831	20	1
8831	21	1
8831	22	1
8831	23	1
8831	24	1
5040	1	-1
5040	2	-1
5040	3	-1
7860	1	1
7860	2	1
7860	3	1
7860	4	1
7860	5	1
7860	6	1
7860	7	1
7860	8	1
7860	9	1
7860	10	1
7860	11	1
7860	12	1
7860	13	1
7860	14	1
7860	15	1
7860	16	1
7860	17	1
7860	18	1
7860	19	1
7860	20	1
7860	21	1
7860	22	1
7860	23	1
7860	24	1
7860	25	1
7860	26	1
7860	27	1
7860	28	1
7860	29	1
7860	30	1
7860	31	1
7860	32	1
7860	33	1
7860	34	1
7860	35	1
7860	36	1
7860	37	1
7860	38	1
7860	39	1
7860	40	1
7860	41	1
7173	1	1
7173	2	1
7173	3	1
7173	4	1
7173	5	1
7173	6	1
7173	7	1
7173	8	1
7173	9	1
7173	10	1
7173	11	1
7173	12	1
7173	13	1
7173	14	1
7173	15	1
7173	16	1
7173	17	1
7173	18	1
7173	19	1
7173	20	1
7173	21	1
7173	22	1
7173	23	1
7173	24	1
7173	25	1
7173	26	1
8832	1	1
8832	2	1
8832	3	1
8290	1	1
8290	2	1
8290	3	1
8290	4	1
8290	5	1
8290	6	1
8290	7	1
8290	8	1
8290	9	1
8290	10	1
8290	11	1
8290	12	1
8290	13	1
8290	14	1
8290	15	1
8290	16	1
8290	17	1
8290	18	1
8290	19	1
8290	20	1
8290	21	1
8290	22	1
8290	23	1
8290	24	1
8290	25	1
8290	26	1
8290	27	1
8290	28	1
8290	29	1
8290	30	1
8290	31	1
8290	32	1
8290	33	1
8290	34	1
8290	35	1
8290	36	1
8290	37	1
8290	38	1
8290	39	1
8290	40	1
8290	41	1
8290	42	1
8290	43	1
8290	44	1
8291	1	1
8291	2	1
8291	3	1
8291	4	1
10019	1	1
10019	2	1
10019	3	1
10019	4	1
10019	5	1
7183	1	-1
7183	2	-1
8019	1	-1
8019	2	-1
8201	1	-1
8201	2	-1
8201	3	-1
8201	4	-1
8201	5	-1
8201	6	-1
8201	7	-1
8201	8	-1
8201	9	-1
8201	10	-1
8201	11	-1
8201	12	-1
8201	13	-1
8201	14	-1
8201	15	-1
8201	16	-1
8201	17	-1
8201	18	-1
8201	19	-1
8201	20	-1
8201	21	-1
8201	22	-1
8201	23	-1
8201	24	-1
8201	25	-1
8201	26	-1
8201	27	-1
8201	28	-1
8201	29	-1
8201	30	-1
8201	31	-1
8201	32	-1
8201	33	-1
8201	34	-1
8201	35	-1
7685	1	-1
7685	2	-1
7655	1	1
7655	2	1
7655	3	1
7655	4	1
7655	5	1
7655	6	1
7655	7	1
7655	8	1
7655	9	1
