date_hour	count	rating
1934	1	1
1934	2	1
11324	1	-1
11324	2	-1
2823	1	0
2823	2	0
2823	3	2
2823	4	2
3987	1	0
3987	2	0
3987	3	2
3987	4	2
2825	1	0
2825	2	0
2825	3	2
2825	4	2
3950	1	-1
3950	2	-1
3950	3	-1
3950	4	-1
3950	5	-1
3991	1	0
3991	2	0
2539	1	1
2539	2	1
2539	3	1
8532	1	1
8532	2	1
11821	1	-1
11821	2	-1
3981	1	0
3981	2	0
3981	3	0
3981	4	0
3981	5	0
3981	6	2
3981	7	2
3981	8	2
10678	1	2
10678	2	2
10678	3	2
10678	4	2
10678	5	2
213	1	0
213	2	0
213	3	0
213	4	1
213	5	1
213	6	1
213	7	1
213	8	2
213	9	2
213	10	2
213	11	2
10573	1	1
10573	2	1
3240	1	1
3240	2	1
2542	1	1
2542	2	1
2542	3	1
9687	1	1
9687	2	1
4073	1	1
4073	2	1
4073	3	2
4073	4	2
226	1	1
226	2	1
226	3	1
226	4	1
226	5	1
226	6	2
226	7	2
226	8	2
3728	1	0
3728	2	0
5693	1	1
5693	2	1
8411	1	-1
8411	2	-1
10532	1	1
10532	2	1
1920	1	1
1920	2	1
9388	1	1
9388	2	1
10649	1	-1
10649	2	-1
1846	1	1
1846	2	1
1846	3	2
1846	4	2
4245	1	1
4245	2	1
4245	3	1
4245	4	2
4245	5	2
4245	6	2
4245	7	2
4245	8	2
11325	1	-1
11325	2	-1
3156	1	-1
3156	2	-1
2168	1	1
2168	2	1
8512	1	-1
8512	2	-1
2583	1	1
2583	2	1
11837	1	1
11837	2	1
733	1	-1
733	2	-1
733	3	-1
733	4	1
733	5	1
733	6	1
733	7	2
733	8	2
733	9	2
11836	1	1
11836	2	1
11836	3	1
11836	4	1
11836	5	1
11836	6	1
11836	7	1
11836	8	1
11836	9	1
11836	10	1
11836	11	1
11836	12	1
11836	13	1
11836	14	1
11836	15	1
11836	16	1
11836	17	1
11836	18	1
11836	19	1
11836	20	1
11836	21	1
11836	22	1
11836	23	1
11836	24	1
11836	25	1
11836	26	1
219	1	1
219	2	1
219	3	1
219	4	1
219	5	1
219	6	2
219	7	2
219	8	2
1919	1	0
1919	2	0
1919	3	1
1919	4	1
1919	5	1
1918	1	0
1918	2	0
1918	3	1
1918	4	1
1918	5	1
1917	1	0
1917	2	0
1917	3	1
1917	4	1
1916	1	1
1916	2	1
1916	3	1
8777	1	1
8777	2	1
3847	1	1
3847	2	1
