date_hour	count	rating
7404	1	-1
7404	2	-1
3629	1	-1
3629	2	-1
3626	1	-1
3626	2	-1
3626	3	-1
3626	4	-1
3627	1	-1
3627	2	-1
8700	1	1
8700	2	1
8700	3	1
8700	4	1
8700	5	1
3064	1	-1
3064	2	-1
3907	1	-1
3907	2	-1
3907	3	-1
3907	4	-1
3907	5	-1
4145	1	-1
4145	2	-1
4145	3	-1
4145	4	-1
4145	5	0
4145	6	0
4145	7	0
4145	8	0
4142	1	-1
4142	2	-1
4142	3	-1
4142	4	-1
4142	5	-1
4142	6	0
4142	7	0
4142	8	0
4142	9	0
4142	10	0
4143	1	-1
4143	2	-1
4143	3	-1
4143	4	0
4143	5	0
4143	6	0
4141	1	-1
4141	2	-1
4141	3	-1
4141	4	0
4141	5	0
4141	6	0
4933	1	-1
4933	2	-1
4348	1	-1
4348	2	-1
4348	3	-1
4348	4	0
4348	5	0
4348	6	0
3959	1	-1
3959	2	-1
3959	3	-1
3959	4	-1
3959	5	-1
3959	6	-1
3959	7	-1
3959	8	-1
3959	9	-1
3959	10	-1
3959	11	-1
3959	12	-1
3959	13	-1
3956	1	-1
3956	2	-1
3956	3	-1
3956	4	-1
3956	5	-1
3956	6	0
3956	7	0
3956	8	0
3956	9	0
3956	10	0
3957	1	-1
3957	2	-1
3957	3	-1
3957	4	-1
3957	5	-1
3957	6	-1
4247	1	-1
4247	2	-1
4247	3	0
4247	4	0
4246	1	-1
4246	2	-1
4246	3	-1
4245	1	-1
4245	2	-1
4245	3	0
4245	4	0
3822	1	-1
3822	2	-1
3822	3	-1
3822	4	-1
3822	5	-1
5066	1	-1
5066	2	-1
5064	1	-1
5064	2	-1
5064	3	0
5064	4	0
4096	1	-1
4096	2	-1
4096	3	-1
4096	4	0
4096	5	0
4096	6	0
7458	1	-1
7458	2	-1
7458	3	-1
5210	1	1
5210	2	1
4098	1	-1
4098	2	-1
4860	1	-1
4860	2	-1
4860	3	-1
4860	4	0
4860	5	0
4860	6	0
4859	1	-1
4859	2	-1
4859	3	0
4859	4	0
7967	1	-1
7967	2	-1
8525	1	0
8525	2	0
8525	3	0
8525	4	2
8525	5	2
8525	6	2
8525	7	2
8525	8	2
8525	9	2
4680	1	-1
4680	2	-1
4680	3	-1
4680	4	0
4680	5	0
4680	6	0
4733	1	-1
4733	2	-1
4733	3	-1
4733	4	0
4733	5	0
4733	6	0
7127	1	-1
7127	2	-1
7127	3	-1
7127	4	-1
7127	5	-1
8765	1	2
8765	2	2
4049	1	-1
4049	2	-1
4049	3	-1
4049	4	0
4049	5	0
4049	6	0
3478	1	-1
3478	2	-1
3478	3	-1
11082	1	2
11082	2	2
7170	1	-1
7170	2	-1
7170	3	-1
7170	4	0
7170	5	0
4622	1	-1
4622	2	-1
3813	1	-1
3813	2	-1
8322	1	-1
8322	2	-1
4059	1	-1
4059	2	-1
4059	3	-1
4059	4	0
4059	5	0
4059	6	0
4058	1	-1
4058	2	-1
4058	3	-1
4060	1	-1
4060	2	-1
4060	3	-1
3580	1	-1
3580	2	-1
3581	1	-1
3581	2	-1
5029	1	-1
5029	2	-1
5029	3	-1
5029	4	0
5029	5	0
5029	6	0
3579	1	-1
3579	2	-1
3579	3	-1
3579	4	-1
7888	1	-1
7888	2	-1
4007	1	-1
4007	2	-1
4007	3	-1
4007	4	-1
4007	5	-1
4007	6	-1
4007	7	-1
4007	8	-1
4007	9	-1
4007	10	-1
4007	11	-1
4007	12	-1
4007	13	-1
4007	14	-1
4007	15	-1
4007	16	-1
4007	17	-1
4007	18	-1
4007	19	0
4007	20	0
4007	21	0
4007	22	0
4007	23	0
4007	24	0
4007	25	0
4007	26	0
4007	27	0
4007	28	0
4007	29	0
4007	30	0
4007	31	0
4007	32	0
4007	33	0
4007	34	0
4007	35	0
8452	1	2
8452	2	2
8453	1	2
8453	2	2
8453	3	2
8453	4	2
8453	5	2
8450	1	2
8450	2	2
8450	3	2
8450	4	2
8451	1	2
8451	2	2
8451	3	2
8449	1	2
8449	2	2
8449	3	2
8449	4	2
3964	1	-1
3964	2	-1
3964	3	-1
3964	4	-1
3964	5	-1
3960	1	-1
3960	2	-1
3960	3	-1
3960	4	-1
3960	5	-1
3960	6	-1
3960	7	-1
3960	8	-1
3960	9	-1
3960	10	-1
3960	11	-1
3960	12	-1
3960	13	-1
3960	14	-1
3960	15	-1
3960	16	-1
3962	1	-1
3962	2	-1
3962	3	-1
3962	4	-1
3962	5	-1
8016	1	1
8016	2	1
8016	3	1
8016	4	1
8016	5	1
8016	6	1
8016	7	1
8016	8	1
8016	9	1
8016	10	1
8016	11	1
8016	12	1
8016	13	1
8016	14	1
8016	15	1
8016	16	1
8016	17	1
8016	18	1
8016	19	1
8016	20	1
8016	21	1
8016	22	1
8016	23	1
8016	24	1
8016	25	1
8016	26	1
8016	27	1
8016	28	1
8016	29	1
8016	30	1
8016	31	1
8016	32	1
8016	33	1
8016	34	1
8016	35	2
8016	36	2
8016	37	2
8016	38	2
8016	39	2
8016	40	2
8016	41	2
8016	42	2
8016	43	2
8016	44	2
8016	45	2
8016	46	2
8016	47	2
8016	48	2
8016	49	2
8016	50	2
8016	51	2
8016	52	2
8016	53	2
8016	54	2
8016	55	2
8016	56	2
8016	57	2
8016	58	2
8016	59	2
8016	60	2
8016	61	2
8016	62	2
8016	63	2
8016	64	2
8016	65	2
8016	66	2
8016	67	2
8016	68	2
8016	69	2
8016	70	2
8016	71	2
8016	72	2
8017	1	1
8017	2	1
8017	3	2
8017	4	2
8018	1	1
8018	2	1
8018	3	1
8018	4	2
8018	5	2
8018	6	2
