date_hour	count	rating
11328	1	1
11328	2	1
11328	3	1
11328	4	1
5044	1	1
5044	2	1
5044	3	1
5044	4	1
5044	5	1
5044	6	2
5044	7	2
1444	1	-1
1444	2	-1
11314	1	1
11314	2	1
11314	3	2
11314	4	2
4501	1	2
4501	2	2
4501	3	2
4501	4	2
4501	5	2
4501	6	2
4501	7	2
4501	8	2
8705	1	1
8705	2	1
8705	3	2
8705	4	2
10905	1	-1
10905	2	-1
7858	1	1
7858	2	1
7858	3	2
7858	4	2
8210	1	1
8210	2	1
8210	3	2
8210	4	2
10305	1	1
10305	2	1
10305	3	1
1278	1	1
1278	2	1
1278	3	1
8888	1	1
8888	2	1
8888	3	2
8888	4	2
4390	1	1
4390	2	1
4390	3	1
4390	4	1
4390	5	1
4390	6	2
4390	7	2
3280	1	1
3280	2	1
3280	3	1
3280	4	2
3280	5	2
3280	6	2
10186	1	1
10186	2	1
10186	3	2
10186	4	2
11080	1	1
11080	2	1
11080	3	2
11080	4	2
9641	1	0
9641	2	0
1741	1	1
1741	2	1
1741	3	2
1741	4	2
1741	5	2
1741	6	2
1741	7	2
10352	1	1
10352	2	1
10352	3	2
10352	4	2
10829	1	1
10829	2	1
9594	1	1
9594	2	1
9594	3	2
9594	4	2
8967	1	1
8967	2	1
8967	3	2
8967	4	2
8226	1	1
8226	2	1
8226	3	2
8226	4	2
7940	1	1
7940	2	1
7940	3	2
7940	4	2
8719	1	1
8719	2	1
8719	3	2
8719	4	2
7994	1	0
7994	2	0
7994	3	1
7994	4	1
7994	5	2
7994	6	2
4493	1	1
4493	2	1
4493	3	1
4493	4	2
4493	5	2
4493	6	2
4493	7	2
4493	8	2
4493	9	2
7992	1	0
7992	2	0
9849	1	-1
9849	2	-1
9849	3	0
9849	4	0
8221	1	0
8221	2	0
11251	1	0
11251	2	0
8190	1	1
8190	2	1
8190	3	2
8190	4	2
10750	1	0
10750	2	0
4460	1	2
4460	2	2
4460	3	2
4460	4	2
4460	5	2
4460	6	2
4460	7	2
10122	1	1
10122	2	1
10122	3	1
10122	4	1
10122	5	1
9282	1	1
9282	2	1
9282	3	1
9282	4	2
9282	5	2
10382	1	1
10382	2	1
10382	3	2
10382	4	2
8989	1	-1
8989	2	-1
8989	3	0
8989	4	0
3272	1	0
3272	2	0
7747	1	1
7747	2	1
7747	3	2
7747	4	2
10119	1	1
10119	2	1
10119	3	2
10119	4	2
9859	1	1
9859	2	1
9859	3	2
9859	4	2
3401	1	-1
3401	2	-1
3993	1	-1
3993	2	-1
3993	3	-1
3993	4	0
3993	5	0
3993	6	0
10409	1	-1
10409	2	-1
10409	3	-1
10409	4	-1
10409	5	-1
10409	6	-1
10409	7	-1
9655	1	1
9655	2	1
7115	1	0
7115	2	0
7115	3	0
7115	4	0
7115	5	0
7115	6	0
7115	7	0
7115	8	0
7115	9	0
7115	10	0
7115	11	0
7115	12	0
7115	13	0
7115	14	0
7115	15	0
7115	16	0
7115	17	0
7115	18	0
7115	19	0
7115	20	0
7115	21	0
7115	22	0
7115	23	0
7115	24	0
7115	25	0
7115	26	0
7115	27	0
7115	28	0
7115	29	0
7115	30	0
7115	31	0
7115	32	0
7115	33	0
7115	34	0
7115	35	0
7115	36	0
7115	37	0
7115	38	0
7115	39	0
7115	40	0
7115	41	0
7115	42	0
7115	43	0
7115	44	0
7115	45	0
7115	46	0
7115	47	0
7115	48	0
7115	49	0
7115	50	0
7115	51	0
7115	52	0
7115	53	0
7115	54	0
7115	55	0
7115	56	0
7115	57	0
7115	58	0
7115	59	0
7115	60	0
7115	61	0
7115	62	0
7115	63	0
7115	64	0
7115	65	0
7115	66	0
7115	67	0
7115	68	0
7115	69	0
7115	70	0
7115	71	0
7115	72	0
7115	73	0
7115	74	0
7115	75	0
7115	76	0
7115	77	0
7115	78	0
7115	79	0
7115	80	0
7115	81	0
7115	82	0
7115	83	0
7115	84	0
7115	85	0
7115	86	0
7115	87	0
7115	88	0
7115	89	0
7115	90	0
7115	91	0
7115	92	0
7115	93	0
5549	1	1
5549	2	1
7721	1	1
7721	2	1
7721	3	2
7721	4	2
10137	1	-1
10137	2	-1
10253	1	0
10253	2	0
10091	1	1
10091	2	1
10091	3	1
10091	4	1
10091	5	2
10091	6	2
10091	7	2
2342	1	1
2342	2	1
